time,agent,route_target_index,route_target_distance_km,route_clearance_km,route_target_east_km,route_target_north_km,route_target_in_static_domain,in_route_domain,lat,lon,cas_mps,tas_mps,goal_distance_km,heading_error_deg,heading_action,speed_action,nearest_agent,nearest_nm,outside,commanded_heading_turn_deg,commanded_speed_action,traffic_projection_intervened,static_projection_intervened,static_projection_infeasible,nominal_static_violation,nominal_traffic_conflict,no_static_feasible_candidate,no_jointly_feasible_candidate,predicted_minimum_separation_km,predicted_risk_seconds,reference_heading_turn_deg,nominal_heading_adjustment_deg,nominal_speed_action,reference_speed_action,nominal_speed_adjustment
470.0,KL004,1,43.961993993372495,6.0,-31.984270514227475,75.75468027189338,True,True,52.39667380739871,3.0868865089653994,162.99999999999994,165.5846750214427,102.50661716202214,-35.66398466927467,-0.271161675453186,0.3534231185913086,KL008,6.580057989628713,False,-5.000000000000002,1.0,True,False,False,False,True,False,True,9.773122408803134,19.953474834058227,-35.1608607172966,-4.067425131797791,1.0,1.0,0.0
470.0,KL005,2,47.63394635053287,3.0,-89.49511436889568,51.259643679693326,True,True,52.57277274887562,3.3641507129546864,162.99999999999994,165.5846750214427,47.15114487312304,-18.73440070730061,0.1933075189590454,0.5246133804321289,KL007,5.796763093870334,False,0.0,1.0,True,False,False,False,True,False,True,9.773122408803134,19.953474834058227,18.734401166439056,2.899612784385681,1.0,1.0,0.0
480.0,KL004,1,42.53822881504024,6.0,-31.98427051422747,75.75468027189338,True,True,52.400624466159634,3.110412941602802,162.99999999999994,165.5846750214427,101.23608704787723,-41.27032180050713,-0.1657159328460693,0.3558354377746582,KL008,6.790660165220639,False,-5.000000000000002,1.0,True,False,False,False,True,False,True,8.826696317887007,35.40847347682817,-31.31295830011368,-2.485739886760712,1.0,1.0,0.0
480.0,KL005,2,46.054422831753264,3.0,-89.4951143688957,51.25964367969334,True,True,52.56445085395099,3.3438336205781662,162.99999999999994,165.5846750214427,45.588624973122016,-19.403668079439257,0.1914777755737304,0.5498104095458984,KL007,5.77675020702374,False,0.0,1.0,True,False,False,False,True,False,True,7.848185679724025,46.35032138010777,19.403668642044067,2.872167080640793,1.0,1.0,0.0
490.0,KL004,1,41.05973528802657,6.0,-31.984270514227475,75.75468027189338,True,True,52.40581120640452,3.1332879352665937,162.99999999999994,165.5846750214427,100.0763051160382,-46.951909895785946,-0.1888160705566406,0.3088717460632324,KL008,7.148792336324727,False,-5.000000000000002,1.0,True,False,False,False,True,False,True,8.009126276482508,45.41741324894808,-27.37069845199585,-2.8322410583496094,1.0,1.0,0.0
490.0,KL005,2,44.48172409679072,3.0,-89.4951143688957,51.25964367969334,True,True,52.55612895902635,3.3235203824951447,162.99999999999994,165.5846750214427,44.03276654955874,-20.120335101236837,0.2062180042266845,0.5662264823913574,KL007,5.769230427724252,False,0.0,-1.0,True,False,False,False,True,False,True,8.023162499049084,47.04542303777656,20.120334774255756,3.0932696163654327,1.0,1.0,0.0
500.0,KL004,1,39.53216256926154,6.0,-31.98427051422747,75.75468027189338,True,True,52.41219455390823,3.1553378493530246,162.99999999999994,165.5846750214427,99.0401854345824,-52.70378362718431,-0.2124296426773071,0.2496625185012817,KL008,7.682044376763994,False,0.0,-1.0,True,False,False,False,True,False,True,8.006977843799373,46.38871587725399,-23.31958115100861,-3.1864455342292786,1.0,1.0,0.0
500.0,KL005,2,42.94444999659761,3.0,-89.4951143688957,51.25964367969333,True,True,52.547955654773965,3.303573591660085,159.5698558018131,162.1073281443386,42.51188013517194,-20.87514966973868,0.4000148773193359,0.5351358652114868,KL007,5.752972000330797,False,0.0,1.0,True,False,False,False,True,False,True,7.995395860083275,46.031940153109325,20.87514996528625,6.000222265720367,1.0,1.0,0.0
510.0,KL004,1,38.03638898711871,6.0,-31.984270514227468,75.75468027189338,True,True,52.41859173392095,3.1769014366370527,159.5698558018131,162.1073281443386,98.05175149703044,-53.4632122722123,-0.20716392993927,0.2596144676208496,KL008,8.24355320982557,False,-5.000000000000002,1.0,True,False,False,False,True,False,True,7.479620010419284,51.20867658930592,-24.3044051527977,-3.107459843158722,1.0,1.0,0.0
510.0,KL005,2,41.39227255970442,3.0,-89.4951143688957,51.25964367969334,True,True,52.539659221464646,3.283330108198455,162.9989758278047,165.5836368186249,40.976191490097534,-21.69849279532985,0.2782551050186157,0.5705362558364868,KL007,5.736026006590472,False,0.0,1.0,True,False,False,False,True,False,True,7.479618965365845,51.20852963865403,21.698492914438248,4.173827022314072,1.0,1.0,0.0
