case,episode,decision,agent,sim_time,latent_heading,latent_speed,latent_heading_unclipped,requested_turn_degrees,applied_turn_degrees,heading_before,reference_heading_before,heading_after,actual_turn_degrees,drift_after_degrees,static_override,mapped_turn_saturated
held020,0,0,KL001,5.0,-0.1481848955154419,-0.13166305422782898,-0.1481849018009917,-28.415027260780334,-28.415027260780334,31.907010835112267,16.828628540039062,23.285189083233245,-8.621821751879025,6.522708415985107,0,0
held020,0,0,KL002,5.0,-0.20548737049102783,-0.20550841093063354,-0.20548737534206382,-18.476159423589706,-18.476159423589706,165.7966996677218,165.81439208984375,157.16027864334458,-8.636421024377228,-8.68671989440918,0,0
held020,0,0,KL003,5.0,0.3691862225532532,0.4021890461444855,0.36918621255405354,45.0,45.0,15.011358954955597,82.50039672851562,23.53348083293732,8.522121877981732,-60.100154876708984,0,1
held020,0,0,KL004,5.0,0.03191963955760002,0.2640421688556671,0.031919640603794076,-45.0,-45.0,81.11587001671928,30.834274291992188,72.5714439998086,-8.544426016910677,42.349815368652344,0,1
held020,0,0,KL005,5.0,-0.2660878598690033,0.22415950894355774,-0.2660878522464916,-23.748112320899963,-23.748112320899963,135.66293625992802,135.86273193359375,127.11077280281431,-8.552163457113693,-8.782126426696777,0,0
held020,0,0,KL006,5.0,-0.37134790420532227,0.010264948941767216,-0.37134791284626845,-8.022509291768074,-8.022509291768074,264.9663409890795,-69.63485717773438,256.94383169731145,-8.022509291768074,-33.83982467651367,0,0
held020,0,0,KL007,5.0,-0.21795178949832916,0.05114370211958885,-0.21795178790959593,-19.655678272247314,-19.655678272247314,202.07369051584718,-157.96633911132812,193.48779778952473,-8.585892726322442,-8.58353328704834,0,0
held020,0,0,KL008,5.0,-0.20105259120464325,0.040723662823438644,-0.20105259179461138,-1.3842009846121073,-1.3842009846121073,274.45970279034464,-68.82974243164062,273.07550180573253,-1.3842009846121073,-18.236190795898438,0,0
held020,0,0,KL009,5.0,0.10842791199684143,-0.03077840618789196,0.1084279132715102,9.832658395171165,9.832658395171165,169.05796228743102,169.13211059570312,177.6599188761182,8.601956588687187,8.562882423400879,0,0
held020,0,0,KL0010,5.0,-0.2496625781059265,0.19448262453079224,-0.2496625707302568,-22.341835498809814,-22.341835498809814,337.941723718671,-21.93048095703125,329.3837936712468,-8.557930047424236,-8.723274230957031,0,0
held020,0,1,KL001,10.0,-0.1481848955154419,-0.06844107806682587,-0.1481849018009917,-19.859350472688675,-19.859350472688675,23.285189083233245,16.762481689453125,14.649810758121436,-8.635378325111816,-2.104386329650879,0,0
