case,episode,decision,agent,sim_time,latent_heading,latent_speed,latent_heading_unclipped,requested_turn_degrees,applied_turn_degrees,heading_before,reference_heading_before,heading_after,actual_turn_degrees,drift_after_degrees,static_override,mapped_turn_saturated
zero,0,3,KL008,20.0,-0.0,-0.0,-0.0,0.0010934778765658848,0.0010934778765658848,291.28758706321315,-68.7113037109375,291.2886805410897,0.0010934778765658848,-0.0011112588690593839,0,0
zero,0,3,KL009,20.0,0.0,0.0,0.0,1.0551661944191437e-05,1.0551661944191437e-05,169.13212971337134,169.13214111328125,169.13214026503329,1.0551661944191437e-05,-1.046015586325666e-05,0,0
zero,0,3,KL0010,20.0,0.0,-0.0,0.0,2.0158477127552032e-05,2.0158477127552032e-05,338.06956065875363,-21.930419921875,338.06958081723076,2.0158477127552032e-05,-2.00472441065358e-05,0,0
zero,0,4,KL001,25.0,-0.0,0.0,-0.0,0.0008741420515434584,0.0008741420515434584,16.75112877224177,16.751998901367188,16.752002914293314,0.0008741420515434584,-0.0008642927859909832,0,0
zero,0,4,KL002,25.0,0.0,0.0,0.0,1.4427367460712048e-05,1.4427367460712048e-05,165.81444789257762,165.814453125,165.81446231994505,1.4427367432290339e-05,-1.4315551197796594e-05,0,0
zero,0,4,KL003,25.0,-0.0,-0.0,-0.0,37.08358883857727,37.08358883857727,49.39517953030341,86.478759765625,57.9912027804268,8.59602325012338,-29.202857971191406,0,0
zero,0,4,KL004,25.0,0.0,-0.0,0.0,-17.77983918786049,-17.77983918786049,46.732049441371444,28.95220947265625,38.13602619124805,-8.59602325012338,9.383453369140625,0,0
zero,0,4,KL005,25.0,-0.0,0.0,-0.0,1.8692488197302737e-05,1.8692488197302737e-05,135.8627897627988,135.86279296875,135.862808455287,1.8692488197302737e-05,-1.8562166587798856e-05,0,0
zero,0,4,KL006,25.0,-0.0,0.0,-0.0,0.0029803421784890816,0.0029803421784890816,290.8820217772567,-69.114990234375,290.88500211943517,0.0029803421784890816,-0.0030427391175180674,0,0
zero,0,4,KL007,25.0,0.0,-0.0,0.0,-1.5761385157020413e-05,-1.5761385157020413e-05,202.03362445426444,-157.96636962890625,202.03360869287928,-1.5761385157020413e-05,1.5608065950800665e-05,0,0
zero,0,4,KL008,25.0,0.0,0.0,0.0,0.0011112588890682673,0.0011112588890682673,291.2886805410897,-68.71023559570312,291.2897917999788,0.0011112588890682673,-0.001129333395510912,0,0
zero,0,4,KL009,25.0,-0.0,-0.0,-0.0,1.046015562167213e-05,1.046015562167213e-05,169.13214026503329,169.13214111328125,169.13215072518892,1.0460155635882984e-05,-1.0368587936682161e-05,0,0
zero,0,4,KL0010,25.0,0.0,-0.0,0.0,2.0047244504439732e-05,2.0047244504439732e-05,338.06958081723076,-21.930419921875,338.0696008644752,2.0047244447596313e-05,-1.9936174794565886e-05,0,0
zero,0,5,KL001,30.0,0.0,-0.0,0.0,0.0008642928241897607,0.0008642928241897607,16.752002914293314,16.75286865234375,16.752867207117504,0.0008642928241897607,-0.0008542953291907907,0,0
