time/time_elapsed,time/episodes,time/total_timesteps,time/fps,train/learning_rate,train/ent_coef,train/ent_coef_loss,train/actor_loss,train/critic_loss,train/n_updates
14,1392,392120,40,,,,,,
49,1396,393320,36,,,,,,
86,1400,394520,34,,,,,,
115,1404,395720,36,,,,,,
153,1408,396920,35,,,,,,
203,1412,398120,32,,,,,,
241,1416,399320,32,,,,,,
282,1420,400520,31,,,,,,
310,1424,401720,32,0.0003,0.15273935347795486,0.7738152146339417,144.2430191040039,169.0780029296875,152798
329,1428,402258,32,0.0003,0.17094387114048004,0.8629176318645477,134.30420684814453,181.909423828125,153336
345,1432,402724,32,0.0003,0.18468890339136124,0.18601463362574577,129.6528778076172,101.72660446166992,153802
357,1436,403044,32,0.0003,0.18681002408266068,-0.0761253796517849,126.2200698852539,84.97351837158203,154122
380,1440,403516,31,0.0003,0.1721813753247261,-0.3714848794043064,118.78211975097656,101.21124649047852,154594
399,1444,403882,30,0.0003,0.15707413107156754,-0.7472867965698242,115.72281646728516,126.0555191040039,154960
421,1448,404236,30,0.0003,0.1425570473074913,-0.7166678011417389,107.69245910644531,116.29803466796875,155314
458,1452,404956,29,0.0003,0.12327386811375618,-0.8570009469985962,102.72838592529297,89.28593826293945,156034
494,1456,405748,28,0.0003,0.10398733988404274,-0.5136152505874634,94.57715225219727,82.04554748535156,156826
567,1460,406846,27,0.0003,0.09506605938076973,0.16665786504745483,88.53084564208984,75.57090759277344,157924
602,1464,407586,26,0.0003,0.09560422599315643,-0.43352210521698,84.37469863891602,76.54390716552734,158664
646,1468,408410,26,0.0003,0.09982341527938843,-0.45314139127731323,80.11491775512695,50.26999282836914,159488
683,1472,409230,25,0.0003,0.09862812235951424,0.011696845293045044,86.29323196411133,58.693307876586914,160308
731,1476,410066,25,0.0003,0.09509354457259178,0.10013972222805023,83.15081405639648,59.54838180541992,161144
772,1480,411266,25,0.0003,0.08701504394412041,0.03081684559583664,75.09252166748047,50.27934455871582,162344
805,1484,412126,25,0.0003,0.09205685183405876,0.4343729428946972,83.80912399291992,41.221435546875,163204
841,1488,412954,25,0.0003,0.09005870297551155,-0.10943514108657837,71.44160461425781,38.73970413208008,164032
870,1492,413548,25,0.0003,0.08623082563281059,-0.21569329500198364,75.71342849731445,60.579410552978516,164626
900,1496,414206,25,0.0003,0.08522282168269157,0.2577948570251465,75.08478927612305,63.182159423828125,165284
928,1500,414824,25,0.0003,0.08856593072414398,-0.37121953070163727,76.64240264892578,48.180999755859375,165902
944,1504,415406,25,0.0003,0.09318577870726585,0.14217459410429,80.3338851928711,35.87929153442383,166484
971,1508,416062,25,0.0003,0.09763392806053162,0.19103389978408813,75.99320220947266,41.87565231323242,167140
