Metric | Reference | Candidate | Change [95% interval]
waypoint_reached | 0.9935 | 0.9920 | -0.0015 [-0.0045, +0.0010]
flight_time | 994.0735 | 999.1990 | +5.1255 [-3.9914, +14.0916]
intrusion_events | 0.0510 | 0.0510 | -0.0000 [-0.0100, +0.0110]
intrusion_time | 2.5360 | 2.3470 | -0.1890 [-0.7850, +0.3821]
restricted_area_events | 0.0210 | 0.0180 | -0.0030 [-0.0070, +0.0005]
time_in_restricted_area | 0.9275 | 0.9435 | +0.0160 [-0.0635, +0.1080]
sector_exit_events | 0.0000 | 0.0000 | +0.0000 [+0.0000, +0.0000]
time_outside_sector | 0.0000 | 0.0000 | +0.0000 [+0.0000, +0.0000]
clean_completion_rate | 0.9380 | 0.9390 | +0.0010 [-0.0085, +0.0100]
all_aircraft_clean_completion_rate | 0.7300 | 0.7250 | -0.0050 [-0.0450, +0.0300]
