time,distance_nm,heading_difference_deg,speed_a_mps,speed_b_mps,action_a,action_b,filter_a,filter_b,goal_distance_a_km,goal_distance_b_km
0.0,10.219888568431633,0.2742006456180661,152.40357712476657,152.40357712476657,0.5542330741882324,-0.7708142399787903,False,False,134.99071683287949,112.38187011315848
10.0,10.316761982544735,33.648979046391844,153.6870394255738,155.6828521046285,0.3381929397583008,0.23391187191009521,False,False,133.48055201036817,110.85501918840734
20.0,10.592327713291143,38.341627099561094,153.4718470741482,158.8079019924452,0.5998430252075195,-0.17899692058563232,False,False,132.1118527071863,109.29396485138993
30.0,11.10427317921717,63.44854759418587,153.6522865542612,161.87567823180808,0.4417581558227539,0.08200526237487793,False,False,130.9797947488378,107.72253428963523
40.0,11.893349433395834,76.7321529751502,154.3603291054649,164.97868712954755,0.05351555347442627,-0.08011776208877563,False,False,130.20735776359385,106.1098358024731
50.0,12.875010525298878,82.74565217549429,155.150442124842,165.5846750214427,-0.006622135639190674,-0.8834999799728394,False,False,129.68836237341478,104.50915877354926
60.0,13.913366747306224,98.27090702148757,156.02623966597673,165.5846750214427,-0.14994388818740845,-0.6538600325584412,False,False,129.1777223246481,103.00212763641001
70.0,14.927699637369896,107.34668300281106,157.08472447412683,165.5846750214427,-0.5050722360610962,0.3210601806640625,False,False,128.53512439080885,101.74503510195449
80.0,15.843988056315641,76.50778420630581,160.22294326105072,165.5846750214427,0.46241295337677,-0.03012692928314209,False,False,127.6533559766308,100.47214118950524
90.0,16.81933872652135,93.9531609534049,163.18488410243611,165.5846750214427,-0.2571178674697876,0.07977581024169922,False,False,126.80640298323996,99.12614836230236
100.0,17.803623013795587,78.792945456388,165.5846750214427,165.5846750214427,0.7151808738708496,0.08764064311981201,False,False,125.94359469688965,97.73476874968718
110.0,18.867346217317948,90.67236746575333,165.5846750214427,165.5846750214427,-0.40312373638153076,-0.08403223752975464,False,False,125.22551477714244,96.29319519133769
120.0,19.940976770145383,78.63056720483542,165.5846750214427,165.5846750214427,0.841620922088623,0.17564630508422852,False,False,124.48446145111636,94.9072897014485
130.0,21.014428842220525,86.549734425802,165.5846750214427,165.5846750214427,-0.4245454668998718,0.1885223388671875,False,True,123.8027572677149,93.44156050900669
140.0,21.98445073059311,54.903232526288264,165.5846750214427,165.5846750214427,-0.3793240785598755,-0.4751368761062622,False,True,123.09822379497658,91.86956468693954
150.0,22.53871398192411,23.256730626774527,165.5846750214427,165.5846750214427,0.4178680181503296,-0.6919270157814026,False,True,122.0276167243758,90.22004482012336
160.0,22.90110850588532,23.308482186857873,165.0448788700447,165.5846750214427,-0.8036073446273804,-0.8168153762817383,False,True,121.0098489904514,88.61718354706555
170.0,23.02083740455308,2.5147687628989956,165.5846750214427,165.5846750214427,-0.12413233518600464,-0.9435923099517822,False,True,119.96764043410195,87.1661719595853
180.0,22.84346511003839,13.100723846269204,165.5846750214427,165.5846750214427,-0.2712569236755371,-0.9678096771240234,False,True,118.68905195463147,85.83321129286361
190.0,22.455347791429862,30.307285411668374,165.5846750214427,165.5846750214427,0.7545093297958374,-0.9601104855537415,False,True,117.27397454091067,84.60456096108332
200.0,22.06368274229348,19.255218671082787,162.96185374292062,165.5846750214427,0.2627679109573364,-0.9724469184875488,False,True,115.9614584767027,83.4944450611213
210.0,21.895704686827838,7.430662678002648,165.5615077445643,165.5846750214427,-0.12151569128036499,-0.9654288291931152,False,True,114.9467017533034,82.41483992191715
220.0,21.645791851602084,17.898868785619072,165.5846750214427,165.5846750214427,0.41594457626342773,-0.9894532561302185,False,True,113.92166695171929,81.45765274607174
230.0,21.511693976200124,2.0756178358622037,165.5846750214427,165.5846750214427,-0.9057558178901672,-0.9892752170562744,False,True,113.10772178647474,80.53657862585148
240.0,21.288109605031657,22.898868785619072,165.5846750214427,165.5846750214427,-0.015751659870147705,-0.9889458417892456,False,True,112.27269647580047,79.7510907394474
