time,agent,lat,lon,cas_mps,tas_mps,goal_distance_km,heading_error_deg,heading_action,speed_action,nearest_nm,outside,commanded_heading_turn_deg,static_projection_intervened,static_projection_infeasible
0.0,KL001,52.94974674529869,3.0054658319800143,150.0,152.40357712476657,134.99071683287949,-0.0318507625601967,0.5542330741882324,0.36915040016174316,10.219888568431633,False,24.94048833847046,False,False
0.0,KL002,52.30498581255921,3.9752959474130236,150.0,152.40357712476657,101.25838447322433,-0.38250381088363383,0.3570067882537842,0.9712631702423096,17.652309843461776,False,16.065305471420288,False,False
0.0,KL003,51.65802161019801,2.473908803547514,150.0,152.40357712476657,114.44267888742539,0.008177066575342451,-0.9400633573532104,0.8733882904052734,21.12241833602861,False,-42.30285108089447,False,False
0.0,KL004,52.792639161268454,3.1139884325203804,150.0,152.40357712476657,112.38187011315848,-0.024919042791339052,-0.7708142399787903,0.9430032968521118,10.219888568431633,False,-34.68664079904556,False,False
0.0,KL005,52.33951966649795,4.452982965041345,150.0,152.40357712476657,162.04302393966563,-0.08654051262689677,-0.8253852725028992,0.7916096448898315,17.652309843461776,False,-37.14233726263046,False,False
0.0,KL006,51.867597114776004,3.91984197977459,150.0,152.40357712476657,108.20061012582131,-0.1237183804175288,-0.017176568508148193,0.21363377571105957,26.340589539376666,False,-0.7729455828666687,False,False
0.0,KL007,52.653646435780814,2.731485189758687,150.0,152.40357712476657,139.08334877259674,-0.15134819462684845,-0.995846152305603,0.6734936237335205,16.220903231591116,False,-44.813076853752136,False,False
0.0,KL008,51.71135098048126,3.083682402817331,150.0,152.40357712476657,114.792899710878,0.06912009645947137,-0.6490443348884583,0.929344654083252,22.923185859045525,False,-29.20699506998062,False,False
0.0,KL009,51.306296614410016,2.48581107722671,150.0,152.40357712476657,141.9928817443142,-0.16107852241094633,0.16370832920074463,-0.6073871850967407,21.12241833602861,False,7.366874814033508,False,False
0.0,KL0010,52.50100966021338,2.1714568180635796,150.0,152.40357712476657,155.09297382305934,-0.07573273947824077,-0.9885961413383484,-0.527959406375885,22.394222909238184,False,-44.48682636022568,False,False
10.0,KL001,52.93603569812806,3.0033811905572145,151.26557180040555,153.6870394255738,133.48055201036817,17.127695214041722,0.3381929397583008,-0.061731576919555664,10.316761982544735,False,15.218682289123535,False,False
10.0,KL002,52.31813009779822,3.967775327047019,153.33059381301464,155.7811341152316,99.72748083177524,15.818367776138075,-0.03871268033981323,0.9828306436538696,17.284552183903614,False,-1.7420706152915955,False,False
10.0,KL003,51.67181344550991,2.4711020667021137,152.99491951512854,155.44074407469887,112.91745510742278,-17.007473448675228,-0.1848224401473999,0.8873611688613892,21.483056182167186,False,-8.317009806632996,False,False
10.0,KL004,52.7790894130389,3.11923663051667,153.23367299763856,155.6828521046285,110.85501918840734,-17.0280573058852,0.23391187191009521,0.8987606763839722,10.316761982544735,False,10.526034235954285,False,False
10.0,KL005,52.328846913724014,4.4384575518103455,152.71444929170477,155.15633063706974,160.52347111804832,-17.091856561310323,-0.7583905458450317,0.7676060199737549,17.284552183903614,False,-34.12757456302643,False,False
10.0,KL006,51.88065283035294,3.9127377338625084,150.73220783807918,153.14614241018467,106.66939622425475,-0.9094402598722127,0.42242348194122314,-0.5008819103240967,26.34465686802877,False,19.00905668735504,False,False
10.0,KL007,52.65256418927204,2.7542483301880827,152.30935543578642,154.74553661591352,137.56093315545206,-17.207640242721737,-0.9881280660629272,0.712029218673706,15.294788198948522,False,-44.465762972831726,False,False
10.0,KL008,51.72518244014751,3.086118760215473,153.18682895216713,155.6353500449942,113.26536814953337,-16.930654133956523,-0.22355985641479492,0.8574968576431274,23.109872056182148,False,-10.060193538665771,False,False
