completion_index,native_return,unscaled_learning_return,learning_return,shaping_return
0,-102.60699361687415,-102.60699361687415,-1.0260699361687415,0.0
1,-138.5765021701336,-138.5765021701336,-1.3857650217013362,0.0
2,-102.66653291815905,-102.66653291815906,-1.0266653291815906,-1.4210854715202004e-14
3,-96.05587197896924,-96.05587197896924,-0.9605587197896924,0.0
4,-348.53152650483275,-348.53152650483275,-3.4853152650483277,0.0
5,-145.22484811018953,-145.22484811018953,-1.4522484811018952,0.0
6,-139.54310533794572,-139.54310533794572,-1.3954310533794572,0.0
7,-16.61477751673599,-16.61477751673599,-0.1661477751673599,0.0
8,-405.32007746754016,-405.32007746754016,-4.0532007746754015,0.0
9,-151.87014837220906,-151.87014837220906,-1.5187014837220907,0.0
10,37.389801607451815,37.389801607451815,0.37389801607451817,0.0
11,37.40803938329595,37.40803938329595,0.3740803938329595,0.0
12,-19.333659538558827,-19.333659538558827,-0.19333659538558828,0.0
13,37.40730817897424,37.40730817897424,0.3740730817897424,0.0
14,-13.670013612444961,-13.670013612444961,-0.13670013612444962,0.0
15,37.405093787973904,37.405093787973904,0.37405093787973903,0.0
16,-13.761196820075995,-13.761196820075993,-0.13761196820075994,1.7763568394002505e-15
17,-19.371093546069936,-19.371093546069936,-0.19371093546069937,0.0
18,37.27810683788736,37.27810683788736,0.3727810683788736,0.0
19,37.288117360730446,37.288117360730446,0.3728811736073045,0.0
20,37.409771552802304,37.409771552802304,0.37409771552802307,0.0
21,-30.707117673151906,-30.707117673151906,-0.30707117673151907,0.0
22,37.407065537885785,37.407065537885785,0.37407065537885786,0.0
23,-357.0008597467207,-357.0008597467207,-3.5700085974672073,0.0
24,37.299610527420576,37.299610527420576,0.3729961052742058,0.0
25,26.05771500447452,26.057715004474517,0.2605771500447452,-3.552713678800501e-15
26,24.162820269417956,24.162820269417956,0.24162820269417956,0.0
27,37.33191229021662,37.33191229021662,0.37331912290216623,0.0
28,-357.0604221752047,-357.0604221752047,-3.570604221752047,0.0
29,-32.695725671068395,-32.695725671068395,-0.32695725671068393,0.0
30,37.40875771889444,37.40875771889444,0.3740875771889444,0.0
31,-45.86954064798953,-45.86954064798953,-0.4586954064798953,0.0
32,-62.87474142757267,-62.87474142757268,-0.6287474142757268,-7.105427357601002e-15
33,-71.37186364100259,-71.37186364100259,-0.713718636410026,0.0
34,-77.05932838291417,-77.05932838291417,-0.7705932838291417,0.0
35,-131.9079987655404,-131.9079987655404,-1.3190799876554042,0.0
36,-15.571448029243747,-15.571448029243747,-0.15571448029243748,0.0
37,-189.59489375897712,-189.59489375897712,-1.8959489375897713,0.0
38,-55.35288750436886,-55.352887504368866,-0.5535288750436886,-7.105427357601002e-15
39,-20.54145957044149,-20.54145957044149,-0.2054145957044149,0.0
40,-79.85695984856343,-79.85695984856343,-0.7985695984856344,0.0
41,-14.606484792291866,-14.606484792291866,-0.14606484792291866,0.0
42,-315.3410246285811,-315.3410246285811,-3.1534102462858113,0.0
43,-365.49688567404064,-365.49688567404064,-3.6549688567404064,0.0
44,-122.46931437628109,-122.4693143762811,-1.224693143762811,-1.4210854715202004e-14
45,37.30272928502743,37.30272928502743,0.3730272928502743,0.0
46,-7.177712736190138,-7.177712736190138,-0.07177712736190138,0.0
47,-896.241550166857,-896.241550166857,-8.96241550166857,0.0
48,37.2520937969591,37.2520937969591,0.372520937969591,0.0
49,-896.2136118875862,-896.2136118875862,-8.962136118875863,0.0
50,-235.89662235478602,-235.89662235478602,-2.3589662235478603,0.0
51,-36.35536379323548,-36.35536379323548,-0.36355363793235485,0.0
52,-148.89402322665083,-148.89402322665083,-1.4889402322665084,0.0
53,-216.98631762577796,-216.98631762577799,-2.16986317625778,-2.842170943040401e-14
54,-15.55292882315328,-15.55292882315328,-0.1555292882315328,0.0
55,-6.112937029165003,-6.112937029165003,-0.06112937029165003,0.0
56,-115.79710682681468,-115.79710682681467,-1.1579710682681468,1.4210854715202004e-14
57,-332.36319410558787,-332.36319410558787,-3.323631941055879,0.0
58,-40.14424321231256,-40.14424321231256,-0.4014424321231256,0.0
59,22.2726802551443,22.2726802551443,0.22272680255144303,0.0
60,-70.40057825347517,-70.40057825347517,-0.7040057825347518,0.0
61,37.409107390890696,37.409107390890696,0.37409107390890695,0.0
62,-20.27766348842269,-20.27766348842269,-0.2027766348842269,0.0
63,-83.69533725461724,-83.69533725461724,-0.8369533725461724,0.0
64,-72.36997710904389,-72.36997710904389,-0.7236997710904389,0.0
65,37.403546907897706,37.403546907897706,0.37403546907897706,0.0
66,16.563863700883076,16.563863700883076,0.16563863700883075,0.0
67,37.356178313916935,37.356178313916935,0.3735617831391694,0.0
68,16.528541768015142,16.528541768015142,0.16528541768015143,0.0
69,-24.125832188998686,-24.125832188998686,-0.24125832188998686,0.0
70,0.4747263815703562,0.4747263815703562,0.004747263815703562,0.0
