rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/std,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/loss,train/entropy_loss,train/clip_fraction,train/explained_variance,train/n_updates,train/value_loss
-1.3622751976923002,231.25,194,13,1,2560,,,,,,,,,,,
-0.8032936830079767,210.57894736842104,259,9,1,5120,0.04999139904975891,0.2,0.0003,-0.0052903230488300325,0.013758445,0.00880706962198019,3.1541052722930907,0.20723203539848328,0.4610666036605835,10,0.0483371527120471
-0.6889217034794511,205.9,214,11,1,7680,0.05013597756624222,0.2,0.0003,-0.012021906720474363,0.014109854,0.020986439660191536,3.1510951995849608,0.17636605193838478,0.6768977642059326,20,0.01871590728405863
-0.6869125781736073,200.76923076923077,202,12,1,10240,0.05009651929140091,0.2,0.0003,-0.009947992055094801,0.015349034,0.016701681539416313,3.149126261472702,0.12668496882542968,0.6079913377761841,30,0.027963610249571502
-0.7230941822597549,200.7906976744186,167,15,1,12800,0.050276849418878555,0.2,0.0003,-0.0076765187899582085,0.010122947,0.02158013917505741,3.1466346621513366,0.1252588172443211,0.5021660923957825,40,0.020624815835617483
-1.064469847095183,206.36,162,15,1,15360,0.050416938960552216,0.2,0.0003,-0.013967187859816477,0.013589519,0.038617558777332306,3.139820408821106,0.14252554150298238,0.435907781124115,50,0.0540750652551651
-1.0319759407252793,197.28571428571428,161,15,1,17920,0.05067647248506546,0.2,0.0003,-0.01515984304714948,0.015904488,0.06622292101383209,3.132086366415024,0.136474609375,0.47049450874328613,60,0.053556148707866666
-0.9077646265518927,196.04166666666666,202,12,1,20480,0.05091444402933121,0.2,0.0003,-0.010163497671277987,0.023523089,-0.04424585402011871,3.122263378567166,0.16868799726168315,0.6949405670166016,69,0.03419408640927739
-1.3089031297379743,194.37209302325581,167,15,1,23040,0.05104527994990349,0.2,0.0003,-0.008751090572332032,0.011527044,0.026454366743564606,3.115077382326126,0.1719704568386078,0.38723766803741455,79,0.07400587270967662
-1.2995303295817862,193.86458333333334,213,12,1,25600,0.05107198655605316,0.2,0.0003,-0.010195312032446963,0.019463656,0.02875468134880066,3.111542820930481,0.18212365552783014,0.4427655339241028,89,0.11209183275699615
