time,agent,lat,lon,cas_mps,tas_mps,goal_distance_km,heading_error_deg,heading_action,speed_action,nearest_nm,outside
0.0,KL001,52.84992376263058,4.851669291645799,150.0,152.40357712476657,141.32280119246073,0.04583626573347033,0.7244315147399902,-0.09144169092178345,19.181113958664135,False
0.0,KL002,51.46841672140794,3.9179824396232146,150.0,152.40357712476657,165.69857473862328,0.07055851217418763,0.8685224056243896,0.5656096935272217,11.425337356503622,False
0.0,KL003,52.19845806069249,5.949224096926777,150.0,152.40357712476657,135.55336573637442,0.004411205642327332,0.689623236656189,-0.3900495767593384,16.857270848033235,False
0.0,KL004,51.566101948624976,2.798006290079039,150.0,152.40357712476657,102.62389115480485,0.11637164361050623,0.7183637619018555,-0.5913522243499756,42.25348011661886,False
0.0,KL005,52.421097827571934,4.207166423168707,150.0,152.40357712476657,141.52136009252231,-0.030402617728213954,-0.4967862367630005,0.2591139078140259,34.848335263163655,False
0.0,KL006,51.491143676357666,4.4110410731226395,150.0,152.40357712476657,135.17264429816117,0.12009762625257281,0.10015428066253662,-0.3890756368637085,10.4914902772341,False
0.0,KL007,51.578357912887355,4.167616957991394,150.0,152.40357712476657,152.8485630148061,0.0989238292759751,0.768954873085022,-0.025317370891571045,10.4914902772341,False
0.0,KL008,52.30125394311335,5.522464949529284,150.0,152.40357712476657,108.26851373052747,-0.05094081220832436,-0.3895227313041687,-0.2444746494293213,16.857270848033235,False
0.0,KL009,52.654429252525055,5.269126061438934,150.0,152.40357712476657,157.02569723430153,0.04648971232344934,0.9210646152496338,-0.4821929931640625,19.181113958664135,False
0.0,KL0010,51.738927570852326,5.435623461229068,150.0,152.40357712476657,130.77473007562372,-0.12487856579667778,0.8168277740478516,-0.2996225357055664,33.49876550058571,False
10.0,KL001,52.83702695664379,4.84438648124305,149.68591288236956,152.08504142847917,139.82812177942282,17.377808963121282,-0.15798205137252808,-0.06731617450714111,18.82176310070681,False
10.0,KL002,51.47979212154172,3.930594194719727,151.9393538318456,154.3703236563197,164.18400408061802,17.140527705584816,0.8400442600250244,0.6093267202377319,11.411495572644547,False
