time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,train/approx_kl,train/value_loss,train/entropy_loss,train/explained_variance,train/std,train/clip_range,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/loss,train/learning_rate
19,276480,258,174.31,1,-1.2898404878886862,0.017203985,0.02576488994061947,2.965227484703064,0.8555346131324768,0.055103152990341187,0.2,0.15303906232118605,515,-0.011151917293900623,0.02650240808725357,0.0003
17,281600,291,173.12,1,-1.5010659867218417,0.012182943,0.05461259731091559,2.956140422821045,0.7826458215713501,0.05530739575624466,0.2,0.15104772746562958,525,-0.012901257190969772,0.024716904386878014,0.0003
23,286720,216,174.7,1,-1.4156365278440717,0.019337164,0.027200343599542976,2.949893355369568,0.8846829533576965,0.055366627871990204,0.2,0.15557189034298063,535,-0.015632166000432334,0.02038484625518322,0.0003
20,291840,244,171.4,1,-1.0918965539370302,0.013163155,0.021091329120099544,2.950210494995117,0.8925444483757019,0.05539686232805252,0.2,0.19560763910412787,545,-0.0023574584582820536,0.008053350262343884,0.0003
27,296960,187,170.37,1,-0.96072504567579,0.0145348,0.02081308071501553,2.9452230870723723,0.866693377494812,0.055592022836208344,0.2,0.16154019851237536,555,-0.015643266681581735,0.01523861475288868,0.0003
26,302080,190,174.05,1,-0.8257201087654235,0.012209713,0.030207208916544916,2.944250077009201,0.8644884824752808,0.05538884550333023,0.2,0.152629129961133,565,-0.009982665933785028,0.01700771227478981,0.0003
22,307200,224,170.51,1,-0.6822273335406323,0.014434783,0.014379107728600501,2.9531017303466798,0.9344137907028198,0.055177755653858185,0.2,0.15636126920580865,575,-0.012101728923153133,0.00022476259618997574,0.0003
23,312320,214,171.63,1,-0.9058668790288226,0.012727842,0.021334423907101153,2.959835181236267,0.9116544723510742,0.055040597915649414,0.2,0.1765773166716099,585,-0.010644384138286113,0.01588313654065132,0.0003
20,317440,253,172.89,1,-0.9948842794498677,0.012957027,0.036511736502870915,2.9571488738059997,0.7879728078842163,0.055286139249801636,0.2,0.16271153688430787,595,-0.009919604282185902,0.020765993744134903,0.0003
22,322560,225,172.77,1,-0.9289622748051446,0.014188859,0.03305272604338825,2.946513521671295,0.8756041526794434,0.05564609169960022,0.2,0.15472920956090092,605,-0.010669829807011411,0.025389965623617172,0.0003
22,327680,230,174.46,1,-1.0441081403158017,0.013140078,0.01882067446131259,2.9356196582317353,0.9260578155517578,0.05584654211997986,0.2,0.1488641319796443,615,-0.016471296423696914,-0.0009211055003106594,0.0003
25,332800,200,172.19,1,-0.9221795424038187,0.015602735,0.015270537268370389,2.9328944301605224,0.9135072827339172,0.05583058297634125,0.2,0.17819150984287263,625,-0.01269778946065344,0.0025856695137917995,0.0003
21,337920,236,173.73,1,-0.8668815472615091,0.017149137,0.029881730005145074,2.9309051847457885,0.854580283164978,0.055959977209568024,0.2,0.19876723393797874,635,-0.004204563742969185,0.03884558752179146,0.0003
17,343040,300,170.37,1,-0.8942808267516833,0.04216626,0.02381804705980946,2.927030689576093,0.9016003608703613,0.05604567006230354,0.2,0.19820356938768835,639,-0.0024280940209898878,0.04950520396232605,0.0003
17,348160,294,167.65,1,-0.9404076226069229,0.017165795,0.02659994470886886,2.9206646144390107,0.871802806854248,0.05629687011241913,0.2,0.17016825173050165,649,-0.009824204473989084,0.031630270183086395,0.0003
18,353280,282,170.92,1,-0.859196194887108,0.016895581,0.019360298197716473,2.9152607822418215,0.8954042196273804,0.05634766072034836,0.2,0.1679710891097784,659,-0.010617357911542058,0.03134991601109505,0.0003
18,358400,275,172.24,1,-0.8272135527176154,0.012647061,0.017246501334011555,2.9153415858745575,0.8664049506187439,0.05629701167345047,0.2,0.15107455402612685,669,-0.009336112458549905,0.014184562489390373,0.0003
19,363520,256,175.47,1,-0.8746135809959183,0.012912872,0.020088843652047217,2.9097844421863557,0.9182271361351013,0.05668087303638458,0.2,0.15289513021707535,679,-0.013210770871955902,0.012706246227025986,0.0003
16,368640,308,175.41,1,-0.8712509281736354,0.014994147,0.02927704807370901,2.9033978939056397,0.8544979095458984,0.0566374845802784,0.2,0.16768856924027203,689,-0.011281551560387015,0.018917690962553024,0.0003
18,373760,275,173.79,1,-0.9418490000652298,0.017317403,0.019086976051330567,2.9065118408203126,0.8857741355895996,0.05651954188942909,0.2,0.16746726825833322,699,-0.012758488919353113,0.037300944328308105,0.0003
17,378880,286,173.9,1,-0.9486938745711712,0.025385901,0.029209556058049202,2.910384564399719,0.8599495887756348,0.05643860250711441,0.2,0.195053354203701,709,-0.009391470105620102,0.009912618435919285,0.0003
20,384000,251,172.29,1,-0.9460998598688432,0.046984628,0.023549031362765364,2.910835769441393,0.9145088195800781,0.05651513859629631,0.2,0.21086613999472725,715,-0.0021212742258622137,0.0636177584528923,0.0003
21,389120,234,171.62,1,-0.7695191604903145,0.014181506,0.020120315696112813,2.9110844910144804,0.8933512568473816,0.05630756914615631,0.2,0.14074849300086498,725,-0.01313475491188001,0.011955337598919868,0.0003
32,394240,159,176.38,1,-0.7364353636537204,0.015753312,0.014201710536144673,2.9148200511932374,0.9065921902656555,0.056459710001945496,0.2,0.16744658797979356,735,-0.01004679876496084,0.019640635699033737,0.0003
30,399360,169,173.98,1,-0.6155064666007785,0.013664378,0.015261529255658388,2.9104979372024538,0.9171329736709595,0.056435056030750275,0.2,0.1665261860191822,745,-0.011192540773190558,0.014166431501507759,0.0003
22,404480,229,173.03,1,-0.7073666691830589,0.011632277,0.019273126032203436,2.9124006414413453,0.8238517642021179,0.05643995478749275,0.2,0.1412542301416397,755,-0.011289857468800618,0.008255847729742527,0.0003
24,409600,208,175.56,1,-0.7392946323776357,0.023218608,0.03296888887882233,2.91163857460022,0.7235690355300903,0.05643949657678604,0.2,0.21010710708796979,765,-0.004971033139154315,0.016082916408777237,0.0003
23,414720,213,176.72,1,-0.9097488984222322,0.012080908,0.0184458764269948,2.9089216887950897,0.8926132917404175,0.056601159274578094,0.2,0.1805036261677742,775,-0.010443187435157597,0.012608267366886139,0.0003
21,419840,235,177.86,1,-0.9490196413184104,0.0129791405,0.022118236776441334,2.9049087285995485,0.8897919654846191,0.05663309618830681,0.2,0.1577530110254884,785,-0.011776443009148352,0.017573745921254158,0.0003
24,424960,209,180.97,1,-0.7373379156424007,0.014163509,0.012746322026941925,2.9054460525512695,0.8869259357452393,0.056576795876026154,0.2,0.15683802235871552,795,-0.01188815713103395,0.010349531657993793,0.0003
23,430080,221,179.34,1,-0.7422015323090945,0.038241312,0.017098684096708894,2.9081363677978516,0.8892835378646851,0.056506164371967316,0.2,0.19786267541348934,802,-0.0068301425271783955,0.04927167296409607,0.0003
23,435200,220,177.85,1,-0.7137113004219011,0.014908636,0.014103959761559964,2.90834125995636,0.9077636003494263,0.056584641337394714,0.2,0.16875382974743844,812,-0.011779360562795773,0.010928377509117126,0.0003
25,440320,200,176.5,1,-0.6807006766910582,0.013507647,0.020014469139277936,2.903543381690979,0.8069067001342773,0.05674906447529793,0.2,0.1544531248509884,822,-0.012355376682244242,0.012971214950084686,0.0003
16,445440,319,175.68,1,-0.6900076075615401,0.01174988,0.04558232024312019,2.895877466201782,0.707980751991272,0.057026609778404236,0.2,0.20580957800149918,832,-0.0028622826654464005,0.03154773637652397,0.0003
17,450560,288,174.86,1,-0.7360613042753478,0.011234218,0.017738572671078146,2.888297426700592,0.8618924021720886,0.05713675171136856,0.2,0.16235437691211702,842,-0.007953461221040925,0.015327505767345428,0.0003
13,455680,367,175.06,1,-0.6138396961966982,0.013833248,0.017436554632149638,2.892968565225601,0.8809219598770142,0.05678783357143402,0.2,0.14431444685906172,852,-0.013160055445041507,0.010511624626815319,0.0003
