rollout,live_transitions,padded_transitions,counted_transitions,worlds_completed,aircraft_completed,optimizer_steps,policy_epochs,wall_seconds,live_transitions_per_second,training_return_last100,native_return_last100,training_arrival_last100,policy_loss,value_loss,approx_kl,clip_fraction
1,4343,777,5120,2,20,1,1,37.11966029999894,116.99999312763441,-1.1933689630781614,-119.33689630781615,1.0,0.02386149112135172,0.16844097524881363,0.02356037124991417,0.23388671875
2,8715,1525,10240,4,40,51,11,60.411425500000405,144.26079053539203,-1.0417371166574818,-104.17371166574817,1.0,-0.00888225678820163,0.07135609962046147,0.012011537328362465,0.14865347594022751
3,12872,2488,15360,6,69,101,21,88.8196351000006,144.92291018205177,-1.0018566964064999,-100.18566964065,1.0,-0.009065388415474445,0.03669612869620323,0.014390061609447002,0.16488505333662032
4,16691,3789,20480,10,100,141,31,116.25495919999958,143.5723698572341,-0.8981690529533987,-89.8169052953399,1.0,-0.009502403523947578,0.028170852223411202,0.009132995270192623,0.11350986622273922
5,21065,4535,25600,12,120,191,41,136.85281190000023,153.92449528470348,-0.7924142421062551,-79.2414242106255,1.0,-0.011267277402803302,0.029165874160826208,0.008682960644364357,0.12428479045629501
6,25386,5334,30720,14,144,241,51,163.64653259999977,155.1270265044408,-0.7180559977002561,-71.8055997700256,1.0,-0.005791380065493286,0.04343722835183143,0.008579050190746784,0.1210910589993
7,29639,6201,35840,17,176,291,61,184.98425080000015,160.2244508482231,-0.7286717198319462,-72.86717198319464,1.0,-0.010033603673800826,0.02486624153330922,0.01676591858267784,0.14976811349391939
8,33804,7156,40960,20,200,341,71,198.05271569999968,170.68183024162417,-0.6875849794732737,-68.75849794732737,1.0,-0.009988482771441341,0.01607182000763714,0.01288236491382122,0.14460512906312942
9,38404,7676,46080,22,220,391,81,212.2908413999994,180.90276408881437,-0.701680972534253,-70.1680972534253,1.0,-0.009053666238469305,0.02870975889265537,0.010041539557278156,0.13849547408521176
10,42580,8620,51200,24,244,441,91,230.1812900999994,184.98462660236916,-0.7465293129158742,-74.65293129158744,1.0,-0.010665361340506933,0.02152459716424346,0.014043614268302917,0.16630078107118607
11,46682,9638,56320,27,276,491,101,245.89684189999934,189.843837111924,-0.5943260705744869,-59.432607057448706,1.0,-0.007171863305848092,0.015144217472989113,0.019794870167970657,0.21067057371139528
12,51061,10379,61440,30,300,541,111,267.0147281999998,191.22915183073425,-1.007578265285894,-100.75782652858938,1.0,-0.008115757151463185,0.04075443226844072,0.012537719681859016,0.1275965516269207
13,55267,11293,66560,32,320,591,121,280.4749413999998,197.0479063981009,-1.0326865145568644,-103.26865145568647,1.0,-0.01056483345106244,0.03480225306004286,0.012735657393932343,0.12613210253417492
14,59298,12382,71680,34,347,631,131,293.8899442000002,201.76940780133015,-1.0518244575898814,-105.18244575898817,1.0,-0.01261714887805283,0.02196197775192559,0.014009357430040836,0.1613299325108528
15,63489,13311,76800,37,370,681,141,307.63502549999976,206.37767073762558,-1.1258997896365142,-112.5899789636514,1.0,-0.009049753025174141,0.018819484263658523,0.015333257615566254,0.18172676876187324
16,67510,14410,81920,39,396,721,151,321.43138999999974,210.0292693877846,-0.7809288714582807,-78.09288714582807,1.0,-0.010553511786565651,0.026001085666939615,0.012409180402755737,0.14914792627096177
17,71590,15450,87040,41,418,761,161,335.1897757000006,213.580500331472,-0.7338961699081874,-73.38961699081872,1.0,-0.010873105094651692,0.02479886740911752,0.011507641524076462,0.13309074230492116
18,75623,16537,92160,44,444,801,171,349.88715839999895,216.1353973258603,-0.6200720112760526,-62.00720112760527,1.0,-0.01115368380851578,0.019091156381182372,0.012649193406105042,0.16220441404730082
19,79668,17612,97280,46,464,841,181,364.4574188000006,218.59343750584634,-0.7078688507643507,-70.78688507643507,1.0,-0.009698087762808427,0.029135439777746797,0.015033233910799026,0.14641677867621183
20,83832,18568,102400,49,490,891,191,378.7845491999997,221.31842541374724,-0.8023006866826365,-80.23006866826363,1.0,-0.007681272402405739,0.020312168337404728,0.019557297229766846,0.21077550612390042
21,88257,19263,107520,51,514,941,201,394.53580429999965,223.69832861326466,-0.8790945859811843,-87.90945859811843,1.0,-0.008534348194953054,0.017571719251573085,0.012671513482928276,0.14822206288576126
