Metric | Reference | Candidate | Change [95% interval]
waypoint_reached | 0.9700 | 0.9800 | +0.0100 [-0.0150, +0.0400]
flight_time | 1221.2050 | 1250.8000 | +29.5950 [-29.2721, +86.4375]
intrusion_events | 0.3350 | 0.3350 | +0.0000 [-0.0700, +0.0650]
intrusion_time | 18.6350 | 18.3500 | -0.2850 [-4.6500, +3.9800]
restricted_area_events | 0.0300 | 0.0400 | +0.0100 [-0.0200, +0.0400]
time_in_restricted_area | 0.9250 | 1.4950 | +0.5700 [-0.8400, +2.3300]
sector_exit_events | 0.0100 | 0.0000 | -0.0100 [-0.0250, +0.0000]
time_outside_sector | 0.4650 | 0.0000 | -0.4650 [-1.3550, +0.0000]
clean_completion_rate | 0.6800 | 0.6800 | +0.0000 [-0.0550, +0.0550]
all_aircraft_clean_completion_rate | 0.6800 | 0.6800 | +0.0000 [-0.0550, +0.0550]
