rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/value_loss,train/entropy_loss,train/clip_range,train/n_updates,train/loss,train/approx_kl,train/std,train/learning_rate,train/clip_fraction,train/explained_variance,train/policy_gradient_loss
289.91,1,97,92160,52,0.2582318418552814,0.0035488097462803127,3.0988733887672426,0.2,170,0.006203813478350639,0.011318801,0.05143493413925171,0.0003,0.133924673916772,0.7047590017318726,-0.011629736406030133
281.37,1,142,97280,35,0.2738946855519348,0.0019274274673080072,3.095422697067261,0.2,180,0.003349018283188343,0.017829789,0.051483847200870514,0.0003,0.19177468067500741,0.8835238814353943,-0.013584096892736852
281.8,1,215,102400,23,0.27390655801355224,0.0021972345624817536,3.094139516353607,0.2,190,0.015433468855917454,0.009960376,0.05153903737664223,0.0003,0.19677321892231703,0.8545573949813843,-0.006413609554874711
264.53,1,289,107520,17,0.2806379459044594,0.001676902372855693,3.091870315869649,0.2,200,0.018289431929588318,0.0125078745,0.05158582702279091,0.0003,0.1538403457418705,0.9093824625015259,-0.013067879613178473
255.94,1,140,112640,36,0.29483712809503504,0.0016732692485675216,3.0887558817863465,0.2,210,0.01873183622956276,0.01610582,0.05175106227397919,0.0003,0.1519244432449341,0.9421144127845764,-0.014677861958625726
244.78,1,132,117760,38,0.28153518580931236,0.002169883557750533,3.082827425003052,0.2,220,0.013635853305459023,0.016761808,0.05179745703935623,0.0003,0.15235114420453708,0.8840745687484741,-0.011883183289319277
246.88,1,211,122880,24,0.2911562615755418,0.001692737970734015,3.078353649377823,0.2,230,0.009784294292330742,0.012093624,0.05209039896726608,0.0003,0.1252828732598573,0.8625326752662659,-0.012831125659431564
250.46,1,164,128000,31,0.2783609480777722,0.001849139012241115,3.071794136365255,0.2,240,0.026852045208215714,0.013693172,0.05204396694898605,0.0003,0.14564544434348742,0.9086807370185852,-0.008202121222469334
234.52,1,192,133120,26,0.3304003016326501,0.002332920103799552,3.074565124511719,0.2,250,0.00945783406496048,0.014767908,0.05200287699699402,0.0003,0.17820255123078824,0.7773159146308899,-0.007618841482326388
238.74,1,268,138240,19,0.3303366074733836,0.0014622251896071249,3.0726612508296967,0.2,260,0.012332860380411148,0.015220153,0.052108604460954666,0.0003,0.16922243144363164,0.9011529684066772,-0.01036122013174463
243.23,1,109,143360,46,0.33025397749986496,0.0010507781543613723,3.068838588396708,0.2,270,0.01412886381149292,0.014189397,0.0522037073969841,0.0003,0.16353782241543133,0.9619086980819702,-0.01364608647612234
243.31,1,447,148480,11,0.33023808338936655,0.0014647582574980333,3.0667607367038725,0.2,280,0.006636612117290497,0.012227484,0.052242882549762726,0.0003,0.14927762616425752,0.8900919556617737,-0.013354567743954248
239.51,1,146,153600,34,0.3340268117968675,0.0005680365953594446,3.066280555725098,0.2,290,0.01335380133241415,0.018927796,0.05221012234687805,0.0003,0.1611111115431413,0.9851424098014832,-0.010951723565036885
233.88,1,143,158720,35,0.3512814140617037,0.001749886415200308,3.0680573284626007,0.2,300,0.002417545299977064,0.013005399,0.05218181014060974,0.0003,0.15729915807023645,0.8776646256446838,-0.012907528036157601
239.19,1,177,163840,28,0.32930839350404406,0.0011359504802385344,3.068432408571243,0.2,310,0.016080696135759354,0.012186388,0.052148427814245224,0.0003,0.16302256491035222,0.8919165730476379,-0.012833609266090206
