rollout/ep_rew_mean,time/total_timesteps,time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean,train/n_updates,train/policy_gradient_loss,train/loss,train/explained_variance,train/value_loss,train/approx_kl,train/clip_fraction,train/entropy_loss,train/learning_rate,train/clip_range,train/std
-119.33689630781615,5120,192,26,1,159.65,,,,,,,,,,,
-105.15308344146972,10240,303,16,1,165.575,10,-0.0029588442761451007,467.1005554199219,-0.006661057472229004,929.2924255371094,0.014257841,0.15019309878349305,3.146187801361084,0.0003,0.2,0.05039680004119873
-104.51248107477288,15360,368,13,1,165.39705882352942,20,-0.006868106042966247,351.64398193359375,0.10382157564163208,831.32294921875,0.00884465,0.08761482015252113,3.1355607414245608,0.0003,0.2,0.050471920520067215
-91.06584178811744,20480,355,14,1,166.43298969072166,30,-0.00253482754342258,226.8443145751953,0.1603134274482727,473.88870727539063,0.011665075,0.15179600027389825,3.134623112678528,0.0003,0.2,0.05047200992703438
-83.73280408492091,25600,308,16,1,169.03,40,-0.009283002176198351,192.04800415039062,0.3915713429450989,413.25902862548827,0.011416933,0.11452763801207766,3.139592707157135,0.0003,0.2,0.05020447075366974
-81.24974692789026,30720,315,16,1,168.28,43,0.010579499532468617,185.39215087890625,0.5070313215255737,380.61511666434154,0.033267874,0.18246372789144516,3.146936093057905,0.0003,0.2,0.05012593790888786
-81.57026318707385,35840,315,16,1,168.93,53,-0.005654202867299318,165.01478576660156,0.5302441120147705,389.4470672607422,0.009346949,0.12126601681113243,3.147312240600586,0.0003,0.2,0.05026277154684067
-74.68612015727501,40960,322,15,1,170.82,63,-0.009072302817367017,195.61465454101562,0.4481392502784729,490.5941717529297,0.010902362,0.10694434747099876,3.140486783981323,0.0003,0.2,0.050393808633089066
-75.99675923791266,46080,314,16,1,173.9,73,-0.007728546747239306,93.74869537353516,0.5869510769844055,238.50037117004393,0.018547522,0.1318255920894444,3.1393536269664764,0.0003,0.2,0.05029178410768509
-78.70138787556058,51200,260,19,1,174.32,83,-0.004764610982965678,112.83171081542969,0.6965495347976685,315.26133155822754,0.010444898,0.1424938639625907,3.1408200919628144,0.0003,0.2,0.05039677768945694
-65.57197247591456,56320,271,18,1,174.55,93,-0.001268206280656159,90.51216125488281,0.6861719489097595,287.00270614624026,0.031161675,0.18670312531292438,3.135702724456787,0.0003,0.2,0.05052316188812256
-66.69599728285752,61440,241,21,1,175.67,103,-0.0064279098110273485,124.39205169677734,0.7461575865745544,322.65364227294924,0.009937847,0.13590210393071175,3.131522521972656,0.0003,0.2,0.05056115984916687
-102.40720855890608,66560,289,17,1,180.13,113,-0.007958695939742029,198.35252380371094,0.7338705658912659,523.0277209472656,0.008134585,0.1213867187872529,3.1313871717453003,0.0003,0.2,0.050543539226055145
-120.85638328853688,71680,316,16,1,181.15,123,-0.008053217832930386,279.8807678222656,0.5703574419021606,646.2361779785156,0.007998346,0.0736855161190033,3.1322247886657717,0.0003,0.2,0.05054507777094841
-122.87284635727825,76800,402,12,1,180.13,133,-0.009290058416081593,244.1160888671875,0.7077491283416748,618.7500366210937,0.00931673,0.0918754814658314,3.1316470682621,0.0003,0.2,0.05056777596473694
-127.20716849486207,81920,372,13,1,179.52,143,-0.009833097109367372,86.92849731445312,0.8410423994064331,216.280712890625,0.010279106,0.09232615329965484,3.1305225253105164,0.0003,0.2,0.05059023201465607
-85.51081192047786,87040,448,11,1,173.95,153,-0.00753014293150045,109.07180786132812,0.7906269431114197,265.18047256469725,0.010386206,0.0953194297850132,3.1302231669425966,0.0003,0.2,0.050581395626068115
-82.47090045590876,92160,437,11,1,174.94,163,-0.011878264766710344,105.20313262939453,0.8329519629478455,242.41266059875488,0.013387489,0.1301130022853613,3.133380627632141,0.0003,0.2,0.050456635653972626
-66.2293373482542,97280,367,13,1,175.74,173,-0.007251436691731215,88.7908935546875,0.8246192336082458,227.8995684814453,0.012563054,0.11761007152497768,3.136045174598694,0.0003,0.2,0.050469495356082916
-74.28127515583506,102400,298,17,1,176.63,183,-0.008640712674241513,93.46168518066406,0.8242038488388062,212.84853515625,0.013020836,0.10850819717161357,3.131738382577896,0.0003,0.2,0.05065003037452698
-80.0505728415479,107520,280,18,1,176.11,193,-0.005634665614343249,137.2239532470703,0.7514234781265259,339.46619720458983,0.011234872,0.10698097245767713,3.126567280292511,0.0003,0.2,0.050733406096696854
-85.7094524519654,112640,426,12,1,176.51,203,-0.0071937190718017515,54.754451751708984,0.8104396462440491,193.01406326293946,0.0120763555,0.10886536687612533,3.125894105434418,0.0003,0.2,0.0506582148373127
-93.19226699968853,117760,341,15,1,177.54,213,-0.0026413339111604726,127.5332260131836,0.8020614385604858,275.19758361816406,0.013039167,0.16768838107585907,3.128556489944458,0.0003,0.2,0.05064695328474045
-107.12157453147911,122880,378,13,1,176.27,223,-0.005293310614069924,138.88914489746094,0.7409091591835022,337.0427787780762,0.010903318,0.1195571854710579,3.126947230100632,0.0003,0.2,0.050826072692871094
-87.60783282057997,128000,360,14,1,175.58,233,-0.00419417773373425,157.5703582763672,0.707665205001831,283.90447158813475,0.011461398,0.11938210308551789,3.1207041501998902,0.0003,0.2,0.050791941583156586
