time,lat,lon,cas_mps,goal_distance_km,route_clearance_km
0.0,51.48352408406736,4.381966848977767,150.0,120.32246091791326,3.0
10.0,51.49690224353141,4.38158799773735,146.56989707733354,118.85520010978759,3.0
20.0,51.50941130561098,4.387641332314021,143.13980504538085,117.56700678932265,3.0
30.0,51.51993093964803,4.3992486501014705,139.70972390410782,116.57504340971204,3.0
40.0,51.53110026926619,4.409553795047586,141.60064366323215,115.50252678776425,3.0
50.0,51.54389522516273,4.413843703795655,143.71523684649827,114.17276222663433,3.0
60.0,51.557202150532675,4.415232113374992,146.0926887442591,112.74726656469662,3.0
70.0,51.57072641621755,4.416643616303659,148.4917609071723,111.30001375262894,3.0
80.0,51.58446996168389,4.418078435675093,150.91251622846983,109.83093298394765,3.0
90.0,51.598434723220414,4.419536794858098,153.35490394273035,108.33996542818828,3.0
100.0,51.61250415407105,4.422807109816869,155.8186304317386,106.86831915238284,3.0
110.0,51.626895103552904,4.424519487368908,158.1592627168498,105.33969692601772,3.0
120.0,51.641399090968456,4.427880664881536,160.64279958396023,103.82848978355015,3.0
130.0,51.65622424730256,4.429657913577446,162.9515418973936,102.2593497037638,3.0
140.0,51.6710843928966,4.431212252306323,162.99999999999994,100.68525122289567,3.0
150.0,51.685944538490645,4.432767101055438,162.99999999999994,99.11380540971238,3.0
160.0,51.70080468408469,4.434322460264263,162.99999999999994,97.54514046605595,3.0
170.0,51.71566482967873,4.435878330372771,162.99999999999994,95.97939274055004,3.0
180.0,51.73052497527277,4.4374347118214335,162.99999999999994,94.41670736416263,3.0
190.0,51.745385120866814,4.438991605051231,162.99999999999994,92.85723894384125,3.0
200.0,51.760245266460856,4.440549010503648,162.99999999999994,91.30115232020924,3.0
210.0,51.7751054120549,4.44210692862067,162.99999999999994,89.7486233959719,3.0
220.0,51.78996555764894,4.44366535984479,162.99999999999994,88.19984004243473,3.0
230.0,51.80482570324298,4.445224304619006,162.99999999999994,86.65500309236177,3.0
240.0,51.819685848837025,4.446783763386825,162.99999999999994,85.11432742834371,3.0
250.0,51.83454599443107,4.4483437365922605,162.99999999999994,83.57804317685803,3.0
260.0,51.84940614002511,4.449904224679839,162.99999999999994,82.04639701936887,3.0
270.0,51.86414399030994,4.4533265432431195,162.99999999999994,80.57479520395293,3.0
280.0,51.878641540097135,4.458817362862733,162.99999999999994,79.18400419531963,3.0
290.0,51.892788454278914,4.466336175813702,162.99999999999994,77.88916466537795,3.0
300.0,51.90647706629625,4.475826946530481,162.99999999999994,76.70517401352362,3.0
310.0,51.920111292355514,4.485535125328323,162.99999999999994,75.5499707551714,3.0
320.0,51.93300273071365,4.496727603150611,159.5698558018131,74.52968770800095,3.0
330.0,51.94604950284806,4.506255895941102,156.13972249447147,73.46806541907573,3.0
340.0,51.958381302376914,4.516987410999456,152.70960007794022,72.5327143730763,3.0
350.0,51.97085738828054,4.5260903596815885,149.2794885521849,71.55488888993096,3.0
360.0,51.98263202057401,4.536352730331007,145.84938791717107,70.70173696355802,3.0
370.0,51.994536444010635,4.545033220363008,142.41929817286444,69.80564322545507,3.0
380.0,52.005753913946755,4.554825681508871,138.98921931922933,69.031996430397,3.0
390.0,52.01708668235769,4.563083070833592,135.55915135623192,68.21496987353716,3.0
400.0,52.02774701146356,4.572404904260301,132.1290942838375,67.51773141954209,2.0
410.0,52.03850882293842,4.580239076584135,128.69904810201092,66.77667105957202,2.0
420.0,52.05019368042814,4.584594223018309,132.12826614405256,65.83799433576526,1.0
430.0,52.062419058566974,4.582371638317267,135.55747329818914,64.61515486584565,0.0
440.0,52.073833904768,4.573638189309933,138.98666956445527,63.226746232587644,0.0
450.0,52.08320403881521,4.559148285171297,142.4158549428865,61.812010179192036,0.0
460.0,52.0891954252104,4.54095880212391,138.9857761001838,60.57721363813389,0.0
470.0,52.09135640442773,4.5211180197853675,135.55570814811836,59.652623581091724,0.0
480.0,52.09239881362036,4.501026274505648,135.555277753323,58.84378060546095,0.0
490.0,52.093441219508335,4.480934123489707,135.55484735989404,58.05604596686215,0.0
500.0,52.09450722369632,4.460386634212714,138.98404363449822,57.27321348689611,0.0
510.0,52.09559940671293,4.439334031826716,142.41322902126694,56.49599127599529,0.0
520.0,52.096671100613726,4.418675871141285,138.98315018690178,55.75879008284789,0.0
530.0,52.09773982465931,4.398074463735241,138.9827089098405,55.04974060174291,0.0
540.0,52.09881071991345,4.377430707584317,139.265519218971,54.36642756211533,0.0
550.0,52.09764191253634,4.356432646526974,142.69470371204355,53.93315994586132,0.0
560.0,52.09244571107688,4.336567500218056,146.12387731731792,53.98135829680625,0.0
570.0,52.08362202497372,4.319775070855896,149.5530400348293,54.51893395959564,0.0
580.0,52.07189363145842,4.307671511202954,152.98219186461193,55.49701633902964,0.0
590.0,52.0582218551338,4.301427826053521,156.4113328067001,56.82207712474959,0.0
600.0,52.0437106874205,4.301699742426403,159.84046286112866,58.373636586887635,0.0
610.0,52.02920498767328,4.306871235757012,162.99999999999994,60.020990283182826,0.0
620.0,52.014400327724985,4.308639384286747,162.99999999999994,61.636102087244666,0.0
630.0,51.9998600007917,4.303782198688145,162.99999999999994,63.103859833477415,0.0
640.0,51.98668594783444,4.292671797570363,162.99999999999994,64.32645830445811,0.0
650.0,51.97609180742705,4.276414485634734,159.5698558018131,65.20777561171774,0.0
660.0,51.96867709007678,4.2559700765577295,160.4968814583169,65.71187289233022,0.0
670.0,51.964960740090994,4.232679986699129,162.99999999999994,65.811889053105,0.0
680.0,51.965292337875816,4.2090214728018145,159.5698558018131,65.50384782838724,0.0
690.0,51.96834464336356,4.185832482282531,159.93722600614493,64.93853764097327,0.0
700.0,51.97270098024384,4.1627832046498945,162.99999999999994,64.26569970572892,0.0
710.0,51.978288305701355,4.140379641075006,162.99999999999994,63.49565357859455,0.0
720.0,51.98599913857959,4.119784298515769,162.99999999999994,62.53190392011787,0.0
730.0,51.99687656686712,4.103379635113361,162.99999999999994,61.2588676138486,0.0
740.0,52.01009624295231,4.092410261306087,162.99999999999994,59.75699045599879,0.0
750.0,52.024656311606144,4.087710499414026,162.99999999999994,58.12728516948716,0.0
760.0,52.039539698383045,4.088176780986344,162.99999999999994,56.47447836447109,0.0
770.0,52.05442856645421,4.088622174730521,162.99999999999994,54.82115600536669,0.0
780.0,52.06931704743619,4.089100717219325,162.99999999999994,53.16812206413608,0.0
790.0,52.0842057089771,4.089564313783329,162.99999999999994,51.515205423970194,0.0
800.0,52.09909454286754,4.090013167059839,162.99999999999994,49.86241935820488,0.0
810.0,52.11394688352638,4.091755395640871,162.99999999999994,48.217984140019375,0.0
820.0,52.12878867071002,4.093733314890495,162.99999999999994,46.57634772603034,0.0
830.0,52.14363754804208,4.095565246617316,162.99999999999994,44.934395478770405,0.0
840.0,52.15849022654692,4.097314051873225,162.99999999999994,43.2927238014696,0.0
850.0,52.17332559437847,4.099417946763956,162.99999999999994,41.655703863168505,0.0
860.0,52.188177591378036,4.1011832366098115,162.99999999999994,40.01669077054344,0.0
870.0,52.20303405312582,4.10284615490104,162.99999999999994,38.378068059449014,0.0
880.0,52.21792370105434,4.102825709895841,162.99999999999994,36.72768482984625,0.0
890.0,52.232800013631916,4.101734784172183,162.99999999999994,35.0730683885505,0.0
900.0,52.24769069215091,4.101871393191956,162.99999999999994,33.42428168932952,0.0
910.0,52.262577041227146,4.102504167516733,162.99999999999994,31.779874966606418,0.0
920.0,52.2774648073119,4.103040826312929,162.99999999999994,30.135900937594215,0.0
930.0,52.29235464882086,4.1033916028196336,162.99999999999994,28.491707991187965,0.0
940.0,52.30723039093848,4.104507147748747,162.99999999999994,26.856528505949925,0.0
950.0,52.32211160375153,4.105407487239016,162.99999999999994,25.221575303593635,0.0
960.0,52.33700264229856,4.105573026151397,162.99999999999994,23.581601188881667,0.0
970.0,52.35187151449832,4.104261646429824,162.99999999999994,21.931948591321518,0.0
980.0,52.366619130544144,4.100916461970324,162.99999999999994,20.276452882012588,0.0
990.0,52.38140097277134,4.0979632283098,162.99999999999994,18.62103854918196,0.0
1000.0,52.3961918967529,4.095133680123607,162.99999999999994,16.96595813794518,0.0
1010.0,52.41098146343435,4.0922841922008475,162.99999999999994,15.311000563891712,0.0
1020.0,52.42576731301279,4.08938236729043,162.99999999999994,13.656129519042397,0.0
1030.0,52.440548123259724,4.086411326632612,162.99999999999994,12.001345028512251,0.0
1040.0,52.4554068307769,4.084810971426937,162.99999999999994,10.354169114451555,0.0
1050.0,52.47026187517532,4.083104408666954,162.99999999999994,8.709264358675231,0.0
1060.0,52.485092824445424,4.080903827316643,162.99999999999994,7.064721164717503,0.0
1070.0,52.499883499548666,4.078064112835331,162.99999999999994,5.420471439856901,0.0
