time,agent,lat,lon,cas_mps,tas_mps,goal_distance_km,heading_error_deg,heading_action,speed_action,nearest_nm,outside
0.0,KL001,51.850366463963795,4.822688990823402,150.0,152.40357712476657,127.25150100801949,-0.1294054783743377,0.985987663269043,-0.9445757269859314,13.253729260105217,False
0.0,KL002,51.72346310489646,4.344043763425799,150.0,152.40357712476657,160.27358457623504,-0.159928947619278,0.9440168142318726,-0.4253889322280884,11.320610504080504,False
0.0,KL003,51.679333330084,3.6338583377598153,150.0,152.40357712476657,137.22089012127861,0.03481158816643415,0.37641406059265137,0.2931509017944336,26.55896664288852,False
0.0,KL004,52.26158126903238,2.0942010408936254,150.0,152.40357712476657,166.37612818460101,0.06955915844469018,0.9594466686248779,-0.6348339319229126,13.16350902189209,False
0.0,KL005,52.15454205508093,4.91141803255732,150.0,152.40357712476657,142.95693855496685,-0.41626289962306373,0.964072585105896,-0.526249885559082,18.55498606014635,False
0.0,KL006,52.71251333656428,3.2198939308900214,150.0,152.40357712476657,125.90433657653591,-0.0600006171735572,0.8544647693634033,0.08774971961975098,10.411072068580062,False
0.0,KL007,51.66363231655141,4.632500796203218,150.0,152.40357712476657,136.62044002853625,-0.1959261718835137,-0.9650773406028748,0.8413381576538086,11.320610504080504,False
0.0,KL008,52.40774538592849,2.3616324776200335,150.0,152.40357712476657,141.53884135769735,0.08255870768141449,0.649040937423706,-0.9445530772209167,13.16350902189209,False
0.0,KL009,52.8670172191517,3.089726787780964,150.0,152.40357712476657,159.8540829570901,0.013109278746071595,0.938513994216919,-0.7997742295265198,10.411072068580062,False
0.0,KL0010,53.179599547256124,3.3937725238346754,150.0,152.40357712476657,100.22889937068815,0.5149511962688678,0.031108975410461426,-0.7398335337638855,21.743681788297064,False
10.0,KL001,51.86031977808177,4.808181668014867,146.75998164204304,149.11750634766997,125.78034253466174,17.507738009656578,0.9705528020858765,-0.9138229489326477,14.195128473037716,False
10.0,KL002,51.73470687833268,4.33190541675523,148.54059851832568,150.9234766870319,158.78705746699063,17.28234010886308,0.9588379859924316,-0.6072999835014343,11.43573940646091,False
10.0,KL003,51.68583619170112,3.6533938435388,151.00492189415127,153.42270941602203,135.71568021545764,17.0781486445087,-0.6511857509613037,-0.07308274507522583,25.412879814540307,False
10.0,KL004,52.25281497060576,2.11090491122698,147.82228036217228,150.19494370619452,164.90335979315265,17.5858925017734,0.6742062568664551,-0.6555050611495972,12.704164951643444,False
10.0,KL005,52.16663552071197,4.9016477292116045,148.19468310315648,150.57264439119348,141.47326151250402,17.070405280132206,0.9343953132629395,-0.17190951108932495,18.71284785650421,False
10.0,KL006,52.698940453801555,3.222748647295724,150.30047252240047,152.7083022174102,124.40436720007024,17.213002098004097,0.20612800121307373,0.02455902099609375,10.575081901658951,False
10.0,KL007,51.657230902944626,4.612622095234315,152.8849995251736,155.32927901325345,135.10027543579145,-17.20395024420489,-0.9915674924850464,0.9816124439239502,11.43573940646091,False
