time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/clip_fraction,train/learning_rate,train/n_updates,train/clip_range,train/approx_kl,train/loss,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean
640,101,1,6,,,,,,,,,,,,
1280,121,1,5,0.0,3e-05,2,0.2,1.6072183e-05,-0.0029513249173760414,-0.00042662080377340315,-1.0171443223953247,-0.2119075059890747,0.02491356460377574,,
1920,165,1,3,0.0,3e-05,4,0.2,8.974876e-06,0.03089509718120098,-0.00012977225705981254,-1.0247546792030335,0.16125720739364624,0.09725415483117103,-0.39212707595487994,145.4
2560,223,1,2,0.0,3e-05,6,0.2,1.0678575e-06,0.07443174719810486,1.4749144611414522e-05,-1.0263685137033463,-1.0265836715698242,0.2352406121790409,-1.7079947004666711,175.66666666666666
3200,80,1,7,0.0,3e-05,8,0.2,2.60384e-07,0.0012945812195539474,-7.480698468498304e-05,-1.0231726169586182,-0.9988110065460205,0.01716191484592855,-1.499956320058225,185.8
3840,97,1,6,0.0,3e-05,10,0.2,1.8300518e-06,-0.006298961583524942,-0.0001902632998280751,-1.034235879778862,0.7991868853569031,0.011941564385779202,-1.499956320058225,185.8
4480,134,1,4,0.0,3e-05,12,0.2,2.4567357e-06,0.0021218927577137947,2.4559814482927324e-05,-1.0376333713531494,-0.610202431678772,0.03235957771539688,-1.096272561531458,172.5
5120,199,1,3,0.0,3e-05,14,0.2,6.94138e-07,0.08574651181697845,4.773978143930435e-05,-1.0352484464645386,0.49614614248275757,0.15306471511721612,-1.0775488695748152,178.9
5760,84,1,7,0.0,3e-05,16,0.2,8.905772e-09,0.018333807587623596,1.0235467925667763e-05,-1.0252988636493683,-7.253232955932617,0.07112726289778948,-1.0775488695748152,178.9
