rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/total_timesteps,train/approx_kl,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/clip_range,train/loss,train/clip_fraction,train/std,train/explained_variance,train/n_updates
231.25,176,-1.3622751976923002,14,1,2560,,,,,,,,,,,
211.10526315789474,159,-0.8052850082214601,16,1,5120,0.012717585,3.1523399209976195,-0.008260153657756746,0.0003,0.04266070336103439,0.2,0.016576357185840607,0.1888903258740902,0.05008474737405777,0.34777575731277466,10
206.96666666666667,196,-0.681987183872692,12,1,7680,0.013404892,3.14848450422287,-0.010998737533009261,0.0003,0.01596639056224376,0.2,0.022227171808481216,0.17055002003908157,0.05014871433377266,0.48806554079055786,20
202.17948717948718,267,-0.6810930422007672,9,1,10240,0.012312655,3.151128727197647,-0.01097486432408914,0.0003,0.01991549674421549,0.2,0.009332334622740746,0.16003650184720755,0.04998907446861267,0.7165096998214722,30
201.0909090909091,275,-0.7824142826601931,9,1,12800,0.02015438,3.152877485752106,-0.008861872657143976,0.0003,0.01420036656782031,0.2,0.02989823743700981,0.1667716411873698,0.05005817487835884,0.8070618510246277,40
207.88,300,-1.0667383785965172,8,1,15360,0.012572501,3.1478527545928956,-0.006035020120907575,0.0003,0.05381126045249403,0.2,0.032912496477365494,0.2226715452969074,0.05024328827857971,0.7090729475021362,50
197.484375,244,-1.0144460425972468,10,1,17920,0.023676012,3.1418326050043106,-0.0015985741192707792,0.0003,0.05390539241489023,0.2,0.03545418009161949,0.200927734375,0.05035001412034035,0.8578129410743713,54
196.31506849315068,228,-0.9205216297677709,11,1,20480,0.046308488,3.1363492853501262,-0.0010005713111775763,0.0003,0.03830425112563021,0.2,0.04655991122126579,0.18706071639762206,0.05051414668560028,0.7805753946304321,58
194.11494252873564,231,-1.2411854718711355,11,1,23040,0.016575295,3.1290285110473635,-0.012473639083327725,0.0003,0.057857959112152454,0.2,0.02347152680158615,0.16111306753009558,0.05070977285504341,0.7902639508247375,68
193.25252525252526,235,-1.2521693168308212,10,1,25600,0.015659276,3.122390407323837,-0.013260838855057955,0.0003,0.07935395929962397,0.2,0.03661436587572098,0.16376953125,0.050860367715358734,0.8150506019592285,78
189.01,229,-1.2394486480829339,11,1,28160,0.022428732,3.120555454492569,-0.007671341969398782,0.0003,0.03013204983435571,0.2,0.026186037808656693,0.20417205058038235,0.050795022398233414,0.8516740798950195,88
189.48,216,-1.2951847986339815,11,1,30720,0.020619152,3.126067268848419,-0.010826929440372623,0.0003,0.061081497371196745,0.2,0.04056570678949356,0.19545052163302898,0.05059429258108139,0.786322295665741,98
192.99,255,-1.3238108967787,10,1,33280,0.018506858,3.132772809267044,-0.007966143587691477,0.0003,0.02573032754007727,0.2,0.0425182580947876,0.1772474467754364,0.050451770424842834,0.7687867879867554,108
190.23,215,-1.2609966577315732,11,1,35840,0.023805266,3.1360482215881347,-0.01535847478856643,0.0003,0.015391605099042256,0.2,0.018759697675704956,0.1681239809220036,0.050440337508916855,0.8230566382408142,118
191.75,217,-1.525486421703925,11,1,38400,0.016106265,3.1335899949073793,-0.015221216878853739,0.0003,0.07239705384708942,0.2,0.006729942746460438,0.15743850991129876,0.05057865008711815,0.8521923422813416,128
191.02,244,-1.352609490921557,10,1,40960,0.021864444,3.130588334798813,-0.013692751484813925,0.0003,0.038571018259972334,0.2,0.04214468225836754,0.23083997778594495,0.05055834725499153,0.7878361344337463,138
193.43,203,-1.3055772107881127,12,1,43520,0.01667042,3.1301835060119627,-0.01728927050717175,0.0003,0.018105002189986407,0.2,-0.0024516801349818707,0.19617164861410857,0.05065883696079254,0.8091686964035034,148
199.78,255,-1.7215792432563637,10,1,46080,0.018287515,3.1253931522369385,-0.013768103742040693,0.0003,0.01859905378893018,0.2,0.0358663909137249,0.18830597251653672,0.050753403455019,0.9096155166625977,158
202.15,202,-1.8651811843586572,12,1,48640,0.013184508,3.1202133297920227,-0.01029286710981978,0.0003,0.12344064759090542,0.2,0.04994463175535202,0.163869499694556,0.05090935900807381,0.7199105024337769,168
206.1,224,-1.6496472883782056,11,1,51200,0.014542477,3.11499192237854,-0.01637092273624148,0.0003,0.05124737162142992,0.2,0.009218014776706696,0.18729828119277955,0.05102867633104324,0.822029709815979,178
207.1,405,-1.5858208561806595,6,1,53760,0.018802566,3.1164229571819306,-0.014589896748657339,0.0003,0.021712462487630545,0.2,0.00025303009897470474,0.20720703080296515,0.05080698803067207,0.6519400477409363,188
216.48,374,-1.4826648252329695,6,1,56320,0.026078055,3.123240415255229,-0.012316999413693944,0.0003,0.012840552860870958,0.2,0.01942111924290657,0.15691079050302506,0.050776250660419464,0.8597477674484253,198
215.63,265,-1.5244611630856837,9,1,58880,0.018580154,3.1198202927907306,-0.010770465588817994,0.0003,0.04046120097239812,0.2,0.024712618440389633,0.18119414125879604,0.05095731467008591,0.8089722990989685,208
219.24,293,-1.399998799666011,8,1,61440,0.043454528,3.1139088604185314,0.002964338041945464,0.0003,0.029006912890407775,0.2,0.05722714215517044,0.2435980900708172,0.05104205757379532,0.8372703790664673,212
216.29,326,-1.361336717685448,7,1,64000,0.015145252,3.1130704045295716,-0.009517565565147379,0.0003,0.019241917482577264,0.2,0.02289092168211937,0.18068164065480233,0.05098843201994896,0.8901993036270142,222
216.61,432,-1.4099738190634645,5,1,66560,0.021638522,3.115237069129944,-0.01511491381873687,0.0003,0.016949583900471528,0.2,0.01597488857805729,0.19925230083366235,0.05095883458852768,0.7830169796943665,232
211.62,306,-1.2332346704848702,8,1,69120,0.013869242,3.1129968404769897,-0.015326929984924693,0.0003,0.021406647252539792,0.2,0.00017838925123214722,0.16737064570188523,0.051092490553855896,0.8532503247261047,242
208.64,295,-1.1850999842108605,8,1,71680,0.029906647,3.109060209989548,-0.011593169596426377,0.0003,0.03731086016632616,0.2,0.025104157626628876,0.19723251052200794,0.05115507170557976,0.8614751100540161,252
207.57,332,-1.1612552429573164,7,1,74240,0.015007058,3.1094244718551636,-0.00720160502824001,0.0003,0.023249918362125754,0.2,0.017104987055063248,0.20936750210821628,0.0510663166642189,0.8359236717224121,262
203.78,340,-0.7632600741499788,7,1,76800,0.03320178,3.112536358833313,-0.015199295628553955,0.0003,0.012691801879554987,0.2,0.013414880260825157,0.2395659102126956,0.05103857442736626,0.8542605638504028,272
199.84,335,-0.4752188681991203,7,1,79360,0.015230751,3.116168773174286,-0.009910786744148936,0.0003,0.021783579513430594,0.2,-0.0012144427746534348,0.2309367500245571,0.05080801248550415,0.8314156532287598,282
196.22,259,-0.5486911533412332,9,1,81920,0.02252461,3.1236688017845156,-0.011797576220124029,0.0003,0.011049592774361372,0.2,0.0015923799946904182,0.253025783225894,0.05071922764182091,0.7671386003494263,292
188.46,271,-0.4824583517768658,9,1,84480,0.020884793,3.1239715218544006,-0.012655626347986981,0.0003,0.021645940351299943,0.2,0.025062114000320435,0.21087322067469358,0.05081619694828987,0.8066908121109009,302
186.24,371,-0.4816614950587255,6,1,87040,0.04681871,3.1192431904020763,-0.00824015925727075,0.0003,0.03155453387825262,0.2,0.05040439963340759,0.17102939369423048,0.05091732367873192,0.7283782362937927,307
186.8,299,-0.4817664362360953,8,1,89600,0.027002946,3.1169861912727357,-0.01886980441631749,0.0003,0.006808904919307679,0.2,0.04057515785098076,0.23744089230895044,0.05086492747068405,0.7853259444236755,317
186.48,172,-0.5284823676891764,14,1,92160,0.01659282,3.1197593092918394,-0.017036007271963173,0.0003,0.03380520197097212,0.2,0.02515604719519615,0.18673184961080552,0.0508510023355484,0.827541708946228,327
186.97,305,-0.5384116937021198,8,1,94720,0.028144982,3.1180360019207,-0.015141266898717731,0.0003,0.013281944312620909,0.2,0.016922393813729286,0.216190461628139,0.05094480514526367,0.8600924015045166,337
191.69,309,-0.3905683873711461,8,1,97280,0.027437812,3.119465732574463,-0.019882628082905286,0.0003,0.0034809142040709653,0.2,0.003411883022636175,0.2113978368540605,0.05071656033396721,0.8800209164619446,347
192.59,234,-0.3786997564254926,10,1,99840,0.015613962,3.1273026049137114,-0.007623288434115238,0.0003,0.013516314281150698,0.2,0.02491236850619316,0.19628636352717876,0.05065244436264038,0.7854255437850952,357
193.25,376,-0.35761225720163503,6,1,102400,0.025711842,3.1220013558864594,-0.015420504918438382,0.0003,0.013269684521947055,0.2,0.005255994852632284,0.21859722267836332,0.05097264051437378,0.7903851270675659,367
194.61,321,-0.41012046215175607,7,1,104960,0.022368126,3.113035869598389,-0.006547402997966856,0.0003,0.012211035413201898,0.2,-0.03034006990492344,0.238364546187222,0.05107187107205391,0.7972040772438049,377
194.68,267,-0.468946381593816,9,1,107520,0.028850943,3.110749444653911,-0.008884122715361657,0.0003,0.033982062712311745,0.2,0.053017038851976395,0.16024368664910715,0.05108299106359482,0.8050587177276611,385
204.49,519,-0.7859097199524249,4,1,110080,0.025056044,3.109004635810852,-0.016091537978500128,0.0003,0.05248421002179384,0.2,0.03467809781432152,0.19671874970197678,0.051179978996515274,0.8338489532470703,395
204.41,268,-0.829634405112606,9,1,112640,0.013579136,3.1077321410179137,-0.009182132806745357,0.0003,0.04058415195904672,0.2,0.01930932328104973,0.11053357790224254,0.051101427525281906,0.6028655767440796,405
204.04,381,-0.8417664435156134,6,1,115200,0.048657022,3.112604125686314,-0.009384733564017908,0.0003,0.05317332595586777,0.2,0.05899477005004883,0.20902013049825377,0.05098733678460121,0.8120535612106323,415
199.28,281,-0.9164130543273132,9,1,117760,0.01637389,3.1157715797424315,-0.01661294040774616,0.0003,0.02639436473449071,0.2,0.013334178365767002,0.18972301085789997,0.05091127008199692,0.7715339660644531,425
200.2,361,-1.0217953084713063,7,1,120320,0.040631644,3.1159241641009294,0.0051462023553472975,0.0003,0.062138263412095884,0.2,0.06443938612937927,0.24506529172261557,0.05098378285765648,0.8739939332008362,431
198.64,357,-1.0951482809769788,7,1,122880,0.03247962,3.1138243496418,-0.008031178782403003,0.0003,0.043664797046221795,0.2,0.05076543614268303,0.2436132825911045,0.051042340695858,0.8958014249801636,441
197.15,355,-1.118869451433009,7,1,125440,0.030348033,3.111402767896652,-0.01542899107298581,0.0003,0.050011629099026324,0.2,0.001594829373061657,0.23605999834835528,0.051064953207969666,0.8939324617385864,451
191.35,324,-1.1728953578402774,7,1,128000,0.03401735,3.1097367366154987,-0.019325915867617973,0.0003,0.01469170218333602,0.2,0.025202425196766853,0.2433854177594185,0.05115622282028198,0.7431627511978149,461
189.55,307,-1.1806403995098547,8,1,130560,0.054116182,3.1073246460694532,-0.010766110329243999,0.0003,0.030304739609933816,0.2,0.058763712644577026,0.18544170640122432,0.05116378888487816,0.9251567721366882,468
189.13,308,-1.3513174416565648,8,1,133120,0.020656615,3.1051793098449707,-0.016379788939957507,0.0003,0.053691945225000384,0.2,0.03183797746896744,0.21217189766466618,0.05131080001592636,0.8494013547897339,478
190.66,496,-1.36724671861999,5,1,135680,0.02608429,3.1012615323066712,-0.01075006346218288,0.0003,0.032277989014983174,0.2,0.01419972162693739,0.24958712849766015,0.05130608752369881,0.7781866788864136,488
178.39,313,-1.0405988735238711,8,1,138240,0.023147184,3.1020427346229553,-0.015269948251079768,0.0003,0.015523734781891108,0.2,0.012371820397675037,0.1962714220630005,0.05131231248378754,0.9102917313575745,498
177.21,358,-0.8881715392542706,7,1,140800,0.020243142,3.105709898471832,-0.00891883313015569,0.0003,0.04036120804958045,0.2,0.014361350797116756,0.19982053712010384,0.05109117180109024,0.8404805064201355,508
177.68,292,-0.812759347874019,8,1,143360,0.018232577,3.1135902404785156,-0.016821277529622116,0.0003,0.009307907599334916,0.2,0.009490125812590122,0.17189295987288158,0.050934936851263046,0.8332961797714233,518
181.0,290,-0.7943653195126061,8,1,145920,0.025692377,3.119851803779602,-0.012393320421688258,0.0003,0.007060063444077969,0.2,0.018660835921764374,0.20659479033201933,0.05080924928188324,0.8560855388641357,528
