time/total_timesteps,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/loss,train/approx_kl,train/entropy_loss,train/clip_range,train/n_updates,train/clip_fraction,train/std
74240,1,211.01,13,184,-0.8721576906916576,0.01867750771343708,0.0003,-0.015432523825438693,0.7631580829620361,0.03141728416085243,0.019447656,3.1356766521930695,0.2,270,0.20782791990786792,0.05041804164648056
76800,1,212.15,12,205,-0.8853376438573811,0.023963437328347936,0.0003,-0.00926080284989439,0.8403695821762085,0.05615207552909851,0.04766605,3.1387599259614944,0.2,277,0.1980566894635558,0.05034824088215828
79360,1,198.92,12,202,-0.8436232000854639,0.03806374215055257,0.0003,-0.015020066045690329,0.6459824442863464,0.008347620256245136,0.018550524,3.1401676535606384,0.2,287,0.17793692098930478,0.05036797374486923
81920,1,195.47,13,186,-0.7768042663832753,0.017086274817120283,0.0003,-0.011873076693154872,0.7351564168930054,0.018463242799043655,0.016300904,3.138053673505783,0.2,297,0.1869600724428892,0.050473444163799286
84480,1,195.94,12,206,-0.6065770278204553,0.019304264103993773,0.0003,-0.012418247209279799,0.6397775411605835,0.012927509844303131,0.011685922,3.1371603071689607,0.2,307,0.15219314801506698,0.05034693330526352
87040,1,192.54,16,152,-0.5893188528180651,0.015146154863759875,0.0003,-0.009438685883651488,0.8162768483161926,0.016712235286831856,0.017206546,3.1411114990711213,0.2,317,0.22241030186414718,0.05037160962820053
89600,1,192.07,12,202,-0.5632985553136559,0.015265495562925935,0.0003,-0.011544813160435296,0.8100470900535583,0.011299287900328636,0.017275404,3.138361984491348,0.2,327,0.19919152669608592,0.0504203699529171
92160,1,196.65,9,263,-0.7211116958599162,0.04778255019336939,0.0003,-0.00783557210197614,0.6251283288002014,0.028885474428534508,0.018180553,3.139200049638748,0.2,337,0.15967757068574429,0.05035629868507385
94720,1,196.3,11,225,-0.6485101440426447,0.013433219042296211,0.0003,-0.014088135880107681,0.8524391055107117,0.00863158330321312,0.017097862,3.14016805489858,0.2,347,0.18462476059794425,0.05034666508436203
97280,1,193.26,9,265,-0.5752436014674772,0.018593577784486115,0.0003,-0.01750666294246912,0.8328747749328613,0.008478915318846703,0.015042159,3.1353444516658784,0.2,357,0.17257879823446273,0.05066867172718048
99840,1,195.62,11,215,-0.579985232756522,0.013378624866406123,0.0003,-0.013730228079172473,0.8097602725028992,0.012278806418180466,0.012773222,3.1245222806930544,0.2,367,0.15590599191685517,0.05080484598875046
102400,1,188.7,11,216,-0.4870014137898182,0.017307567379126945,0.0003,-0.001772472821176052,0.7508972883224487,0.07491140067577362,0.026330072,3.121489731470744,0.2,370,0.17022569527228673,0.05087372660636902
104960,1,185.61,13,183,-0.44826652502042114,0.03267802882939577,0.0003,-0.0036423962126718836,0.5316224098205566,0.07340476661920547,0.020212337,3.113020911216736,0.2,380,0.21113281302154063,0.05122379586100578
107520,1,189.08,12,209,-0.5543126368286695,0.03739621449261904,0.0003,-0.00923228556290269,0.6602977514266968,0.02669840306043625,0.023103977,3.1056907844543455,0.2,390,0.20142864555120468,0.05121013522148132
110080,1,192.12,8,294,-0.5878376286549575,0.02145771708132492,0.0003,-0.012037859421171661,0.8207337260246277,-0.006706070154905319,0.033237673,3.1078200737635293,0.2,399,0.2531689612919258,0.051163919270038605
112640,1,196.65,8,289,-0.5981078557571423,0.01494852351024747,0.0003,-0.019297437228184815,0.8080466985702515,-0.0019186167046427727,0.019416803,3.106605362892151,0.2,409,0.20007720390955608,0.05130261927843094
115200,1,198.77,10,236,-0.5918984239937761,0.008113586445055578,0.0003,-0.009687917226034662,0.8939085602760315,0.0397033765912056,0.0444284,3.1025034137394116,0.2,417,0.22141835287861203,0.05130554363131523
117760,1,199.99,12,209,-0.7511502902615672,0.025721610570326448,0.0003,-0.011728743638377637,0.7821199893951416,0.008290786296129227,0.015699655,3.102321833372116,0.2,427,0.15623770989477634,0.051360443234443665
120320,1,194.78,13,188,-0.6447800554469889,0.025877669844776394,0.0003,-0.004363337797112763,0.5896230340003967,0.04297729954123497,0.024306996,3.09860137462616,0.2,437,0.22399639576673508,0.05143843591213226
122880,1,199.99,7,334,-0.675007026051532,0.016087154857814312,0.0003,-0.009665814655600116,0.6572503447532654,-0.02006673254072666,0.030755714,3.092689623832703,0.2,447,0.22610897727310658,0.05166495591402054
125440,1,200.14,11,213,-0.7323586268310268,0.011826786833504835,0.0003,-0.006585006563303371,0.5590958595275879,0.004591828212141991,0.01851684,3.0856900930404665,0.2,457,0.19336718668540318,0.05183003097772598
128000,1,197.69,10,241,-0.8095275197656717,0.03473918526433408,0.0003,-0.013226356192899403,0.7941591143608093,0.007988372817635536,0.016400086,3.0774427533149717,0.2,467,0.17287773778662086,0.05209768936038017
130560,1,199.34,11,214,-0.9994406626698913,0.03227340974844992,0.0003,-0.014352229164433083,0.7276788949966431,0.021147944033145905,0.01452199,3.071505677700043,0.2,477,0.175707240216434,0.052065812051296234
133120,1,199.19,10,243,-0.8719688961224604,0.08210472296923399,0.0003,-0.013930895204248372,0.596132755279541,0.0393395870923996,0.01334155,3.0695536851882936,0.2,487,0.16265610028058292,0.052292272448539734
135680,1,198.55,10,255,-0.8231558913639323,0.02110725117381662,0.0003,-0.0171053361686063,0.7971042394638062,0.00968176033347845,0.018461613,3.0650655388832093,0.2,497,0.19006979633122684,0.052210986614227295
138240,1,192.05,10,245,-0.924254414553192,0.0459514994174242,0.0003,-0.011510139028541744,0.7030616998672485,0.01258816197514534,0.013912198,3.066096466779709,0.2,507,0.1976928124204278,0.05232563614845276
140800,1,190.64,13,194,-0.9299233412086493,0.031039973208680748,0.0003,-0.009097811906758579,0.7296560406684875,0.017394907772541046,0.015473977,3.061754983663559,0.2,517,0.16035875529050828,0.052378300577402115
143360,1,192.54,5,470,-0.9249227913482032,0.012878061016090214,0.0003,-0.010713026818120853,0.8768122792243958,0.007815271615982056,0.013989435,3.060900110006332,0.2,527,0.1500036247074604,0.05237212032079697
145920,1,195.99,11,217,-0.9227546785777327,0.008600639924407006,0.0003,-0.010853538679128149,0.8729994297027588,0.015111541375517845,0.039788663,3.0609686851501463,0.2,537,0.2330808075144887,0.0523858368396759
