time/iterations,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/n_updates,train/approx_kl,train/clip_range,train/entropy_loss,train/learning_rate,train/std,train/loss,train/value_loss,train/explained_variance,train/clip_fraction,train/policy_gradient_loss
1,157.33333333333334,2560,8,-1.2735385222655158,293,,,,,,,,,,,
1,180.3,5120,10,-1.1090902035850618,252,1,0.028100396,0.2,3.1530323028564453,0.0003,0.05002669245004654,0.12992800772190094,0.16140155494213104,0.2758225202560425,0.2981770833333333,0.014250827642778555
1,183.9047619047619,7680,9,-0.6570014930481842,258,11,0.013860774,0.2,3.1492735624313353,0.0003,0.05017611384391785,0.008817844092845917,0.017613320766637724,0.6762417554855347,0.17952993810176848,-0.016489182435907423
1,201.83333333333334,10240,6,-0.9731652135932589,401,15,0.04086723,0.2,3.1458770247066723,0.0003,0.0501931756734848,0.08227807283401489,0.05752003192901611,0.450864315032959,0.1552542895078659,0.001649433171705288
1,197.12820512820514,12800,7,-0.9490118922617694,355,25,0.0209694,0.2,3.1475139061609902,0.0003,0.05009976401925087,0.004976832307875156,0.015978632603461544,0.7968320846557617,0.17948971490065257,-0.017405026219785215
1,194.59574468085106,15360,8,-0.9441801057723378,298,35,0.014794644,0.2,3.1487918456395465,0.0003,0.05015446990728378,0.015293034724891186,0.028009980854888757,0.7138029336929321,0.1677080397804578,-0.013905813616778081
1,197.0,17920,10,-0.8428172744112116,254,45,0.013821762,0.2,3.142899805307388,0.0003,0.05038002133369446,0.02008318528532982,0.03175320215523243,0.8104062676429749,0.15700359372422099,-0.013185620843432843
1,195.07246376811594,20480,8,-0.7560360509287793,315,55,0.016299842,0.2,3.134567451477051,0.0003,0.050564225763082504,0.017140379175543785,0.013713915995322169,0.7649517059326172,0.16004535257816316,-0.01686668683687458
1,194.33333333333334,23040,9,-0.7933537165905563,275,65,0.022706753,0.2,3.1320312440395357,0.0003,0.0505361407995224,0.01433182880282402,0.025299099902622402,0.8380764722824097,0.19091052068397402,-0.017736637583584524
1,195.2183908045977,25600,10,-0.8942936973655964,250,75,0.0168314,0.2,3.1303768932819365,0.0003,0.05065516009926796,0.020657498389482498,0.030224491842091084,0.7965351343154907,0.17047256035730243,-0.013797775626881049
1,194.71428571428572,28160,8,-0.8332292760077908,290,85,0.0143116545,0.2,3.1271765291690827,0.0003,0.05062831938266754,0.017235156148672104,0.03836550009436905,0.7868552803993225,0.15145465731620789,-0.011306844087084756
1,198.0,30720,11,-0.77499924968266,222,95,0.015078848,0.2,3.1280231714248656,0.0003,0.05068081617355347,0.0025755995884537697,0.01985400039702654,0.838028073310852,0.20125184468925,-0.016206344799138607
1,202.01,33280,5,-0.8147818377765449,488,105,0.02018031,0.2,3.129402322769165,0.0003,0.05051884427666664,-0.026399774476885796,0.02336806394159794,0.7815158367156982,0.24258023560047148,-0.014737597743514925
1,208.3,35840,8,-0.8769595151636012,305,115,0.010768367,0.2,3.1334921956062316,0.0003,0.05048929899930954,0.030862435698509216,0.07982600880786776,0.6017670631408691,0.12249166946858167,-0.008484796508491854
1,207.82,38400,12,-0.8701679591708594,199,125,0.018293535,0.2,3.1375041882197063,0.0003,0.050315648317337036,0.008942442014813423,0.03478077845647931,0.7709121108055115,0.19720052083333334,-0.012370226004471381
1,205.9,40960,7,-0.8231561560833875,352,135,0.022101078,0.2,3.1404335618019106,0.0003,0.0504031665623188,0.023884549736976624,0.03524774257093668,0.8462506532669067,0.23261963464319707,-0.017795861528429668
1,211.12,43520,7,-0.816842297454329,359,145,0.02238571,0.2,3.135550618171692,0.0003,0.05052518844604492,0.009743405506014824,0.01123523828573525,0.8604117631912231,0.15995282419025897,-0.015533995369332842
1,213.33,46080,10,-0.8094666512300129,255,155,0.020506293,0.2,3.133313608169556,0.0003,0.05048394203186035,0.011667328886687756,0.014592208852991461,0.7155861854553223,0.23522518398240208,-0.017374329385347664
1,218.79,48640,8,-0.7831987578250224,291,165,0.018601542,0.2,3.1366870760917664,0.0003,0.05042668804526329,0.009464865550398827,0.01438148554880172,0.7513555288314819,0.20419373381882905,-0.017093197943177076
1,221.73,51200,7,-0.7993258547511641,320,175,0.023051834,0.2,3.135213351249695,0.0003,0.050524868071079254,0.00899798609316349,0.02284292262047529,0.7858731150627136,0.21708932667970657,-0.014928706815893141
1,220.62,53760,9,-0.8286298566795623,281,185,0.026491674,0.2,3.128867918252945,0.0003,0.050731174647808075,0.07293059676885605,0.021730687899980693,0.826097846031189,0.2400390636175871,-0.008741044283669907
1,222.37,56320,9,-0.8069211276747602,269,195,0.019423107,0.2,3.124157776832581,0.0003,0.05071913078427315,-0.020010406151413918,0.020553347719833255,0.7418924570083618,0.2288020845502615,-0.011369092524982988
1,221.01,58880,7,-0.7367288998069721,362,205,0.024691416,0.2,3.123675236701965,0.0003,0.050818294286727905,0.03147539496421814,0.01430073320865631,0.8384760618209839,0.22583813726902008,-0.017045508676674218
1,218.96,61440,9,-0.6290631451318979,279,215,0.023386106,0.2,3.1210706075032553,0.0003,0.05077993869781494,-0.016327833756804466,0.011411936689789097,0.7045904994010925,0.17836223728954792,-0.021473774081096055
1,220.05,64000,6,-0.954221747003123,379,225,0.021529201,0.2,3.119678205251694,0.0003,0.050996407866477966,0.017945773899555206,0.01628493967000395,0.9198035597801208,0.2443289626389742,-0.01106119669857435
1,207.61,66560,8,-0.9850873883353688,284,235,0.01359655,0.2,3.114259696006775,0.0003,0.05099127069115639,0.02810404822230339,0.1205741452674071,0.7734067440032959,0.16447152035931747,-0.015780416273143298
1,207.61,69120,8,-0.9765740199257269,299,240,0.02682297,0.2,3.1139431376206246,0.0003,0.05102036893367767,0.06943150609731674,0.045214638898247166,0.758228600025177,0.16326046538980385,-0.004100449181063787
1,208.14,71680,9,-0.9298351915044456,276,250,0.024510883,0.2,3.111478328704834,0.0003,0.05109722912311554,0.014850703999400139,0.01613874773029238,0.7758310437202454,0.20974234901368619,-0.015150157606694848
1,198.19,74240,9,-0.972107670449831,270,260,0.02543334,0.2,3.111022245883942,0.0003,0.05102808028459549,0.030525168403983116,0.03357460987754166,0.7832462787628174,0.2383967362344265,-0.0066969246865483
1,195.13,76800,9,-1.0344013331214499,260,270,0.021207143,0.2,3.1123804092407226,0.0003,0.0511036142706871,0.0057090530171990395,0.022595848818309606,0.8392531275749207,0.20531285740435123,-0.017220261367037894
1,197.13,79360,6,-0.9486383855250905,395,280,0.027035493,0.2,3.1075924217700956,0.0003,0.05121403560042381,-0.007585952058434486,0.02017188025638461,0.8368832468986511,0.22650820445269346,-0.021317119436571375
1,197.12,81920,8,-0.9423969238867929,313,290,0.022861613,0.2,3.1055034001668296,0.0003,0.05124850571155548,0.01909375935792923,0.006863617082126438,0.9249961376190186,0.22828162610530853,-0.015009780216496437
1,201.03,84480,12,-1.0013364617811316,212,294,0.036940478,0.2,3.103175861494882,0.0003,0.05130167305469513,0.032244082540273666,0.030262632561581477,0.7689462304115295,0.15992827181305205,-0.003721466820154871
1,204.63,87040,10,-1.048782971764075,247,299,0.033394925,0.2,3.102075719833374,0.0003,0.05127980560064316,0.1273466944694519,0.04189811274409294,0.8052030801773071,0.2083843743801117,-0.0036559441313147546
1,205.68,89600,9,-1.0482305683035746,259,309,0.023509003,0.2,3.10196746190389,0.0003,0.05138658732175827,0.010618111118674278,0.0200182916286091,0.8436443209648132,0.21508934944868088,-0.013284387936194738
