time/fps,time/time_elapsed,time/total_timesteps,time/episodes,train/ent_coef_loss,train/critic_loss,train/ent_coef,train/n_updates,train/learning_rate,train/actor_loss
67,178,12000,40,,,,,,
69,346,24000,80,,,,,,
69,516,36000,120,,,,,,
73,655,48000,160,,,,,,
64,936,60000,200,-3.156116306781769,20.40516185760498,0.1965593583881855,3996,0.000442773440394527,24.722232818603516
56,1266,72000,240,-0.5109348744153976,24.531126976013184,0.07198854349553585,8796,0.000442773440394527,51.556488037109375
53,1559,84000,280,0.16736296564340591,32.83663034439087,0.06701537035405636,13596,0.000442773440394527,74.85587882995605
50,1917,96000,320,-0.21748453751206398,64.48162078857422,0.07666558213531971,18396,0.000442773440394527,93.95014190673828
46,2300,108000,360,0.4008573144674301,41.75631523132324,0.07983293570578098,23196,0.000442773440394527,107.52280044555664
44,2677,120000,400,-0.10914101451635361,43.1524543762207,0.07693679444491863,27996,0.000442773440394527,103.25443077087402
42,3076,132000,440,-0.02851400524377823,35.41935729980469,0.06310461461544037,32796,0.000442773440394527,107.13095092773438
41,3481,144000,480,-0.05517350137233734,30.962660789489746,0.05485373176634312,37596,0.000442773440394527,120.31748962402344
41,3802,156000,520,0.22038929164409637,46.43962860107422,0.05767842289060354,42396,0.000442773440394527,127.0801830291748
40,4100,168000,560,0.6178601086139679,43.14019298553467,0.06449210271239281,47196,0.000442773440394527,139.40524673461914
41,4312,180000,600,-0.3568570539355278,42.98106670379639,0.07507386617362499,51996,0.000442773440394527,137.45346069335938
42,4478,191350,640,-0.042281242087483406,52.82413578033447,0.08425328508019447,56536,0.000442773440394527,141.7947998046875
43,4627,201450,680,-0.19284867495298386,42.30704593658447,0.0924725104123354,60576,0.000442773440394527,129.90167045593262
44,4786,211890,720,0.13983163982629776,44.43326473236084,0.09717670269310474,64752,0.000442773440394527,125.34050559997559
45,4947,223850,760,0.5145057030022144,44.23609924316406,0.10788518749177456,69536,0.000442773440394527,115.01690101623535
45,5133,234190,800,0.009664541110396385,41.649537086486816,0.10043583065271378,73672,0.000442773440394527,106.91109085083008
45,5349,244470,840,-0.250228269957006,44.615559577941895,0.09996604733169079,77784,0.000442773440394527,100.71493530273438
45,5611,253910,880,0.6889328062534332,43.838951110839844,0.09110350534319878,81560,0.000442773440394527,94.43740463256836
44,5851,263180,920,0.014686115086078644,38.07443284988403,0.0846257247030735,85268,0.000442773440394527,96.61222267150879
45,6028,272320,960,-0.24581341445446014,36.76296615600586,0.08706467412412167,88924,0.000442773440394527,88.08415985107422
45,6151,280200,1000,-0.10287037305533886,40.42610454559326,0.08638331852853298,92076,0.000442773440394527,86.80711364746094
46,6268,288540,1040,0.024276437237858772,36.05874824523926,0.08152035810053349,95412,0.000442773440394527,86.91511726379395
46,6396,297620,1080,-0.06136663630604744,39.734679222106934,0.07526974938809872,99044,0.000442773440394527,87.56889533996582
46,6529,306820,1120,0.39151572808623314,29.466147422790527,0.08134263940155506,102724,0.000442773440394527,83.36609268188477
47,6629,313700,1160,0.19474204257130623,38.53943061828613,0.07629960402846336,105476,0.000442773440394527,83.21073150634766
47,6748,322040,1200,-0.25670523941516876,32.471725940704346,0.07455863617360592,108812,0.000442773440394527,79.08810234069824
48,6916,333550,1240,-0.2206512875854969,34.18422555923462,0.0765373483300209,113416,0.000442773440394527,77.77743721008301
48,7075,343370,1280,0.3634608443826437,27.998708248138428,0.07317284494638443,117344,0.000442773440394527,77.06725311279297
