time/fps,time/iterations,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/loss,train/std,train/entropy_loss,train/clip_range,train/n_updates,train/explained_variance,train/clip_fraction
85,1,-0.22593608596366707,2560,29,160.28571428571428,,,,,,,,,,,
172,1,-0.23689317109550828,5120,14,184.5,0.0003,-0.0076610156809692855,0.06542918756604195,0.020314887,0.022404499351978302,0.01003201398998499,2.442127937078476,0.2,10,0.6605640649795532,0.19246419202536344
204,1,-0.3177137798762403,7680,12,232.84615384615384,0.0003,-0.009536417963681742,0.015514201065525413,0.01437965,0.012299217283725739,0.010042206384241581,2.5697993874549865,0.2,20,0.8641513586044312,0.17377830073237419
169,1,-0.5778866932671994,10240,15,216.65217391304347,0.0003,-0.009407318783996744,0.028095047431997956,0.019288624,-0.005658549256622791,0.010041273199021816,2.4985343873500825,0.2,30,0.3858606219291687,0.16401601135730742
211,1,-0.9952674261351991,12800,12,227.96666666666667,0.0003,-0.011514674911741168,0.0363267826475203,0.010985313,-0.007915416732430458,0.010065917856991291,2.501432919502258,0.2,40,0.5931096076965332,0.11292968787252904
285,1,-0.9000089173957571,15360,8,219.48717948717947,0.0003,-0.013467312831198796,0.011560807505156845,0.014827315,0.008721858263015747,0.010090923868119717,2.532202273607254,0.2,50,0.9115852117538452,0.1463518412783742
377,1,-0.9126755191536035,17920,6,229.0,0.0003,-0.016957665770314635,0.02834381191059947,0.013546461,-0.0022885259240865707,0.010082853026688099,2.5640459775924684,0.2,60,0.6035722494125366,0.14718500413000585
158,1,-0.9492581417031271,20480,16,220.64,0.0003,-0.007097512027227459,0.007058432511985302,0.0107351,0.015601060353219509,0.010070188902318478,2.6097553968429565,0.2,70,0.7382373809814453,0.14747706521302462
154,1,-0.9335615268836855,23040,16,217.8148148148148,0.0003,-0.00019355998626230535,0.05420791908997942,0.057916775,0.14868812263011932,0.010062684305012226,2.522306016973547,0.2,78,0.7375664710998535,0.13883023648648649
409,1,-1.0242426659743338,25600,6,230.01694915254237,0.0003,-0.007153808785369619,0.020446283817291258,0.015947824,0.022746682167053223,0.010070747695863247,2.5326297998428347,0.2,88,0.8586137890815735,0.17516808778047563
145,1,-0.9794649569940926,28160,17,233.6031746031746,0.0003,-0.007249929069075733,0.010751838004216552,0.025365438,0.01786181516945362,0.010058693587779999,2.572485792636871,0.2,98,0.9034584164619446,0.12409285493195057
191,1,-1.106279563000952,30720,13,243.2,0.0003,-0.012753914057975635,0.043023967649787664,0.013118926,0.023290293291211128,0.010036405175924301,2.5375567734241486,0.2,108,0.7331438064575195,0.1217524442821741
114,1,-1.0733092459495006,33280,22,242.95945945945945,0.0003,-0.013145621919329642,0.01143962237983942,0.023572648,0.01150248572230339,0.010024121031165123,2.55686502456665,0.2,118,0.9236904382705688,0.18377329409122467
181,1,-1.0669877029871864,35840,14,248.45,0.0003,-0.006238491320982575,0.021701395381242036,0.017158218,0.02633567899465561,0.010025681927800179,2.5369919300079347,0.2,128,0.798370361328125,0.1806367276236415
295,1,-0.9962924240451452,38400,8,243.5056179775281,0.0003,-0.009649891320441384,0.01867525598499924,0.01342698,0.007437352556735277,0.010030015371739864,2.5559750616550447,0.2,138,0.901055634021759,0.2205268799327314
160,1,-1.0060190552939134,40960,15,244.41304347826087,0.0003,-0.011241794974193909,0.014325732318684458,0.01918814,0.0008067903108894825,0.010018100030720234,2.560569429397583,0.2,148,0.5586798787117004,0.15186553485691548
285,1,-1.052789842695098,43520,8,248.87,0.0003,-0.004810010595247149,0.03728358086198568,0.01056021,0.020866502076387405,0.010039589367806911,2.576654481887817,0.2,158,0.7884353995323181,0.13688727751374244
