time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/explained_variance,train/std,train/approx_kl,train/value_loss,train/loss,train/entropy_loss
1,-1.6069244084407406,189.28571428571428,227,22,5120,,,,,,,,,,,
1,-1.2519196435892388,243.15,229,22,10240,0.2,0.1807868929207325,-0.0031910069240257146,10,0.0003,0.4264429807662964,0.050198450684547424,0.010503272,0.055178363099694254,0.04348237067461014,3.1489381408691406
1,-1.051558889421189,228.725,255,20,15360,0.2,0.1510327123105526,-0.009508035403753941,20,0.0003,0.7740074992179871,0.050318554043769836,0.014642879,0.020928661866734425,0.015873704105615616,3.143348145484924
1,-0.7402836512782398,217.82142857142858,264,19,20480,0.2,0.13734346237033607,-0.008105347989476286,30,0.0003,0.3191356658935547,0.05064791813492775,0.0115884645,0.038872545072808865,0.028162702918052673,3.1353112399578094
1,-0.6802814640213354,214.02631578947367,275,18,25600,0.2,0.13516690619289876,-0.008453486319922376,40,0.0003,0.6950047612190247,0.05070140212774277,0.010772541,0.01582328926306218,0.02111942693591118,3.126235616207123
1,-0.6249881399320505,212.02247191011236,270,18,30720,0.2,0.14590407153591514,-0.010145144554553554,50,0.0003,0.052051544189453125,0.050944238901138306,0.014027419,0.03027335163205862,0.02215840108692646,3.1216169893741608
1,-0.734164488762605,222.95,310,16,35840,0.2,0.1346740516833961,-0.010355446842731908,60,0.0003,0.10763007402420044,0.05126383155584335,0.012991317,0.021675637061707675,0.015801915898919106,3.1092053055763245
1,-0.5869444328409247,222.43,246,20,40960,0.2,0.1272771987443169,-0.010100657370639966,70,0.0003,0.5059869289398193,0.05131988972425461,0.01079909,0.03397916524360577,0.02243960276246071,3.1023746649424235
1,-0.6999353798145131,220.46,170,30,46080,0.2,0.1427277198061347,-0.009477545181289316,80,0.0003,0.5866673588752747,0.05169247090816498,0.014679225,0.02064058624673635,0.025714952498674393,3.094883733987808
1,-0.8278756711385284,236.1,228,22,51200,0.2,0.150463535040617,-0.009053377578966319,90,0.0003,0.3099979758262634,0.051786452531814575,0.010227435,0.03729947924613953,0.013123498298227787,3.084328980445862
1,-1.0068531836499721,231.57,220,23,56320,0.2,0.12182265657465904,-0.009787960168614518,100,0.0003,0.4891153573989868,0.05188671499490738,0.010437984,0.028377103828825058,0.025312962010502815,3.0816860020160677
1,-1.2381780054132356,231.0,204,25,61440,0.2,0.16200520902872084,-0.0062865098565816875,110,0.0003,0.27143704891204834,0.05206000432372093,0.022632474,0.0457198316603899,-0.019575335085392,3.0760166025161744
1,-1.1976394298565998,221.56,152,33,66560,0.2,0.15950174182653426,-0.007560037625953555,120,0.0003,0.42863142490386963,0.052286773920059204,0.013584018,0.05197198200970888,0.015368038788437843,3.068771691322327
1,-1.6124859946679047,221.56,189,27,71680,0.2,0.1144664365798235,-0.008187526528490707,130,0.0003,0.21400737762451172,0.05233888328075409,0.007998119,0.11892627943307162,0.05011945962905884,3.062378299236298
1,-1.686549374065944,227.31,167,30,76800,0.2,0.1144716776907444,-0.006797631861021122,140,0.0003,0.5376489758491516,0.052182868123054504,0.010976788,0.04833015458037456,0.02574671059846878,3.06456298828125
1,-1.8232586044740402,226.76,207,24,81920,0.2,0.16754014790058136,-0.007187170119505026,150,0.0003,0.8579621315002441,0.05210017040371895,0.012282487,0.031100021302700044,0.040460944175720215,3.070625251531601
