train/ent_coef_loss,train/ent_coef,time/total_timesteps,train/n_updates,train/learning_rate,train/critic_loss,time/episodes,time/fps,train/actor_loss,time/time_elapsed
-1.2251092791557312,0.6929903924465179,7870,1144,0.0003,8.20805835723877,40,55,-7.588523864746094,142
-3.791347026824951,0.3019776940345764,14830,3928,0.0003,0.8986771255731583,80,47,-16.005313396453857,313
-6.766922235488892,0.10753790102899075,23570,7424,0.0003,0.4885299503803253,120,48,-20.084606647491455,489
