time/iterations,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/n_updates,train/value_loss,train/clip_fraction,train/std,train/clip_range,train/loss,train/learning_rate
1,411,12,5120,159.65,-1.1933689630781614,,,,,,,,,,,
1,428,11,10240,164.625,-1.0417371166574818,0.03945285081863403,0.02386149112135172,0.023560371,3.1532881259918213,1,0.16844097524881363,0.23388671875,0.05001496523618698,0.2,0.15860497951507568,0.0003
1,417,12,15360,162.94202898550725,-1.0018566964064999,0.09838616847991943,-0.00888225678820163,0.012011537,3.1481795787811278,11,0.07135609962046147,0.14865347594022751,0.050239428877830505,0.2,0.06042499095201492,0.0003
1,426,12,20480,164.61,-0.8981690529533987,0.2874954342842102,-0.009065388415474445,0.014390062,3.1423269939422607,21,0.03669612869620323,0.16488505333662032,0.050303615629673004,0.2,0.003199906088411808,0.0003
1,419,12,25600,164.82,-0.7924142421062551,0.5260125398635864,-0.009502403523947578,0.009132995,3.145229625701904,31,0.028170852223411202,0.11350986622273922,0.05007182061672211,0.2,0.027910886332392693,0.0003
1,401,12,30720,162.32,-0.7180559977002561,0.6827950477600098,-0.011267277402803302,0.008682961,3.154165859222412,41,0.029165874160826208,0.12428479045629501,0.04996597766876221,0.2,0.024560946971178055,0.0003
1,399,12,35840,164.77,-0.7286717198319462,0.7185156941413879,-0.005791380065493286,0.00857905,3.1543201541900636,51,0.04343722835183143,0.1210910589993,0.04999106004834175,0.2,0.03844017535448074,0.0003
1,425,12,40960,164.43,-0.6875849794732737,0.7418244481086731,-0.010033603673800826,0.016765919,3.151986918449402,61,0.02486624153330922,0.14976811349391939,0.0500955805182457,0.2,0.030303489416837692,0.0003
1,397,12,46080,167.99,-0.701680972534253,0.7790042757987976,-0.009988482771441341,0.012882365,3.1485456323623655,71,0.01607182000763714,0.14460512906312942,0.05014441907405853,0.2,0.01742785982787609,0.0003
1,413,12,51200,169.04,-0.7465293129158742,0.7680589556694031,-0.009053666238469305,0.01004154,3.1434418821334837,81,0.02870975889265537,0.13849547408521176,0.05042865872383118,0.2,0.020994793623685837,0.0003
