time,agent,route_target_index,route_target_distance_km,route_clearance_km,route_target_east_km,route_target_north_km,route_target_in_static_domain,in_route_domain,lat,lon,cas_mps,tas_mps,goal_distance_km,heading_error_deg,heading_action,speed_action,nearest_agent,nearest_nm,outside,commanded_heading_turn_deg,commanded_speed_action,traffic_projection_intervened,static_projection_intervened,static_projection_infeasible,nominal_static_violation,nominal_traffic_conflict,no_static_feasible_candidate,no_jointly_feasible_candidate,predicted_minimum_separation_km,predicted_risk_seconds,reference_heading_turn_deg,nominal_heading_adjustment_deg,nominal_speed_action
0.0,KL001,1,82.6591915887328,6.0,66.46350534956643,59.67624245273457,,True,51.81811572876677,5.281790270509278,150.0,152.40357712476657,111.50735072008028,-0.31236626920187405,-0.24336057901382446,0.27651357650756836,KL002,16.022836773977648,False,41.34959131479263,0.27651357650756836,False,False,False,False,False,False,False,28.61842213113503,0.0,45.0,-3.650408685207367,0.27651357650756836
0.0,KL002,1,78.77895925228738,6.0,66.46350534956642,59.67624245273456,,True,51.96228368123035,5.645668107317514,150.0,152.40357712476657,152.79726053661688,-0.2471582990825425,0.16375207901000977,0.23204576969146729,KL001,16.022836773977648,False,45.0,0.23204576969146729,False,False,False,False,False,False,False,29.60286238728152,0.0,45.0,0.0,0.23204576969146729
0.0,KL003,1,75.09324857846316,6.0,33.58533804083748,60.94607514115475,,True,52.4707268180544,3.4005561457775633,150.0,152.40357712476657,149.79633926883895,-0.035415032425277104,-0.45458853244781494,0.16564834117889404,KL005,10.022423065916133,False,-45.0,-1.0,True,False,False,False,True,False,True,10.117733918613816,12.49508297587765,-44.462265372276306,-0.5377346277236938,0.16564834117889404
0.0,KL004,1,18.794411494111838,6.0,-44.867503040956265,-51.222313853136086,,True,51.58836812230801,3.606937727095185,150.0,152.40357712476657,130.69935734262737,-0.06517150409771943,0.18130552768707275,0.38805389404296875,KL007,30.252010626894922,False,45.0,0.38805389404296875,False,False,False,False,False,False,False,39.56955289295481,0.0,45.0,0.0,0.38805389404296875
0.0,KL005,1,41.75998931473498,6.0,-64.0996749900171,52.42626174276576,,True,52.45025868493685,3.6724516715901214,150.0,152.40357712476657,131.16890376998094,-0.015833832462362807,0.22244417667388916,0.15013599395751953,KL003,10.022423065916133,False,-5.000000000000002,0.15013599395751953,True,False,False,False,True,False,False,10.79230361989178,0.0,45.0,0.0,0.15013599395751953
0.0,KL006,1,95.2528155402036,6.0,66.46350534956643,59.67624245273458,,True,51.686946579081564,4.792555582914389,150.0,152.40357712476657,150.18587104134224,-0.19086071757175205,0.3023555278778076,0.08862507343292236,KL001,19.816326506938285,False,45.0,0.08862507343292236,False,False,False,False,False,False,False,33.792772300399385,0.0,45.0,0.0,0.08862507343292236
0.0,KL007,1,133.54992803593186,6.0,-105.4453798759046,-17.419046806904845,,True,51.18613456009277,4.093198339857625,150.0,152.40357712476657,166.74754955537398,-0.11280963219581963,-0.3040069341659546,0.3682515621185303,KL004,30.252010626894922,False,-45.0,0.3682515621185303,False,False,False,False,False,False,False,32.20619226990926,0.0,-45.0,0.0,0.3682515621185303
0.0,KL008,1,49.82323760661848,6.0,-105.4453798759046,-17.419046806904838,,True,51.43618369787973,2.764035739610166,150.0,152.40357712476657,162.73152797097492,-0.09256662033226348,-0.06260597705841064,0.0349118709564209,KL004,32.79449275488767,False,-45.0,0.0349118709564209,False,False,False,False,False,False,False,59.72115672944801,0.0,-45.0,0.0,0.0349118709564209
0.0,KL009,1,58.11914944677101,6.0,63.363104913431314,61.70316919448432,,True,52.67588503310181,4.099544746033461,150.0,152.40357712476657,128.06343705632335,-0.1989792760291209,-0.3412977457046509,0.15323615074157715,KL005,20.651840344072728,False,-30.065543353557587,0.15323615074157715,False,False,False,False,False,False,False,38.50066539015605,0.0,-24.946078062057495,-5.1194652915000916,0.15323615074157715
0.0,KL0010,1,35.02857791185761,6.0,66.46350534956643,59.67624245273457,,True,52.234334648224966,5.114400924933476,150.0,152.40357712476657,100.19938954824838,-0.12749060297392134,0.6329368352890015,0.39433109760284424,KL002,25.510048022130476,False,45.0,0.39433109760284424,False,False,False,False,False,False,False,47.27415412133094,0.0,45.0,0.0,0.39433109760284424
10.0,KL001,1,83.08348951608465,6.0,66.46350534956643,59.67624245273458,True,True,51.811150678220535,5.26262871940662,150.94786207968585,153.36484366349183,109.99665769106602,16.898214706047497,-0.11295127868652344,0.16727697849273682,KL002,16.030987839338188,False,43.30573171377182,0.16727697849273682,False,False,False,False,False,False,False,26.344104047111227,0.0,45.0,-1.69426828622818,0.16727697849273682
10.0,KL002,1,78.49819325139066,6.0,66.46350534956642,59.67624245273457,True,True,51.956557096892695,5.625421581915112,150.79535410362197,153.21018104523773,151.28729887127042,16.94691952288528,0.19640958309173584,0.12113809585571289,KL001,16.030987839338188,False,45.0,0.12113809585571289,False,False,False,False,False,False,False,29.61543738632284,0.0,45.0,0.0,0.12113809585571289
10.0,KL003,1,73.86431387798241,6.0,33.585338040837485,60.94607514115474,True,True,52.46439397755676,3.419903314702804,146.56989707733354,148.92470887293493,148.32669492562363,-17.67493168744312,-0.37204158306121826,0.17578577995300293,KL005,8.94373423154097,False,-33.16092252731323,0.17578577995300293,False,False,False,False,False,False,False,11.235094832116536,0.0,-27.58029967546463,-5.580622851848602,0.17578577995300293
10.0,KL004,1,20.25093424403369,6.0,-44.86750304095627,-51.22231385313608,True,True,51.5884009247821,3.629106972931812,151.33040372711355,153.7527863461858,129.19135415923807,17.089273237577004,0.2728743553161621,0.408194899559021,KL007,29.355393366293935,False,45.0,0.408194899559021,False,False,False,False,False,False,False,33.642979454861496,0.0,45.0,0.0,0.408194899559021
10.0,KL005,1,41.04873896516763,6.0,-64.0996749900171,52.426261742765746,True,True,52.438549812532976,3.660623305146399,150.5144341525033,152.92529013776752,129.64561207928327,-5.069731135731473,0.1641380786895752,0.19154489040374756,KL003,8.94373423154097,False,5.000000000000002,0.19154489040374756,True,False,False,False,True,False,False,10.72822426876087,0.0,45.0,0.0,0.19154489040374756
10.0,KL006,1,95.67667740599089,6.0,66.46350534956643,59.67624245273457,True,True,51.684942338934036,4.770723609682304,150.30347465918072,152.71134682756664,148.68089525878972,17.060892923108895,0.32560110092163086,0.059311509132385254,KL001,19.793183720366674,False,45.0,0.059311509132385254,False,False,False,False,False,False,False,32.53435785835361,0.0,45.0,0.0,0.059311509132385254
10.0,KL007,1,133.31583415993802,6.0,-105.4453798759046,-17.419046806904845,True,True,51.19867570527537,4.102264567471746,151.2624891214835,153.6839132361879,165.2353237091212,-17.2507497593908,-0.3226644992828369,0.29275643825531006,KL004,29.355393366293935,False,-45.0,0.29275643825531006,False,False,False,False,False,False,False,27.586111870959723,0.0,-45.0,0.0,0.29275643825531006
10.0,KL008,1,49.98807798151998,6.0,-105.4453798759046,-17.419046806904845,True,True,51.44066098195378,2.784749087701082,150.1192584276153,152.52452378214852,161.22914124325584,-17.359973299870745,-0.25379806756973267,0.14692342281341553,KL004,32.77201062350459,False,-45.0,0.14692342281341553,False,False,False,False,False,False,False,59.7487305999867,0.0,-45.0,0.0,0.14692342281341553
10.0,KL009,1,56.63356376753464,6.0,63.363104913431314,61.70316919448433,True,True,52.66927198088607,4.1193374632205515,150.52506653288077,152.93607286220555,126.5587388873253,-17.447150483538763,-0.33064961433410645,0.09780573844909668,KL005,21.732711877165872,False,-13.181439936161041,0.09780573844909668,False,False,False,False,False,False,False,40.52295413278035,0.0,-8.221695497632027,-4.959744438529015,0.09780573844909668
10.0,KL0010,1,34.02069650779378,6.0,66.46350534956643,59.67624245273457,True,True,52.24033796980573,5.0941546265360635,151.3519321918346,153.77461861691168,98.68541560000315,17.057619115763828,0.6636807918548584,0.4759732484817505,KL002,25.966574325455536,False,45.0,0.4759732484817505,False,False,False,False,False,False,False,48.1180780748436,0.0,42.221218049526215,2.7787819504737854,0.4759732484817505
