time/iterations,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,train/entropy_loss,train/clip_fraction,train/clip_range,train/approx_kl,train/std,train/loss,train/n_updates,train/learning_rate,train/explained_variance,train/value_loss,train/policy_gradient_loss
1,19,130,0.08138899555876454,178.66666666666666,2560,,,,,,,,,,,
1,23,110,-0.059469505090594746,183.28571428571428,5120,3.1538867950439453,0.2451171875,0.2,0.024263471,0.049985043704509735,0.14135482907295227,1,0.0003,-0.008010268211364746,0.18114255368709564,0.020422400906682014
1,7,348,-1.072327641505798,215.31578947368422,7680,3.1554829749194058,0.23872514204545456,0.2,0.042191003,0.049930911511182785,0.22153854370117188,6,0.0003,0.1634070873260498,0.5880703208121386,-0.0003937302919274027
1,19,133,-0.8839598833885214,216.28,10240,3.1569722414016725,0.1837380471872166,0.2,0.015186708,0.049925755709409714,0.045203376561403275,16,0.0003,0.27705204486846924,0.0754453020170331,-0.005860305385431275
1,9,256,-0.9581451095651161,236.83333333333334,12800,3.1550144941910454,0.1593353728885236,0.2,0.038292497,0.05000312626361847,0.12069234997034073,21,0.0003,0.12639349699020386,0.22296264378920846,-0.0019544525800839715
1,19,134,-0.8209075431955093,218.95,15360,3.1526986002922057,0.1198828898370266,0.2,0.013562607,0.05005018785595894,0.0432087704539299,31,0.0003,-0.17461740970611572,0.13895030356943608,-0.00874865148907702
1,15,164,-0.6503833179006532,212.4,17920,3.1516461312770843,0.18761872071772814,0.2,0.01661626,0.05003492906689644,0.03465455397963524,41,0.0003,0.34900450706481934,0.05321932164952159,-0.011156478064367547
1,16,151,-0.9411655455607544,206.8,20480,3.154529279470444,0.18744263853877782,0.2,0.01382298,0.04990021884441376,0.02185981720685959,51,0.0003,0.6832296848297119,0.08854285683482885,-0.00823170401272364
1,14,171,-0.9686758337128414,205.67164179104478,23040,3.1611979961395265,0.1297791774617508,0.2,0.014354047,0.04974617063999176,0.04497259855270386,61,0.0003,0.6258946061134338,0.09830535817891359,-0.010353027586825192
1,7,325,-1.0728790939293507,215.7536231884058,25600,3.1599532783031465,0.17647012160159647,0.2,0.015494503,0.05003435164690018,0.09789109230041504,71,0.0003,0.5351685285568237,0.31954247746616604,-0.006296552860294469
1,20,125,-1.0761215485913949,219.91549295774647,28160,3.1503541111946105,0.15371259339153767,0.2,0.023021737,0.05012328922748566,0.02021663263440132,81,0.0003,-0.13316023349761963,0.014208873827010393,-0.007219739092397504
1,18,137,-1.0811249871221986,223.25,30720,3.146716440717379,0.14737831351036826,0.2,0.0354772,0.05023878067731857,0.19195719063282013,91,0.0003,0.3903511166572571,1.038376521319151,-0.005881151771366906
1,19,134,-2.4325302655291705,256.7469879518072,33280,3.1352548933029176,0.15163007274270057,0.2,0.015000353,0.05073222517967224,0.2911219000816345,101,0.0003,0.6534173488616943,0.971325410604477,-0.009346923395060002
1,15,160,-2.2701932903952575,255.26666666666668,35840,3.1232263708114623,0.16036349430680275,0.2,0.012306492,0.0507262721657753,0.08273261040449142,111,0.0003,0.156297504901886,0.27879963427782056,-0.008132951700827108
1,15,168,-2.100380918120006,250.04,38400,3.1223008751869203,0.15785497035831214,0.2,0.0153697245,0.0509050115942955,0.05426077917218208,121,0.0003,0.62005615234375,0.18030343800783158,-0.009112190490122884
1,13,183,-2.3685631402678577,253.53,40960,3.1193460643291475,0.1431631289422512,0.2,0.012991793,0.05076504498720169,0.05064137279987335,131,0.0003,0.7001044750213623,0.22069883588701486,-0.01261857190693263
1,17,150,-2.180791634516085,244.74,43520,3.12527015209198,0.1509261002143224,0.2,0.014493168,0.05071497708559036,0.09043043106794357,141,0.0003,0.8027008771896362,0.26624635408322017,-0.013231634298184266
1,17,144,-2.1396326642842367,240.67,46080,3.121939665079117,0.20208185464143752,0.2,0.01994711,0.050954561680555344,0.03659992665052414,151,0.0003,0.0279729962348938,0.10322644133120776,-0.011939088208600878
1,14,171,-2.120928449341242,244.82,48640,3.113248956203461,0.22796456443611532,0.2,0.030227885,0.05107196420431137,0.03570494428277016,161,0.0003,0.667924165725708,0.02822701253462583,-0.013525935156212653
1,14,177,-2.238592722999311,245.19,51200,3.1112274010976155,0.1420572926600774,0.2,0.023134256,0.05106966197490692,0.09380404651165009,164,0.0003,0.3707670569419861,0.05924870856106281,0.0020042742292086285
1,15,160,-2.0963732854393657,246.0,53760,3.11188348531723,0.1669275414198637,0.2,0.018157804,0.051060859113931656,0.03908665478229523,174,0.0003,0.43941551446914673,0.1291018974967301,-0.009229247074108571
1,17,149,-1.9788230119947563,234.58,56320,3.108390760421753,0.1835240510851145,0.2,0.018234596,0.05117916315793991,-0.015344318002462387,184,0.0003,0.7793312072753906,0.05638161759823561,-0.012232276387512684
1,16,158,-1.1573534655853353,208.16,58880,3.107702687382698,0.19796413858421147,0.2,0.049708843,0.051129117608070374,0.07414253056049347,191,0.0003,0.5868790745735168,0.100266651250422,0.002012792923778761
1,17,148,-0.7594880780761772,203.01,61440,3.107603442668915,0.2535422394052148,0.2,0.018705625,0.05126339942216873,0.05078713968396187,201,0.0003,0.09850597381591797,0.04846716304309666,-0.004272237195982598
1,18,136,-0.9748489647636452,201.83,64000,3.098513251543045,0.19239646885544062,0.2,0.02327855,0.05152680352330208,0.0370861254632473,211,0.0003,0.5259314775466919,0.13502785610035062,-0.01249294095177902
1,17,146,-0.8707912209794912,196.37,66560,3.0885252594947814,0.21058127358555795,0.2,0.018444186,0.05181562900543213,0.0767698660492897,221,0.0003,0.6142642498016357,0.38724802024662497,-0.010610654356423766
1,16,152,-0.8406423885681542,197.75,69120,3.0801375985145567,0.19781115222722293,0.2,0.021788742,0.05190355330705643,0.027473656460642815,231,0.0003,0.48415607213974,0.07241573575884104,-0.013506713623792166
1,15,168,-0.8560740769650178,196.84,71680,3.075524038076401,0.1788338266313076,0.2,0.01910756,0.05210401862859726,0.00984832365065813,241,0.0003,0.3120875954627991,0.04185859663411975,-0.014199453621404245
1,19,130,-0.8529661638802586,197.06,74240,3.0675901651382445,0.21732278196141125,0.2,0.026457597,0.052252236753702164,0.06169317662715912,251,0.0003,-0.016659021377563477,0.08610674096271395,-0.013612427993211895
1,10,253,-0.8957781129974407,201.22,76800,3.067641419172287,0.14618201162666083,0.2,0.014539782,0.05213593691587448,0.026453450322151184,261,0.0003,0.4920962452888489,0.05685347351245582,-0.010505425289738923
1,14,179,-0.9802980352074984,206.21,79360,3.0718186299006143,0.21354166666666666,0.2,0.015146732,0.05207666754722595,0.13507728278636932,271,0.0003,0.6706099510192871,0.03466491614854021,0.003708138472090165
1,16,154,-0.9418016629500542,205.28,81920,3.0708662450313566,0.18036361932754516,0.2,0.01785043,0.05212782695889473,0.06684665381908417,281,0.0003,0.3006386160850525,0.35285395607352255,-0.016213806776795535
1,5,430,-0.9084750414081029,208.91,84480,3.066748023033142,0.2138354112394154,0.2,0.02411329,0.05231965333223343,-0.0015886351466178894,291,0.0003,0.3745282292366028,0.06184596866369248,-0.019830388529226185
1,19,129,-0.8894675028280973,210.55,87040,3.0623831510543824,0.1337104097008705,0.2,0.014789056,0.052339524030685425,0.030113346874713898,301,0.0003,0.42088115215301514,0.053863443434238434,-0.01358542426329148
1,13,186,-1.0549830622154355,216.08,89600,3.0600326013565065,0.17221982076764106,0.2,0.01641504,0.052467599511146545,0.045661427080631256,311,0.0003,0.417616605758667,0.23935773074626923,-0.011657201792113483
1,10,241,-1.0250090117286443,217.97,92160,3.0597002188364666,0.1711680067082246,0.2,0.016116604,0.052299074828624725,0.030423950403928757,321,0.0003,0.5892652869224548,0.04141912969450156,-0.010752695302168528
1,14,178,-0.9680908934339021,219.3,94720,3.068056583404541,0.19598886832270934,0.2,0.040835325,0.05209272354841232,0.050421033054590225,329,0.0003,-0.04844498634338379,0.03785211107005244,-0.007127478620057683
1,11,214,-0.8230913587482551,219.54,97280,3.0727326075236,0.18006000279759368,0.2,0.040389173,0.05203840136528015,0.08389625698328018,332,0.0003,0.6573798656463623,0.06269535329192877,0.004987419854539136
1,11,227,-0.7484074073478391,222.16,99840,3.0741783499717714,0.15682410057634116,0.2,0.01492421,0.052072372287511826,0.05097772926092148,342,0.0003,0.5936887264251709,0.17860904652625323,-0.015276345546590164
1,9,276,-0.8559614211290981,227.69,102400,3.0723206996917725,0.19647488703853205,0.2,0.036438648,0.052070021629333496,0.09606166183948517,347,0.0003,0.8995674252510071,0.13072462458359568,0.0020506327395866577
1,7,339,-0.8846510166377108,230.99,104960,3.0738447189331053,0.19655832958718142,0.2,0.023651129,0.05201084166765213,0.031590353697538376,357,0.0003,0.3539474606513977,0.1023500308394432,-0.012729121620456378
1,12,199,-0.8394932584748748,233.04,107520,3.0768485188484194,0.21893427495379,0.2,0.02295921,0.05187530815601349,0.012838508933782578,367,0.0003,0.49224531650543213,0.023285193461924793,-0.019569798900374736
1,13,188,-0.822543040926902,232.29,110080,3.0796511232852937,0.19966209144331515,0.2,0.025999099,0.051936596632003784,0.03065858967602253,377,0.0003,0.08234095573425293,0.04429375361651182,-0.011236089060548692
1,15,164,-0.8117862832405882,219.73,112640,3.0767860889434813,0.20208726897835733,0.2,0.024778297,0.05198454484343529,0.03257419168949127,387,0.0003,0.21659201383590698,0.08345372648909688,-0.009717117133550345
1,14,173,-0.6303846724495294,217.8,115200,3.073844939470291,0.20192190669476986,0.2,0.017703757,0.052062101662158966,0.030514977872371674,397,0.0003,0.3392077684402466,0.11972885755822063,-0.00935116024047602
1,17,147,-0.6416664496655651,221.29,117760,3.0683105111122133,0.17052854783833027,0.2,0.012713194,0.05232398957014084,0.02088901214301586,407,0.0003,0.5472922921180725,0.042131399549543855,-0.016041871736524625
1,7,329,-0.8739346917108645,227.26,120320,3.061543345451355,0.20633408278226853,0.2,0.014099186,0.05238600820302963,0.037289656698703766,417,0.0003,0.4824105501174927,0.28923706263303756,-0.008364347636234015
1,14,178,-1.047382390107969,226.45,122880,3.059593164920807,0.1370653773075901,0.2,0.01057307,0.05243571102619171,0.08792931586503983,427,0.0003,0.33475345373153687,0.9274065606296062,-0.005209510694839992
1,7,341,-1.1885979478063924,227.7,125440,3.0550327062606812,0.18444687463343143,0.2,0.019791562,0.05257681384682655,0.1611873358488083,437,0.0003,0.6527177095413208,0.5426442615687848,-0.00890264415065758
1,13,196,-1.470900503573383,224.55,128000,3.0520930171012877,0.2067702891305089,0.2,0.017849097,0.052635785192251205,0.12355686724185944,447,0.0003,0.7050286531448364,0.34586291909217837,-0.012710695549321827
1,14,174,-1.4830166671675153,224.74,130560,3.0495616257190705,0.23352983202785255,0.2,0.02093918,0.05271247401833534,0.17477095127105713,457,0.0003,0.3891187310218811,0.817564282566309,-0.008736371080158279
1,6,401,-1.5284641289466656,229.23,133120,3.0455963802337647,0.2337957362085581,0.2,0.018444983,0.05283721908926964,0.06058502569794655,467,0.0003,0.16575825214385986,0.25872786045074464,-0.0080813352111727
1,13,195,-1.5377271899669802,232.17,135680,3.0433458924293517,0.16010830970481038,0.2,0.015344789,0.0528382882475853,0.027258239686489105,477,0.0003,0.8759472370147705,0.016251060459762812,-0.010566079942509531
1,9,270,-1.4941009232728242,237.03,138240,3.0457815170288085,0.15161355752497913,0.2,0.0166362,0.05268637835979462,0.024177297949790955,487,0.0003,0.4392838478088379,0.03843811266124249,-0.006859173008706421
1,16,153,-1.4568803392339142,240.68,140800,3.049566477537155,0.2711925966044267,0.2,0.038087387,0.0526866540312767,0.07893809676170349,495,0.0003,0.6182005405426025,0.04003587147841851,-0.004025730556653191
1,17,146,-1.6548937348200985,238.12,143360,3.0494565963745117,0.14923512650032839,0.2,0.013979166,0.05267233029007912,0.22352072596549988,505,0.0003,0.5792189240455627,0.6962917904059093,-0.015793240924055377
1,15,162,-1.7103925329365564,238.69,145920,3.0470547125889706,0.18605053854676393,0.2,0.037906,0.0528271347284317,0.0889483392238617,512,0.0003,0.7726643681526184,0.11756109159726363,-0.00932032202119724
1,9,268,-2.0477982835280697,247.15,148480,3.0358017146587373,0.16978549286723138,0.2,0.017419046,0.053259752690792084,0.09030194580554962,522,0.0003,0.5625297427177429,0.5180928755551577,-0.010520766085573997
1,19,130,-2.0510489737342037,250.08,151040,3.024129939079285,0.1954683326650411,0.2,0.017927593,0.0534486249089241,0.04261210560798645,532,0.0003,0.8248903751373291,0.09858533181250095,-0.006303167308215052
1,8,297,-2.0583373933255955,257.88,153600,3.0191507053375246,0.18415521372109653,0.2,0.014046915,0.053438492119312286,0.03547811880707741,542,0.0003,0.21211165189743042,0.10177447944879532,-0.011253252550959587
