time/fps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/policy_gradient_loss,train/loss,train/entropy_loss,train/explained_variance,train/std,train/clip_range,train/clip_fraction,train/value_loss,train/approx_kl,train/n_updates,train/learning_rate
407,1,-0.9916474095137644,163.95,5120,12,,,,,,,,,,,
486,1,-0.554969103524623,168.9142857142857,10240,10,0.016201150603592396,0.14637503027915955,3.153288722038269,-0.04257774353027344,0.05001494288444519,0.2,0.23828125,0.17953728884458542,0.023031747,1,0.0003
314,1,-0.6513794325416914,190.04545454545453,15360,16,-0.008779504327685572,0.022235505282878876,3.1546725153923036,0.4170352816581726,0.04992857575416565,0.2,0.17525890935212374,0.03846505538094789,0.018151034,11,0.0003
468,1,-1.5840682353887523,221.49122807017545,20480,10,-0.009385083161760122,0.04422307759523392,3.1512477457523347,0.28879570960998535,0.05025044456124306,0.2,0.10638138428330421,0.11478335233405232,0.008708939,21,0.0003
379,1,-1.5277634860664553,218.55844155844156,25600,13,-0.009062101331073791,0.040288493037223816,3.1390681505203246,0.5249314308166504,0.05043322965502739,0.2,0.11209504430492719,0.07725640485684077,0.010010093,31,0.0003
380,1,-1.2395048411274945,210.2828282828283,30720,13,-0.008776402159128338,0.0285409577190876,3.13766770362854,0.7502062916755676,0.05033200979232788,0.2,0.1401500353589654,0.041480220900848505,0.010105908,41,0.0003
310,1,-1.3532934672368357,214.4,35840,16,-0.0078090739494655285,0.026282574981451035,3.14157035946846,0.7861295938491821,0.05028928816318512,0.2,0.13995159342885016,0.03179161534644663,0.01367709,51,0.0003
299,1,-1.5928564177641906,206.92,40960,17,-0.00737653031013906,0.023489296436309814,3.1412766933441163,0.6222125291824341,0.05032270401716232,0.2,0.1657189391553402,0.07062024757266044,0.010303555,61,0.0003
304,1,-1.0559430205506053,190.56,46080,16,-0.00843795739565394,0.03791308030486107,3.1385907411575316,0.6632202863693237,0.050460319966077805,0.2,0.175094573199749,0.06351478109136224,0.015675817,71,0.0003
342,1,-0.9168418233914528,187.11,51200,14,-0.010893594913068228,0.024122918024659157,3.1324125707149504,0.4523206353187561,0.050610512495040894,0.2,0.1295160183683038,0.049556776555255054,0.010459199,81,0.0003
395,1,-0.9275652160383737,194.45,56320,12,-0.012796528520993888,0.017175983637571335,3.1305599927902223,0.7708699107170105,0.05048887059092522,0.2,0.13074218751862646,0.02934233848936856,0.013335383,91,0.0003
316,1,-0.9582653568044204,192.85,61440,16,-0.013453647154771412,0.011502636596560478,3.1346808433532716,0.8704741597175598,0.05050484836101532,0.2,0.1293992944682638,0.018176123220473527,0.013239346,101,0.0003
338,1,-0.9374249596516124,203.98,66560,15,-0.010033620096510276,0.03359750658273697,3.1342443227767944,0.5041099786758423,0.05044960975646973,0.2,0.1285742934793234,0.0471280780620873,0.010094885,111,0.0003
310,1,-0.7538230014375347,214.05,71680,16,-0.011686629342875676,0.02179756574332714,3.134986883401871,0.736566424369812,0.05047724395990372,0.2,0.1523075945675373,0.020023559546098114,0.012981905,121,0.0003
312,1,-0.6827048971498125,212.34,76800,16,-0.008249080806854181,0.02128496766090393,3.1329228222370147,0.7381604909896851,0.0505901463329792,0.2,0.14284542798995972,0.025600518099963665,0.009989242,131,0.0003
332,1,-0.5219819268466925,209.78,81920,15,-0.015100172243546695,0.011541461572051048,3.1289096236228944,0.777068018913269,0.050643570721149445,0.2,0.16446203012019395,0.018154029082506896,0.017311612,141,0.0003
318,1,-0.5793365416934089,210.34,87040,16,-0.009768976690247655,0.0366242341697216,3.1244780480861665,0.7227279543876648,0.05084246024489403,0.2,0.1332242202013731,0.026411192724481225,0.014850644,151,0.0003
