time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/learning_rate,train/clip_range,train/value_loss,train/approx_kl,train/std,train/n_updates,train/loss,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/entropy_loss,rollout/ep_rew_mean,rollout/ep_len_mean
244,1280,1,5,,,,,,,,,,,,,
279,2560,1,4,0.0003,0.2,193.2724697113037,0.004911465,0.6072402596473694,2,105.90104675292969,-0.0010731359012424945,0.03046875,-0.0017212629318237305,-1.8394732058048249,,
240,3840,1,5,0.0003,0.2,258.42545928955076,0.0028999937,0.6078760623931885,4,147.8837432861328,-0.0008387443842366338,0.00546875,0.032472312450408936,-1.8411024808883667,,
212,5120,1,6,0.0003,0.2,136.2098003387451,0.0011770652,0.6082684397697449,6,88.80241394042969,-0.0017602007836103439,0.0046875,0.05256873369216919,-1.8426785111427306,,
358,6400,1,3,0.0003,0.2,51.04535064697266,0.003849081,0.6086990833282471,8,23.595205307006836,-0.0002703413367271423,0.0171875,0.08185559511184692,-1.8443318486213685,,
310,7680,1,4,0.0003,0.2,198.3139434814453,0.0007950293,0.6087458729743958,10,95.68445587158203,-0.0003293870948255062,0.0,0.015528261661529541,-1.8450574994087219,,
293,8960,1,4,0.0003,0.2,277.1571907043457,0.0017648253,0.6087566614151001,12,160.9105682373047,-0.001971832173876464,0.00078125,0.005837559700012207,-1.8451692521572114,,
229,10240,1,5,0.0003,0.2,101.29871406555176,0.000397279,0.6090406179428101,14,37.26210021972656,-0.0025132606737315656,0.0,-0.05329728126525879,-1.8455174446105957,,
259,11520,1,4,0.0003,0.2,117.0196548461914,0.003255494,0.6093039512634277,16,37.12935256958008,-0.002852218202315271,0.011328125,-0.015064120292663574,-1.8464948058128356,,
284,12800,1,4,0.0003,0.2,111.36716003417969,0.00092127844,0.6098859906196594,18,36.26487350463867,-0.0010246135760098695,0.0,-0.0009666681289672852,-1.8478614449501038,-383.780881672446,600.0
