rollout,live_transitions,padded_transitions,counted_transitions,worlds_completed,aircraft_completed,optimizer_steps,policy_epochs,wall_seconds,live_transitions_per_second,training_return_last100,native_return_last100,training_arrival_last100,policy_loss,value_loss,approx_kl,clip_fraction,rollout_live_samples,rollout_return_variance_live,rollout_value_mse_live,rollout_value_explained_variance_live,rollout_action_box_clip_fraction_live
1,4647,473,5120,0,8,50,10,65.83695069999885,70.58346339846631,0.3734257140367136,37.34257140367136,1.0,-0.00815972400130704,0.017063883151859045,0.010347021743655205,0.14941927328705787,4647,0.09768343706663972,0.036911302238896604,0.6288025506643087,0.0
2,7719,2521,10240,1,17,80,20,94.48061119999693,81.69930213152824,0.3046190051846052,30.461900518460524,1.0,-0.009647272434085608,0.010159533253560464,0.01149500161409378,0.11175130208333334,3072,0.06262911331986559,0.020545513360069635,0.6757071749047678,0.0
3,11672,3688,15360,3,33,120,30,121.51086020000002,96.05725760469925,0.3263121281131167,32.63121281131167,0.9696969696969697,-0.009959170207002899,0.005428588861832395,0.010596550069749355,0.11870031300932168,3953,0.02863866585496074,0.010408018789039209,0.6439836812939066,0.0
4,15250,5230,20480,5,52,160,40,146.8317363999995,103.8603804184124,0.34360586957636874,34.360586957636876,0.9807692307692307,-0.009646220330614597,0.004084923129994422,0.010164259932935238,0.1153428390622139,3578,0.019784727962313408,0.006881568875408842,0.6566069669260741,0.0
5,17202,8398,25600,5,68,180,50,162.78577799999766,105.67262208864614,0.35056937446431413,35.056937446431405,0.9852941176470589,-0.012528089751140215,0.003099074272904545,0.014328408986330032,0.13248417247086763,1952,0.013556957045454171,0.00511360523345239,0.6455441758732412,0.0
6,20600,10120,30720,7,79,220,60,194.77068179999696,105.76540478075341,0.3536805960513319,35.36805960513319,0.9873417721518988,-0.01119411115651019,0.003877894312608987,0.011894610710442066,0.1432948200032115,3398,0.01973415301575148,0.006147005882424354,0.6888194644983865,0.0
7,23474,12366,35840,8,98,250,70,224.51154359999782,104.55587104163595,0.34832607929734327,34.83260792973433,0.9897959183673469,-0.009631734919579079,0.002687933167908341,0.013396316207945347,0.14506768832604092,2874,0.010330090985627715,0.00480097725105283,0.5415003650356378,0.0
8,26886,14074,40960,10,113,290,80,256.51128929999686,104.8141002813958,0.35465872670511445,35.46587267051144,0.99,-0.01112832237231487,0.003352561604697257,0.012582559138536453,0.12291417829692364,3412,0.008577371794151545,0.005330389545627434,0.3948344075970738,0.0
9,31044,15036,46080,12,129,340,90,295.17341999999917,105.1720713877289,0.3644338917048225,36.443389170482256,1.0,-0.005427255793474615,0.0043144202791154385,0.013746218755841255,0.17736202031373977,4158,0.009496189214288377,0.007389401318624427,0.24365585019654235,0.0
10,33778,17422,51200,13,143,370,100,330.7661881999993,102.12047423534105,0.36390265640677055,36.39026564067705,1.0,-0.011370359345649679,0.006816795173411568,0.011691532097756863,0.17345847425361474,2734,0.019272483608527673,0.011658944330591281,0.4265128320593339,0.0
11,36399,19921,56320,15,150,400,110,359.4994262,101.24911848885726,0.29890992961448853,29.890992961448852,0.97,-0.013323719109879069,0.0038468268079062304,0.014399759471416473,0.15000596456229687,2621,0.018495034259744123,0.0062102338001448695,0.6877159819620855,0.0
12,39730,21710,61440,17,170,440,120,392.5887444999971,101.20004854087276,0.2990377970587677,29.903779705876776,0.97,-0.010467351434272132,0.0020415315753780305,0.017277434468269348,0.1359134627506137,3331,0.007563464560846555,0.0031940740051446476,0.590667744842581,0.0
13,42877,23683,66560,18,189,480,130,423.6715267999971,101.20340237129264,0.30800007041738814,30.800007041738812,0.97,-0.011041727859992533,0.0025013209524331614,0.014425809495151043,0.16915592467412352,3147,0.007556534993221559,0.004174975760719787,0.4475629907396307,0.0
14,46002,25678,71680,19,203,520,140,457.19568249999793,100.61774806895778,0.3080582862472624,30.805828624726242,0.97,-0.00971617255709134,0.002404168967041187,0.013200024142861366,0.18120762147009373,3125,0.0067076407962541945,0.0036380010115132,0.458293667234162,0.0
15,50112,26688,76800,22,220,541,145,496.56266049999977,100.91777732449945,0.3079811663281118,30.798116632811176,0.97,-0.003977130484682592,0.0023353130302645945,0.03822961449623108,0.21166675199161877,4110,0.0063105810863691575,0.002725357462161962,0.5683858289138954,0.0
16,54002,27918,81920,24,241,581,155,533.5435881999983,101.21384867951483,0.30847787466714477,30.847787466714475,0.97,-0.010467150216572917,0.0020840692857746037,0.010545948520302773,0.12633471488952636,3890,0.007824097925991653,0.003094385431264113,0.6045150758189597,0.0
17,57808,29232,87040,25,258,621,165,566.4147434999977,102.0594902646637,0.37337895206516564,37.33789520651656,1.0,-0.011986377736320719,0.002545356159680523,0.012939900159835815,0.14043055213987826,3806,0.009575717919677765,0.004779397449724403,0.5008858002987958,0.0
