rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,train/learning_rate,train/clip_range,train/approx_kl,train/entropy_loss,train/loss,train/std,train/policy_gradient_loss,train/clip_fraction,train/n_updates,train/value_loss,train/explained_variance
196.875,36,5120,1,139,0.3734257140367136,,,,,,,,,,,
330.7647058823529,27,10240,1,184,0.3046190051846052,0.0003,0.2,0.010347022,3.152415461540222,0.021660663187503815,0.05000235140323639,-0.00815972400130704,0.14941927328705787,10,0.017063883151859045,0.6773198843002319
289.8787878787879,26,15360,1,196,0.3263121281131167,0.0003,0.2,0.011495002,3.150953833262126,0.01837700977921486,0.0501810722053051,-0.009647272434085608,0.11175130208333334,20,0.010159533253560464,0.766387939453125
251.69230769230768,24,20480,1,210,0.34360586957636874,0.0003,0.2,0.01059655,3.142378753423691,0.016470881178975105,0.05033775046467781,-0.009959170207002899,0.11870031300932168,30,0.005428588861832395,0.7862299680709839
241.80882352941177,15,25600,1,330,0.35056937446431413,0.0003,0.2,0.01016426,3.1437217593193054,0.011226808652281761,0.050126366317272186,-0.009646220330614597,0.1153428390622139,40,0.004084923129994422,0.8667193651199341
240.55696202531647,31,30720,1,164,0.3536805960513319,0.0003,0.2,0.014328409,3.1509103178977966,0.00823370460420847,0.05002416670322418,-0.012528089751140215,0.13248417247086763,50,0.003099074272904545,0.9411408305168152
232.96938775510205,28,35840,1,177,0.34832607929734327,0.0003,0.2,0.011894611,3.1522472143173217,0.0012621358036994934,0.050097063183784485,-0.01119411115651019,0.1432948200032115,60,0.003877894312608987,0.8466668725013733
219.97,30,40960,1,165,0.35465872670511445,0.0003,0.2,0.013396316,3.1507678906122845,0.009344292804598808,0.05002732574939728,-0.009631734919579079,0.14506768832604092,70,0.002687933167908341,0.9138221144676208
197.26,37,46080,1,137,0.3644338917048225,0.0003,0.2,0.012582559,3.1521969616413115,0.01968645118176937,0.05006397143006325,-0.01112832237231487,0.12291417829692364,80,0.003352561604697257,0.8603630661964417
203.2,34,51200,1,148,0.36390265640677055,0.0003,0.2,0.013746219,3.150835518836975,0.01756962016224861,0.05006331205368042,-0.005427255793474615,0.17736202031373977,90,0.0043144202791154385,0.7112751007080078
217.5,27,56320,1,183,0.29890992961448853,0.0003,0.2,0.011691532,3.150650906562805,0.017177682369947433,0.05010801553726196,-0.011370359345649679,0.17345847425361474,100,0.006816795173411568,0.764411211013794
207.9,31,61440,1,160,0.2990377970587677,0.0003,0.2,0.0143997595,3.15036297639211,0.008878118358552456,0.04999542236328125,-0.013323719109879069,0.15000596456229687,110,0.0038468268079062304,0.8912333846092224
207.8,30,66560,1,170,0.30800007041738814,0.0003,0.2,0.017277434,3.156972438097,0.029592305421829224,0.049849435687065125,-0.010467351434272132,0.1359134627506137,120,0.0020415315753780305,0.9121461510658264
204.22,32,71680,1,157,0.3080582862472624,0.0003,0.2,0.0144258095,3.156270629167557,-0.010151945985853672,0.050074201077222824,-0.011041727859992533,0.16915592467412352,130,0.0025013209524331614,0.8658561706542969
210.03,38,76800,1,132,0.3079811663281118,0.0003,0.2,0.013200024,3.146279329061508,-0.010448459535837173,0.050293512642383575,-0.00971617255709134,0.18120762147009373,140,0.002404168967041187,0.8777248859405518
