time/iterations,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/policy_gradient_loss,train/std,train/explained_variance,train/learning_rate,train/loss,train/n_updates,train/value_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/entropy_loss
1,2560,143,17,-0.19517858738340327,196.5,,,,,,,,,,,
1,5120,137,18,-0.1572153711531127,196.2941176470588,0.01788406167179346,0.010001109912991524,0.28080564737319946,0.0003,0.0904243141412735,1,0.05631398595869541,0.029081736,0.2,0.2802734375,2.3863250017166138
1,7680,188,13,-0.19694795897779163,211.85,0.006803721887990832,0.010001299902796745,0.41401803493499756,0.0003,0.06453460454940796,2,0.05203508026897907,0.02713274,0.2,0.302734375,2.3906333446502686
1,10240,160,15,-0.19563417530870658,216.19230769230768,-0.04878591587767005,0.010015076026320457,0.6570044755935669,0.0003,-0.04750848561525345,12,0.012891900058214863,0.040971275,0.2,0.3152325009306272,2.4705010890960692
1,12800,140,18,-0.31991291010803397,242.86666666666667,-0.034239279416700207,0.010009022429585457,0.7845044732093811,0.0003,-0.024622436612844467,16,0.022162475374837717,0.039571647,0.2,0.18163661969204745,2.441433000564575
1,15360,140,18,-0.5460366866313763,228.9,-0.0515791557825588,0.009987665340304375,0.7668242454528809,0.0003,-0.03162606805562973,24,0.04078959654374369,0.047061577,0.2,0.306801644378695,2.4695762683605325
1,17920,166,15,-0.5612825185069208,236.125,-0.03685585342140661,0.009997605346143246,0.7121263146400452,0.0003,-0.03415096178650856,30,0.015809151275014435,0.04123047,0.2,0.2371788447101911,2.4577224254608154
1,20480,131,19,-0.5866383656121437,238.7719298245614,-0.04746601069789557,0.009985368698835373,0.227877676486969,0.0003,-0.05015404149889946,37,0.05738907431562742,0.045052182,0.2,0.30863214780886966,2.4637916542234874
1,23040,267,9,-0.5903019678270224,238.8793103448276,-0.007736583799123764,0.009980631992220879,0.6800870299339294,0.0003,0.059152841567993164,38,0.043021155148744585,0.023090834,0.2,0.2533593773841858,2.452701139450073
1,25600,139,18,-0.559741899150842,248.66666666666666,-0.021965180337429047,0.009979072958230972,0.8196672201156616,0.0003,-0.01860589161515236,41,0.00482306070625782,0.04894435,0.2,0.232744562625885,2.573126220703125
1,28160,122,20,-0.6348429698964234,253.33823529411765,-0.03879488696559118,0.00998220220208168,0.7814541459083557,0.0003,-0.011121513321995735,45,0.05246971776852241,0.07630882,0.2,0.31085970539313096,2.4617790442246656
1,30720,137,18,-0.7329660210991094,260.9142857142857,-0.019307331130322482,0.009984995238482952,0.848046600818634,0.0003,0.013794003054499626,48,0.049049081487788096,0.054261457,0.2,0.2682919171121385,2.50089783138699
1,33280,170,15,-0.6667409563779131,256.61333333333334,-0.031296565563284924,0.009973033331334591,0.8335123062133789,0.0003,-0.021147768944501877,53,0.016929067272160734,0.047273666,0.2,0.21923204511404037,2.4960818461009433
1,35840,209,12,-0.7360101511068763,278.075,-0.036150583221266665,0.009950904175639153,0.685559868812561,0.0003,-0.033549558371305466,58,0.015981082235359483,0.042088836,0.2,0.20352622287140953,2.477363520198398
