rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/learning_rate,train/value_loss,train/std,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/clip_range,train/loss,train/explained_variance,train/entropy_loss,train/clip_fraction
186.16666666666666,-0.37368594521377485,2560,123,1,20,,,,,,,,,,,
199.93333333333334,-0.5081145303605604,5120,152,1,16,0.0003,0.07628644866247972,0.009991597384214401,-0.036222407563279074,3,0.02928229,0.2,0.003232046961784363,0.5876792669296265,2.426765537261963,0.2743559579054515
214.95,-0.7645237079341102,7680,204,1,12,0.0003,0.058744255672482884,0.009962322190403938,-0.05514731685466626,12,0.044346098,0.2,-0.04868466407060623,0.5543835163116455,2.482523995287278,0.34486978106638966
209.23333333333332,-0.8176715530481681,10240,142,1,18,0.0003,0.07281397059559822,0.009959910064935684,-0.02561435364186764,14,0.04243357,0.2,0.01786213181912899,0.6933809518814087,2.542608451843262,0.21332745254039764
209.02777777777777,-0.7247984228328024,12800,147,1,17,0.0003,0.022829501511296257,0.009925786405801773,-0.04609301952586975,22,0.041375116,0.2,-0.04221249371767044,0.7251995801925659,2.5015509501099586,0.29745693085715175
223.35897435897436,-0.7226365103806356,15360,374,1,6,0.0003,0.024910288729837964,0.009911385364830494,-0.02566535764240793,26,0.04417583,0.2,-0.015286111272871494,0.6901837587356567,2.493204253060477,0.21560133674315043
225.04166666666666,-0.7126396521579932,17920,139,1,18,0.0003,0.019704603797031775,0.00990819837898016,-0.035286630578767325,35,0.05039184,0.2,-0.011109620332717896,0.72303307056427,2.6428016556633844,0.35464560323291355
220.44642857142858,-0.7354409070312948,20480,152,1,16,0.0003,0.015962111577391625,0.009898420423269272,-0.04862408442422748,43,0.045290068,0.2,-0.04124217480421066,0.652777373790741,2.503617827097575,0.29131925106048584
216.59701492537314,-0.7088995461900993,23040,130,1,19,0.0003,0.04042430346210798,0.009884390980005264,-0.025911358091980217,47,0.03410312,0.2,-0.00433882512152195,0.5170813798904419,2.498364305496216,0.23444707294305164
218.71830985915494,-0.6909062831412014,25600,171,1,14,0.0003,0.024405919285791534,0.00983296986669302,-0.05085837558632897,55,0.04522414,0.2,-0.05087924748659134,0.7460788488388062,2.5181311022850776,0.3272125817114307
222.6625,-0.709154358762504,28160,167,1,15,0.0003,0.033672267322738966,0.009818580001592636,-0.03207049872726202,59,0.038616873,0.2,-0.021200207993388176,0.8136935234069824,2.5407283624013264,0.3282986104488373
222.2674418604651,-0.6678330179327365,30720,156,1,16,0.0003,0.013220567307952378,0.009819535538554192,-0.0333005380946108,64,0.045886263,0.2,-0.030865851789712906,0.8548824787139893,2.5301959117253623,0.2689818996522162
230.48888888888888,-0.7778998552059291,33280,192,1,13,0.0003,0.03657899714178509,0.009818488731980324,-0.04519359839873181,69,0.043614745,0.2,-0.03913772106170654,0.8201082348823547,2.529979944229126,0.27549317065212464
226.35,-0.6704954746069786,35840,131,1,19,0.0003,0.008360346235955754,0.009812875650823116,-0.03390306397341192,73,0.034335446,0.2,-0.02336777374148369,0.9143250584602356,2.538366893927256,0.2431696392595768
224.73,-0.67451712692378,38400,164,1,15,0.0003,0.03299510618671775,0.00981189589947462,-0.03634586825501174,77,0.042558823,0.2,-0.01741994544863701,0.7725481390953064,2.5353288650512695,0.31163383089005947
226.35,-0.632253792740717,40960,82,1,30,0.0003,0.01629794171700875,0.009814471937716007,-0.03994394065294829,82,0.05856535,0.2,-0.03520391136407852,0.8400835990905762,2.5941660404205322,0.24755512012375724
233.58,-0.5555463283596743,43520,114,1,22,0.0003,0.021431124515154144,0.009817885234951973,-0.019451626322486183,85,0.052352186,0.2,-0.0016765985637903214,0.8017710447311401,2.5188994624397973,0.249036121097478
235.92,-0.5636732225441381,46080,68,1,37,0.0003,0.01182593498378992,0.009818262420594692,-0.014488843968138099,87,0.040980186,0.2,-0.0036092731170356274,0.6541767120361328,2.553706467151642,0.2398422067053616
241.98,-0.6851730603246565,48640,120,1,21,0.0003,0.14046743139624596,0.009817903861403465,-0.0013380794553086162,88,0.021323029,0.2,0.09778451919555664,0.7565300464630127,2.5453304052352905,0.22782102972269058
231.4,-0.7715619870214576,51200,62,1,41,0.0003,0.030846542594107716,0.009813908487558365,-0.03290599411014806,91,0.0345553,0.2,-0.03147314488887787,0.9290982484817505,2.548155351118608,0.19304214011539111
229.2,-0.7172567160818671,53760,105,1,24,0.0003,0.03850959297269583,0.009817507117986679,-0.024097494035959243,93,0.033550307,0.2,0.002355366013944149,0.8408868908882141,2.5419076681137085,0.20921519994735718
233.25,-0.7795265892339052,56320,121,1,21,0.0003,0.04443468642421067,0.009822947904467583,-0.022664010291919112,95,0.033545934,0.2,0.026962023228406906,0.8975367546081543,2.535594254732132,0.2586422748863697
236.08,-0.8126742825000136,58880,133,1,19,0.0003,0.05478716492652893,0.009826408699154854,-0.028543154802173377,98,0.04699722,0.2,-0.010786926373839378,0.8314347863197327,2.521290731430054,0.2517917811870575
241.18,-1.2655533462840574,61440,107,1,23,0.0003,0.18923584520816802,0.009829186834394932,-0.04258037864541014,102,0.035852905,0.2,0.01522848755121231,0.829321563243866,2.5356085300445557,0.2595534970362981
241.74,-1.2961980072804002,64000,55,1,46,0.0003,0.0943820372223854,0.009827951900660992,-0.017725831642746926,104,0.055751354,0.2,0.058099135756492615,0.726077675819397,2.563695526123047,0.25192307829856875
245.41,-1.3096989456659722,66560,78,1,32,0.0003,0.0661063864827156,0.00982512068003416,-0.04079129557837458,109,0.04543712,0.2,-0.027081497013568878,0.8796961307525635,2.5244737793417538,0.31848061961286206
240.92,-1.2507384747883739,69120,78,1,32,0.0003,0.04767250879244371,0.00982753187417984,-0.031825275075706566,113,0.042320684,0.2,-0.009011581540107727,0.8802249431610107,2.530457713387229,0.31306287917223846
244.99,-1.340229312739325,71680,56,1,45,0.0003,0.030994484201073647,0.009831760078668594,-0.031955114216543734,116,0.038922697,0.2,-0.027199290692806244,0.9030660390853882,2.5535271167755127,0.2954566602905591
247.41,-1.4792568354695297,74240,80,1,31,0.0003,0.050739164697006345,0.009833755902945995,-0.03821458722813986,120,0.053426646,0.2,-0.0274693313986063,0.8916853070259094,2.5345671325922012,0.2696940116584301
254.28,-1.5133138876994032,76800,170,1,14,0.0003,0.06442793570458889,0.009835312142968178,-0.020960426609963178,123,0.039563227,0.2,0.006429702043533325,0.8906339406967163,2.513582372665405,0.2912583589553833
251.39,-1.5642784952225197,79360,100,1,25,0.0003,0.0160790861894687,0.00983743742108345,-0.0344859262307485,128,0.052122563,0.2,-0.02681225724518299,0.49491190910339355,2.5796257654825845,0.25218364756761324
245.38,-1.527438271026507,81920,168,1,15,0.0003,0.04278592002533731,0.009837248362600803,-0.03984993099722834,134,0.04576229,0.2,-0.016310667619109154,0.8619210720062256,2.5122632412683394,0.3016581641776221
240.05,-1.409812861464824,84480,128,1,19,0.0003,0.03707953728735447,0.009836305864155293,-0.025134190218523145,137,0.045668386,0.2,0.013274157419800758,0.8211575150489807,2.521139144897461,0.28656167288621265
244.57,-1.3635004215043325,87040,96,1,26,0.0003,0.03608725394587964,0.009822835214436054,-0.03861922171199694,141,0.038850512,0.2,-0.019035235047340393,0.9059150218963623,2.5072798877954483,0.2598497746512294
250.99,-1.5426812974813426,89600,87,1,29,0.0003,0.09594712499529123,0.00981306191533804,-0.017962271871510893,143,0.0276732,0.2,0.03324637562036514,0.8112426996231079,2.5106825828552246,0.21331676095724106
243.89,-1.4625983651479046,92160,100,1,25,0.0003,0.05870324224233627,0.00980953685939312,-0.008903375174850226,145,0.050374065,0.2,0.03520967438817024,0.879868745803833,2.508610486984253,0.19180598855018616
242.18,-1.3705671794503342,94720,106,1,24,0.0003,0.038856015695879854,0.009805204346776009,-0.02996782979850347,149,0.048461005,0.2,-0.015213791280984879,0.9065209627151489,2.538403332233429,0.2768944924076398
242.66,-1.0270409866710946,97280,147,1,17,0.0003,0.041270889859232635,0.009806929156184196,-0.044246947069445416,154,0.048188023,0.2,-0.038770437240600586,0.8321245312690735,2.5104490651024713,0.3051522510747115
234.68,-1.1016232627122329,99840,102,1,24,0.0003,0.050854525063186884,0.00980811845511198,-0.041477532824501395,158,0.04550164,0.2,-0.03848274052143097,0.9024251699447632,2.4866690436999,0.3009588060279687
227.77,-1.0594505224111834,102400,121,1,21,0.0003,0.0568864356726408,0.009802022017538548,-0.028720602253451945,161,0.04167193,0.2,-0.006763773038983345,0.9201472401618958,2.5148774862289427,0.2734014719724655
224.49,-1.1882432456100651,104960,110,1,23,0.0003,0.14466079014043012,0.00979995634406805,-0.030678416214262445,164,0.0368854,0.2,0.016172509640455246,0.8048558831214905,2.528611878554026,0.27457927353680134
209.21,-0.9684470297469052,107520,131,1,19,0.0003,0.05447520518844778,0.00980109628289938,-0.033225060694596985,167,0.046429608,0.2,0.0033870190382003784,0.8612782955169678,2.525443185459484,0.2701033787293868
206.99,-0.9046922912315088,110080,136,1,18,0.0003,0.04556835480034351,0.009805000387132168,-0.020551500329747795,170,0.043530174,0.2,-0.011411383748054504,0.8825790882110596,2.5019485473632814,0.28725863695144654
212.02,-1.1555332668051257,112640,175,1,14,0.0003,0.06888416968286037,0.00980909913778305,-0.015018463891465217,172,0.03803415,0.2,0.03510786592960358,0.8732923865318298,2.4976325035095215,0.3332393132150173
