train/ent_coef,train/held_actor_updates,time/fps,train/critic_loss,time/total_timesteps,train/n_updates,train/actor_loss,time/episodes,train/actor_updates,train/learning_rate,train/ent_coef_loss,time/time_elapsed
0.742374449968338,0,51,467.57686614990234,7420,964,-16.050886154174805,40,964,0.0003,-0.7756075710058212,145
0.2640731781721115,0,47,44.670671463012695,17210,4880,-56.01277828216553,80,4880,0.0003,-2.1963393688201904,361
0.14264798909425735,0,46,34.42543077468872,23500,7396,-85.98588180541992,120,7396,0.0003,-1.7683787047863007,507
