time/fps,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/std,train/clip_range,train/loss,train/approx_kl,train/entropy_loss,train/explained_variance,train/clip_fraction,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/n_updates
126,2560,1,20,178.66666666666666,0.08138899555876454,,,,,,,,,,,
56,5120,1,45,182.0,0.016187009820514624,0.04997483640909195,0.2,0.022871727123856544,0.013553638,3.155376559495926,0.6823022365570068,0.18677710592746735,0.0003,0.04224642973858863,-0.00904454065457685,10
127,7680,1,20,225.15,-1.1978954341020447,0.04998914152383804,0.2,0.025712214410305023,0.009665201,3.1543986320495607,0.5825946927070618,0.14178519565612077,0.0003,0.05413221176713705,-0.00880143161630258,20
74,10240,1,34,214.12,-1.027694110466485,0.049885883927345276,0.2,0.03662823885679245,0.015403233,3.1557289600372314,0.8088729381561279,0.17233139909803868,0.0003,0.030137682054191827,-0.010076304379617795,30
159,12800,1,16,238.8,-1.1920699272566018,0.049881383776664734,0.2,0.01790660247206688,0.013238097,3.158935707807541,0.6285853981971741,0.17229158598929645,0.0003,0.04508565845899284,-0.014299627201398834,40
137,15360,1,18,222.075,-1.0053380207880322,0.04983247071504593,0.2,0.03939051181077957,0.014711352,3.158955979347229,0.8252753019332886,0.13510573785752059,0.0003,0.03378750076517463,-0.009204257908277214,50
163,17920,1,15,216.44,-0.8046430506132887,0.049855515360832214,0.2,0.029104599729180336,0.015647525,3.160332953929901,0.7364668250083923,0.19491039495915174,0.0003,0.02775518470443785,-0.010062466784438584,60
142,20480,1,18,210.81666666666666,-1.1056525327921507,0.050188470631837845,0.2,0.014151590876281261,0.018465009,3.1530547559261324,0.8831440806388855,0.17880303589627147,0.0003,0.019808926177211104,-0.016108114260714502,70
147,23040,1,17,207.92424242424244,-1.0683123198202007,0.050375744700431824,0.2,0.0361158661544323,0.019200543,3.1426796495914457,0.8192514777183533,0.14993116734549403,0.0003,0.05756882382556796,-0.011458988190861418,80
390,25600,1,6,214.94117647058823,-1.1133490078521155,0.05060822516679764,0.2,0.01276770606637001,0.01674174,3.134812903404236,0.7295103073120117,0.1673351563513279,0.0003,0.05536102163605392,-0.012747082661371678,90
165,28160,1,15,224.56338028169014,-1.2354702757986529,0.05060461163520813,0.2,0.02905859984457493,0.017556734,3.1291807532310485,0.6489967703819275,0.17489388306858017,0.0003,0.023663129284977914,-0.007906065072165801,100
