time,agent,lat,lon,cas_mps,tas_mps,goal_distance_km,heading_error_deg,heading_action,speed_action,nearest_nm,outside,commanded_heading_turn_deg,commanded_speed_action,traffic_projection_intervened,static_projection_intervened,static_projection_infeasible,nominal_static_violation,nominal_traffic_conflict,no_static_feasible_candidate,no_jointly_feasible_candidate,predicted_minimum_separation_km,predicted_risk_seconds
0.0,KL001,51.27214234360986,3.205936116974068,150.0,152.40357712476657,155.42719757846976,-0.017109120890722807,0.7180407047271729,0.8834072351455688,11.60416596943908,False,32.31183171272278,0.8834072351455688,False,False,False,False,False,False,False,21.021647838086615,0.0
0.0,KL002,51.431633634560896,3.3807282933529064,150.0,152.40357712476657,131.91465751057692,-0.11300187350892088,-0.4773600697517395,0.9499244689941406,11.126330986403463,False,-21.481203138828278,0.9499244689941406,False,False,False,False,False,False,False,20.33650911217258,0.0
0.0,KL003,52.52759378863491,5.086896908781006,150.0,152.40357712476657,109.42919210681431,0.053315299950327244,-0.0717473030090332,-0.9297736287117004,21.214928806734353,False,-3.228628635406494,-0.9297736287117004,False,False,False,False,False,False,False,29.603146895836954,0.0
0.0,KL004,52.18910907750116,4.9208793998171085,150.0,152.40357712476657,165.26576366930325,-0.16060768453738206,-0.9355056285858154,0.26925718784332275,21.214928806734353,False,-42.097753286361694,0.26925718784332275,False,False,False,False,False,False,False,32.60106679519244,0.0
0.0,KL005,51.5217012445903,4.08893826343582,150.0,152.40357712476657,133.73631274881072,-0.02813244655789049,-0.5856189131736755,0.7469648122787476,17.281172361004177,False,-26.3528510928154,0.7469648122787476,False,False,False,False,False,False,False,29.023902883375673,0.0
0.0,KL006,51.39697881433459,3.6726142491896456,150.0,152.40357712476657,136.75315668657544,-0.13892069479697966,-0.2297583818435669,0.9742038249969482,11.126330986403463,False,-10.33912718296051,0.9742038249969482,False,False,False,False,False,False,False,20.33650911217258,0.0
0.0,KL007,52.25067461563059,5.567694326595031,150.0,152.40357712476657,137.95418527429493,-0.15172528007229857,0.8545042276382446,-0.3482249975204468,24.07706770405588,False,38.45269024372101,-0.3482249975204468,False,False,False,False,False,False,False,31.29166847827526,0.0
0.0,KL008,51.8360921504824,4.4213820704280575,150.0,152.40357712476657,143.9720100060159,0.007664337392981224,0.86818528175354,0.8870320320129395,22.571892334257114,False,39.0683376789093,0.8870320320129395,False,False,False,False,False,False,False,27.014014089619355,0.0
0.0,KL009,52.50401741353409,3.8009131049054323,150.0,152.40357712476657,113.58394619466581,-0.0005019186070569503,-0.24314755201339722,0.1608372926712036,15.74310455761983,False,-10.941639840602875,0.1608372926712036,False,False,False,False,False,False,False,23.696478259285463,0.0
0.0,KL0010,52.584698995480984,4.211154017037534,150.0,152.40357712476657,160.86290983396356,-0.03519314130278417,0.0035189390182495117,-0.8406062126159668,15.74310455761983,False,0.15835225582122803,-0.8406062126159668,False,False,False,False,False,False,False,23.87101555829454,0.0
10.0,KL001,51.28480190981393,3.2151256410627624,153.02928075518142,155.4755882213019,153.90268375929756,16.962143878796894,0.29433631896972656,0.5583269596099854,11.616260152614828,False,13.245134353637695,0.5583269596099854,False,False,False,False,False,False,False,21.390907419693754,0.0
10.0,KL002,51.44237016884191,3.3949359257204645,153.25741003418165,155.70692254402172,130.38558361051696,-17.093428826687784,-0.05789065361022949,0.6951010227203369,11.182644750578815,False,-2.605079412460327,0.6951010227203369,False,False,False,False,False,False,False,20.444205175722544,0.0
10.0,KL003,52.51551761727047,5.077174062970129,146.8107473130068,149.16899634489116,107.93640446726252,-3.2175523842058453,-0.10616046190261841,-0.9189090132713318,21.15769585629823,False,-4.777220785617828,-0.9189090132713318,False,False,False,False,False,False,False,27.187289898653592,0.0
10.0,KL004,52.17908234896807,4.905558376606993,150.92297537561907,153.33960541337368,163.76260757104416,-17.33705321563187,-0.9499315023422241,0.5109744071960449,21.15769585629823,False,-42.746917605400085,0.5109744071960449,False,False,False,False,False,False,False,30.33829440454045,0.0
10.0,KL005,51.533144163820424,4.101536858329521,152.5613341832528,155.00106168274016,132.21240520002752,-17.06356278446708,0.8672301769256592,0.39885830879211426,17.21509592281945,False,39.02535796165466,0.39885830879211426,False,False,False,False,False,False,False,31.476508738731837,0.0
10.0,KL006,51.40698805960169,3.6881959171907317,153.340679160978,155.79136108709434,135.21402937100677,-10.567015564344217,0.48472344875335693,0.9446240663528442,11.182644750578815,False,21.812555193901062,0.9446240663528442,False,False,False,False,False,False,False,20.444205175722544,0.0
10.0,KL007,52.25663067017503,5.547817218335121,148.8052420065038,151.19187908367525,136.4647704114567,17.278062455609643,-0.4296283721923828,-0.17497026920318604,23.21755565521778,False,-19.333276748657227,-0.17497026920318604,False,False,False,False,False,False,False,27.176498877823043,0.0
10.0,KL008,51.84978414633513,4.4252997759724995,153.0417124551791,155.4881946239946,142.44661415363652,16.99358886470162,-0.7587730884552002,0.7894649505615234,22.508453488665303,False,-34.14478898048401,0.7894649505615234,False,False,False,False,False,False,False,37.15231834873611,0.0
10.0,KL009,52.49028937989893,3.8015316940170107,150.5511356119398,152.96251054694048,112.07212880248265,-11.051690333775014,0.24765515327453613,0.12269949913024902,15.431827083380771,False,11.144481897354126,0.12269949913024902,False,False,False,False,False,False,False,25.533499059185164,0.0
10.0,KL0010,52.57247172754181,4.201860751125482,147.1165582610467,149.47916876090736,159.36520046122416,0.12438848573376049,-0.10753118991851807,-0.7646543383598328,15.431827083380771,False,-4.838903546333313,-0.7646543383598328,False,False,False,False,False,False,False,26.457842074612735,0.0
20.0,KL001,51.29551054160649,3.2298221870968886,154.94364791049125,157.41679440830563,152.49176463192893,30.45842473520662,-0.49943453073501587,0.8007551431655884,11.62164192332249,False,-22.474553883075714,0.8007551431655884,False,False,False,False,False,False,False,21.395361349484606,0.0
20.0,KL002,51.45473780351566,3.406140809702478,155.64086043932332,158.12374981604918,128.89366197338313,-19.932039085054043,-0.07080578804016113,0.6977218389511108,11.455460929868222,False,-3.186260461807251,0.6977218389511108,False,False,False,False,False,False,False,20.949045896314477,0.0
20.0,KL003,52.50328558882202,5.069217333793984,143.65876632685595,145.97187753383076,106.48745659049403,-8.099378119109815,-0.2686154842376709,-0.9001888632774353,21.19417039368792,False,-12.08769679069519,-0.9001888632774353,False,False,False,False,False,False,False,22.960205848511084,0.0
20.0,KL004,52.166610481152084,4.895577420055851,152.67494764203926,155.1162734020329,162.39219067363305,-34.48352444716622,-0.9444733262062073,0.5882055759429932,21.19417039368792,False,-42.50129967927933,0.5882055759429932,False,False,False,False,False,False,False,36.34249264508209,0.0
20.0,KL005,51.544474485778245,4.114788667797897,153.92878488696945,156.38771917189754,130.6671421746581,-0.39764680389401974,-0.7265682220458984,0.4427274465560913,17.127226327027273,False,-32.69556999206543,0.4427274465560913,False,False,False,False,False,False,False,28.09234593799632,0.0
20.0,KL006,51.416005539172474,3.7058261408731177,156.5799001861261,159.07588471050846,133.6327350624505,5.9294396973701,-0.4280847907066345,0.9252607822418213,11.455460929868222,False,-19.263815581798553,0.9252607822418213,False,False,False,False,False,False,False,20.949045896314477,0.0
20.0,KL007,52.2621845472081,5.527730691154191,148.2046868427743,150.58279038252564,134.97563830026058,-0.03652256557199962,0.8108365535736084,-0.6280935406684875,22.178952944026275,False,36.48764491081238,-0.6280935406684875,False,False,False,False,False,False,False,25.105005136308435,0.0
20.0,KL008,51.863788654297736,4.428667816034526,155.74879658846496,158.2331927421848,140.88723687335468,0.49406078735273695,0.8820847272872925,0.8533724546432495,22.44893116303264,False,39.69381272792816,0.8533724546432495,False,False,False,False,False,False,False,29.258903237467464,0.0
20.0,KL009,52.47654476585163,3.800148332568203,150.9714710802663,153.38878614168655,110.54316651847802,0.05071694062547749,-0.10728389024734497,0.07280516624450684,15.248132044373463,False,-4.827775061130524,0.07280516624450684,False,False,False,False,False,False,False,25.282817040500813,0.0
20.0,KL0010,52.56007855916488,4.194281632074879,144.49361225046852,146.81871143424652,157.8998098173609,-4.7548078813094605,-0.6145128011703491,-0.8399976491928101,15.248132044373463,False,-27.65307605266571,-0.8399976491928101,False,False,False,False,False,False,False,28.33861630343849,0.0
30.0,KL001,51.307077568849564,3.2433636911798764,157.68944715068258,160.20086445961078,151.01127648160093,14.293065639587326,-0.20492225885391235,0.524545431137085,11.618795629250839,False,-9.221501648426056,0.524545431137085,False,False,False,False,False,False,False,21.413174053891975,0.0
30.0,KL002,51.46766235760654,3.416404048378521,158.03329169814782,160.54948272211098,127.41268700562806,-23.3972496669069,0.8303180932998657,0.2461491823196411,11.618795629250839,False,37.36431419849396,0.2461491823196411,False,False,False,False,False,False,False,18.60353471869296,0.0
30.0,KL003,52.49074457012146,5.064643766534732,140.57099847399394,142.83956862474903,105.12259196634083,-20.413571334678352,-0.5897121429443359,-0.04946243762969971,21.049224557268737,False,-26.537046432495117,-0.04946243762969971,False,False,False,False,False,False,False,16.759909813936126,0.0
30.0,KL004,52.152723673019565,4.891847185051842,154.6917884217096,157.161411227766,161.27782302398379,-51.55500650676157,-0.9178524017333984,0.690575122833252,21.26256902618159,False,-41.30335807800293,0.690575122833252,False,False,False,False,False,False,False,35.103251710288035,0.0
30.0,KL005,51.556143353677115,4.127655706339675,155.44668601369423,157.9268637046204,129.11343658336517,-17.10872377620325,0.8027799129486084,0.00011730194091796875,17.026191350353532,False,36.12509608268738,0.00011730194091796875,False,False,False,False,False,False,False,31.10296701090085,0.0
30.0,KL006,51.42550472728843,3.7234172056081825,159.7527020910767,162.29270124339578,132.02045752831768,-10.29224077073087,0.23152971267700195,0.926746129989624,11.763920896129523,False,10.418837070465088,0.926746129989624,False,False,False,False,False,False,False,20.7270490921727,0.0
30.0,KL007,52.26805241312784,5.508219238357347,146.05008993072752,148.3974767177633,133.51406003934008,17.71007999633042,-0.06524413824081421,-0.14833128452301025,21.049224557268737,False,-2.9359862208366394,-0.14833128452301025,False,False,False,False,False,False,False,16.637283863415792,0.0
30.0,KL008,51.87798951247978,4.432720779209892,158.67505100684917,161.20014057385393,139.3060162405439,16.88820553286547,-0.9115958213806152,0.7203476428985596,22.409376612137105,False,-41.021811962127686,0.7203476428985596,False,False,False,False,False,False,False,39.684644157697406,0.0
30.0,KL009,52.46273997595494,3.7992650017681058,151.22068627942983,153.64152033556942,109.0115575365375,-4.838588424875979,-0.3693608045578003,0.288377046585083,15.177475724624571,False,-16.621236205101013,0.288377046585083,False,False,False,False,False,False,False,25.114801205801875,0.0
30.0,KL0010,52.54736330852681,4.190600258394987,141.61227513986069,143.89590113355098,156.51415385351436,-23.065200927821365,-0.8472604751586914,0.02713477611541748,15.177475724624571,False,-38.12672138214111,0.02713477611541748,False,False,False,False,False,False,False,28.37553002605012,0.0
40.0,KL001,51.32058324793853,3.252009688106281,159.48794147888634,162.0242814349085,149.40754577825027,5.14874088031965,0.2254657745361328,0.19360268115997314,11.634815355588707,False,10.145959854125977,0.19360268115997314,False,False,False,False,False,False,False,21.42105589945354,0.0
40.0,KL002,51.479499033297756,3.429759724621022,158.8769897357872,161.40487632787514,125.85165996564228,-7.345686293549306,-0.810868501663208,0.7535183429718018,11.634815355588707,False,-36.48908257484436,0.7535183429718018,False,False,False,False,False,False,False,20.681252687221605,0.0
40.0,KL003,52.477970537575196,5.065016081542203,140.40091446035763,142.66702195439711,103.90502197291907,-39.180052619072285,-0.4631626605987549,-0.09034985303878784,19.768786977496607,False,-20.84231972694397,-0.09034985303878784,False,False,False,False,False,False,False,12.392297615367694,0.0
40.0,KL004,52.138552470106646,4.894763876813343,157.0597121256992,159.5623757394884,160.5223867266063,-68.49438373867102,-0.9208827614784241,0.839958667755127,21.315653465997414,False,-41.43972426652908,0.839958667755127,False,False,False,False,False,False,False,36.272734148513024,0.0
40.0,KL005,51.56757943590099,4.141070139532917,155.4465947661128,157.92677118243597,127.55300604066483,-0.6154367363531321,-0.8263270854949951,0.34153497219085693,16.919669023109137,False,-37.18471884727478,0.34153497219085693,False,False,False,False,False,False,False,26.71946391460661,0.0
40.0,KL006,51.43515431075457,3.741466633654161,162.93058811049985,165.51431213974496,130.37314348216557,0.09198141169926544,-0.5852501392364502,0.9059939384460449,11.961366833529542,False,-26.33625626564026,0.9059939384460449,False,False,False,False,False,False,False,21.886505745821562,0.0
40.0,KL007,52.274961810497295,5.489649236375683,145.540905286949,147.8810099291078,132.08048015509766,14.938300140730973,0.33758556842803955,-0.31245625019073486,19.768786977496607,False,15.19135057926178,-0.31245625019073486,False,False,False,False,False,False,False,13.840631364525887,0.0
40.0,KL008,51.89248452459777,4.4362141546548655,161.14507069257047,163.70427221021208,137.69278780767436,0.9543677888538298,0.8641706705093384,0.6927669048309326,22.383105137482705,False,38.88768017292023,0.6927669048309326,False,False,False,False,False,False,False,34.510680512020045,0.0
40.0,KL009,52.449000529486334,3.802236463056685,152.2092317567249,154.64400319550387,107.51832840789453,-21.66241232338055,0.07474970817565918,0.5521156787872314,15.20346578771946,False,-10.000000000000004,0.5521156787872314,True,True,False,True,False,False,False,26.533089677748876,0.0
40.0,KL0010,52.5346006463087,4.19363566289849,141.70488766698196,143.98985100675046,155.31976597851724,-41.554313830661755,-0.9048591256141663,0.6043963432312012,15.20346578771946,False,-40.71866065263748,0.6043963432312012,False,False,False,False,False,False,False,28.415805761990626,0.0
50.0,KL001,51.33359301883661,3.262651624651506,160.15142001633612,162.69692503515762,147.82366055687802,15.430047323965823,-0.44683414697647095,0.4677325487136841,11.647242755925042,False,-20.107536613941193,0.4677325487136841,False,False,False,False,False,False,False,21.46327584413822,0.0
50.0,KL002,51.491729616797414,3.442801286857776,161.4607718978673,164.02431763736962,124.28012099486448,-23.552034049150393,0.576515793800354,0.4810298681259155,11.647242755925042,False,25.94321072101593,0.4810298681259155,False,False,False,False,False,False,False,19.270942413995723,0.0
50.0,KL003,52.46594704613468,5.071968552543901,140.09060241652656,142.35221442363283,102.99208306718043,-58.189033130310094,0.5458238124847412,0.3190807104110718,18.340788486787325,False,24.562071561813354,0.3190807104110718,False,False,False,False,False,False,False,17.266101236005042,0.0
50.0,KL004,52.12522152953911,4.904203316373999,159.9399581006616,162.48254376483072,160.19830063989582,-85.22156614281093,0.5198160409927368,0.749962329864502,21.36472796891668,False,23.391721844673157,0.749962329864502,False,False,False,False,False,False,False,30.040694927926268,0.0
50.0,KL005,51.57932965779716,4.154066106316761,156.61743866518165,159.1139460268152,125.98790717606026,-17.204715880304605,0.7401778697967529,0.0589604377746582,16.832102602314077,False,33.30800414085388,0.0589604377746582,False,False,False,False,False,False,False,30.810885391842355,0.0
50.0,KL006,51.445908940163136,3.757882248932313,162.99999999999994,165.5846750214427,128.73872846467927,-15.840356981540396,0.6660860776901245,0.10889816284179688,12.101402119364645,False,29.973873496055603,0.10889816284179688,False,False,False,False,False,False,False,22.148593871779592,0.0
50.0,KL007,52.28353362387265,5.473331457291775,144.46883490093214,146.79357863122667,130.7415823256286,30.39356312073113,-0.6142451763153076,0.25113415718078613,18.340788486787325,False,-27.641032934188843,0.25113415718078613,False,False,False,False,False,False,False,14.221651424762426,0.0
50.0,KL008,51.907094399045945,4.440383400630929,162.99999999999994,165.5846750214427,136.0669983311579,16.903436445816226,-0.9351142048835754,0.2467571496963501,21.569724766722896,False,-42.080139219760895,0.2467571496963501,False,False,False,False,False,False,False,36.06765308529727,0.0
50.0,KL009,52.43600489541963,3.8110073956749706,154.10229914137932,156.56366588736842,106.15787486086104,-32.0780685639788,0.5316662788391113,0.6731219291687012,15.2591209455024,False,-10.000000000000004,0.6731219291687012,True,True,False,True,False,False,False,28.230676922819857,0.0
50.0,KL0010,52.5228781029379,4.203159439145764,143.77729156427716,146.09210615971003,154.42523245064152,-59.929182018219905,-0.9695398807525635,0.8326969146728516,15.2591209455024,False,-43.629294633865356,0.8326969146728516,False,False,False,False,False,False,False,28.51192871817664,0.0
60.0,KL001,51.34733946072225,3.2710975869309955,161.75505955110776,164.32265162675708,146.19819801210528,-0.448548684707049,0.5980908870697021,-0.10598009824752808,11.683552292428727,False,26.914089918136597,-0.10598009824752808,False,False,False,False,False,False,False,21.527432516742692,0.0
60.0,KL002,51.50386710640661,3.45651309151251,162.99999999999994,165.5846750214427,122.68180676049064,-7.918020073794821,-0.8206782937049866,0.6898674964904785,11.683552292428727,False,-36.930523216724396,0.6898674964904785,False,False,False,False,False,False,False,21.088283988324882,0.0
