rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/clip_range,train/learning_rate,train/std,train/clip_fraction,train/entropy_loss,train/approx_kl,train/loss,train/policy_gradient_loss,train/n_updates,train/value_loss,train/explained_variance
193.0,2560,1,10,-0.7727007980937178,252,,,,,,,,,,,
175.89473684210526,5120,1,7,-0.9960823465854487,347,0.2,0.0003,0.050260089337825775,0.18377586528658868,3.1477737545967104,0.01302174,0.014920901507139206,-0.006582475895993411,10,0.03981228808406741,0.4905329942703247
177.04,7680,1,7,-0.7755366517190023,351,0.2,0.0003,0.05046211555600166,0.21772516956552862,3.138851356506348,0.028509133,0.01675983890891075,-0.008541265733219916,20,0.03300589183345437,0.7056581974029541
183.37142857142857,10240,1,9,-0.8504032903884854,257,0.2,0.0003,0.05045364797115326,0.1836017284076661,3.135493165254593,0.017702438,0.025310639292001724,-0.013365961096133106,30,0.02551019375678152,0.681715726852417
188.13636363636363,12800,1,8,-0.7760746688091782,318,0.2,0.0003,0.050555020570755005,0.19991378024930045,3.133403715633211,0.04744062,0.04912571236491203,-0.01141881043579252,39,0.019847163952709662,0.8009883165359497
190.76470588235293,15360,1,8,-0.6854143197489825,304,0.2,0.0003,0.050730135291814804,0.16971344497287646,3.127677911520004,0.023535628,0.011128346435725689,-0.0168871536036022,49,0.021013119583949448,0.8323092460632324
202.03333333333333,17920,1,8,-0.706403835478476,312,0.2,0.0003,0.05073550343513489,0.27586615830659866,3.1244927644729614,0.023049003,0.08153529465198517,0.008294467814266682,50,0.04216012079268694,0.7281491756439209
201.37142857142857,20480,1,7,-0.6291892891830034,327,0.2,0.0003,0.050810299813747406,0.16515142644445102,3.1225493987401327,0.01253248,0.006493863649666309,-0.013697560991568025,60,0.008722573999936383,0.8608819246292114
201.52564102564102,23040,1,8,-0.7167148931523766,313,0.2,0.0003,0.05077742785215378,0.18111200705170633,3.1214488804340363,0.018858654,0.01653866656124592,-0.012206508312374353,70,0.015069813490845263,0.8228362798690796
201.5681818181818,25600,1,9,-0.6824665825009848,266,0.2,0.0003,0.05072905123233795,0.17211204580962658,3.1234737277030944,0.015341418,0.022302325814962387,-0.01308627805847209,80,0.030301478412002324,0.6660342216491699
200.28865979381445,28160,1,8,-0.7769535833147972,301,0.2,0.0003,0.050642989575862885,0.18632771000266074,3.12552188038826,0.021374546,0.004747721832245588,-0.019158688440802506,90,0.01592610189691186,0.8659243583679199
202.37,30720,1,7,-0.846132821155339,328,0.2,0.0003,0.0509662926197052,0.16077944030985236,3.1231260895729065,0.014799107,0.011371989734470844,-0.01531110972064198,100,0.02703149968292564,0.892855703830719
204.21,33280,1,8,-0.8157017978556871,297,0.2,0.0003,0.0509982705116272,0.21034007388002732,3.1143006016226376,0.044213444,0.08869599550962448,0.0003168990506845362,104,0.051614590646589506,0.6982393860816956
202.95,35840,1,7,-0.703988693844689,359,0.2,0.0003,0.05101217329502106,0.17975658513605594,3.1143942534923554,0.021654973,0.016019823029637337,-0.018705645739100874,114,0.029539763834327458,0.7168583869934082
198.27,38400,1,7,-0.7358958069818958,321,0.2,0.0003,0.050978854298591614,0.18310183696448804,3.1139418184757233,0.015398735,-0.00461389496922493,-0.013441179771325551,124,0.013805179472547025,0.8609678745269775
199.35,40960,1,7,-0.7595598701221273,345,0.2,0.0003,0.05102284625172615,0.23674975300119036,3.1148782400857833,0.049484506,0.04095776379108429,-0.0041217618023178405,133,0.02014990924813208,0.8721168041229248
193.92,43520,1,8,-0.7185153040237476,314,0.2,0.0003,0.05129837989807129,0.2003105241805315,3.108459883928299,0.01657838,0.01767696999013424,-0.008919336530379952,143,0.02257179650478065,0.8155466914176941
193.29,46080,1,8,-0.7666108944105343,289,0.2,0.0003,0.05122103542089462,0.16924652494490147,3.102738785743713,0.014375938,0.009957258589565754,-0.01122930830460973,153,0.012188338954001666,0.8916325569152832
193.1,48640,1,9,-0.7666042203168036,261,0.2,0.0003,0.05138841271400452,0.17788632102310659,3.103343653678894,0.01782587,0.022583261132240295,-0.014980735568678938,163,0.03074743882752955,0.8001333475112915
