time/iterations,time/total_timesteps,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/entropy_loss,train/approx_kl,train/learning_rate,train/std,train/loss
1,2560,182.33333333333334,155,-1.2129793010996577,16,,,,,,,,,,,
1,5120,176.05263157894737,202,-0.5680279797990945,12,6,0.3380908057803199,0.2,-0.04683653021319991,-0.10281193256378174,0.05235068482302484,2.430610350200108,0.049450103,0.0003,0.010014420375227928,-0.030782680958509445
1,7680,182.1904761904762,188,-0.5221520552519205,13,16,0.28277640864253045,0.2,-0.05051305587403476,0.5946395993232727,0.01437855875119567,2.4603455424308778,0.03959486,0.0003,0.010037336498498917,-0.058272577822208405
1,10240,182.6153846153846,233,-0.5669683577645789,10,18,0.28670608401298525,0.2,-0.015490826219320297,0.45185232162475586,0.02691788226366043,2.482780408859253,0.047452033,0.0003,0.010036514140665531,0.02034771256148815
1,12800,226.06666666666666,223,-0.6143494033649333,11,21,0.2000660626217723,0.2,-0.03204619255848229,0.44395625591278076,0.05147864716127515,2.5221866965293884,0.04286219,0.0003,0.010037284344434738,-0.020519010722637177
1,15360,215.075,220,-0.5082759080743675,11,25,0.2539323925351103,0.2,-0.035787345259450376,0.7904160022735596,0.024727794031302135,2.493371605873108,0.043568477,0.0003,0.01004086248576641,-0.029446694999933243
1,17920,210.36,180,-0.5078405623252443,14,32,0.3209850505778664,0.2,-0.04867056781720174,0.7966739535331726,0.01620251146194182,2.4989123846355237,0.055258542,0.0003,0.0100362254306674,-0.05712638795375824
1,20480,203.4,147,-0.4737594692232546,17,35,0.22498003393411636,0.2,-0.03801351118211945,0.5863320231437683,0.022689055340985458,2.491924782594045,0.03869105,0.0003,0.010030832141637802,-0.024228308349847794
1,23040,202.22857142857143,152,-0.6904601451449904,16,38,0.3080822176166943,0.2,-0.031913312817258496,0.8261755704879761,0.03334514464118651,2.4893174852643694,0.035207797,0.0003,0.010026639327406883,-0.018938086926937103
1,25600,200.65,162,-0.6433039175747203,15,43,0.28438683768565004,0.2,-0.039805814708498394,0.751848042011261,0.05631915259767662,2.485135793685913,0.04569098,0.0003,0.010027715936303139,-0.028686698526144028
1,28160,198.64444444444445,165,-0.6332929694166661,15,53,0.2848825931549072,0.2,-0.04449569160739581,0.8242876529693604,0.020148350639889637,2.498439876238505,0.038973868,0.0003,0.009997440502047539,-0.04137487709522247
1,30720,198.83838383838383,178,-0.6216452205265155,14,55,0.22135279774665834,0.2,-0.013942940346896648,0.8429672122001648,0.04150838628411293,2.519363212585449,0.058318626,0.0003,0.009993546642363071,0.024056319147348404
1,33280,199.13,175,-0.5127743016087778,14,59,0.2804859211811653,0.2,-0.03525460912631108,0.7588286995887756,0.033846918206948504,2.5312069195967455,0.059230346,0.0003,0.009986571036279202,-0.03269530460238457
1,35840,200.44,151,-0.5798276902288237,16,62,0.3101293510860867,0.2,-0.012578609502977796,0.7955745458602905,0.036721946878565684,2.5204257435268826,0.051581882,0.0003,0.009984799660742283,0.017415128648281097
1,38400,203.61,196,-0.7647477983471583,13,69,0.3085845230078256,0.2,-0.04784497730778875,0.6922951340675354,0.07266731353269683,2.503321983196117,0.041926503,0.0003,0.009964742697775364,-0.04737839102745056
1,40960,192.32,186,-0.6811859736600593,13,71,0.26328125,0.2,-0.024567131884396076,0.689792275428772,0.02894515171647072,2.516600513458252,0.053438053,0.0003,0.009960539638996124,0.002654874697327614
1,43520,196.25,226,-0.7578292941669589,11,76,0.26248060746325386,0.2,-0.04223689962074988,0.8205248117446899,0.030789115466177464,2.5029106405046253,0.042341687,0.0003,0.009954489767551422,-0.03717491403222084
1,46080,198.89,229,-0.868777253614786,11,81,0.26447336146464717,0.2,-0.036238728735882506,0.8493385314941406,0.04321817924770025,2.5327562185434194,0.047081385,0.0003,0.009952494874596596,-0.0189344584941864
1,48640,201.43,262,-0.8700468923563278,9,84,0.2781575520833333,0.2,-0.027349576586857438,0.8701341152191162,0.05870041654755672,2.494745751221975,0.040130604,0.0003,0.009958366863429546,0.016857778653502464
1,51200,203.04,179,-0.8717783498107194,14,86,0.23338979855179787,0.2,-0.019418875803239644,0.868996798992157,0.04102586954832077,2.5298485159873962,0.04759776,0.0003,0.009960032999515533,0.038857318460941315
1,53760,200.7,179,-0.6654021743555992,14,90,0.2581999514784132,0.2,-0.03222957158452898,0.7590903043746948,0.03202468316469874,2.505516154425485,0.045189418,0.0003,0.009977642446756363,-0.017755886539816856
1,56320,199.06,238,-0.7406635825353224,10,94,0.24831982568970748,0.2,-0.03705443747873817,0.8747672438621521,0.01965499503005828,2.478400877543858,0.04437653,0.0003,0.009991038590669632,-0.027023950591683388
1,58880,197.94,167,-0.878731744506696,15,99,0.27544146604262865,0.2,-0.03192197818022508,0.8006367683410645,0.05085654356158697,2.490189258868878,0.050265733,0.0003,0.009996838867664337,-0.011098816990852356
1,61440,193.3,131,-0.9049376991618803,19,103,0.22638571491608253,0.2,-0.03654800387672507,0.8794087171554565,0.05996823626068922,2.4852059804476223,0.047036227,0.0003,0.00999174639582634,-0.020762428641319275
1,64000,194.44,167,-0.9059206653431373,15,107,0.2857568844368583,0.2,-0.032591754717654305,0.8767940402030945,0.036107137113025316,2.476064543975027,0.0396387,0.0003,0.009981916286051273,-0.028015844523906708
1,66560,193.23,136,-0.7346333877823196,18,108,0.23518650233745575,0.2,-0.012982708401978016,0.6618963479995728,0.019607975147664547,2.4820674061775208,0.01813888,0.0003,0.009981043636798859,0.011138740926980972
1,69120,193.98,186,-0.7089870103778035,13,112,0.3155548870563507,0.2,-0.034139069370352305,0.47735852003097534,0.026327245223980684,2.4948285543001614,0.053853005,0.0003,0.009978138841688633,-0.018635043874382973
1,71680,194.15,270,-0.7472740371644712,9,121,0.3062710192273645,0.2,-0.04575083769090912,0.8448135256767273,0.021092467557858017,2.490280698327457,0.039913703,0.0003,0.009969117119908333,-0.04878026247024536
