time/fps,time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,train/clip_range,train/loss,train/clip_fraction,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/std,train/entropy_loss,train/approx_kl,train/n_updates
182,28,5120,1,0.37373345883535525,176.6,,,,,,,,,,,
182,28,10240,1,0.3608739114034581,173.66666666666666,0.2,0.0389973446726799,0.17952474027872087,0.024526521749794482,-0.006253769156173803,0.5018575191497803,0.0003,0.05017538368701935,3.1482039213180544,0.012976873,10
304,16,15360,1,0.361470356145813,184.5142857142857,0.2,0.02358572743833065,0.12154974155128002,0.01956003501545638,-0.010218387312488631,0.5301082134246826,0.0003,0.050112035125494,3.1471429586410524,0.0113014635,20
153,33,20480,1,0.011591318477050342,229.66666666666666,0.2,0.0394001379609108,0.1162162059918046,0.04457679009065032,-0.006541330658365041,0.5096137523651123,0.0003,0.050039101392030716,3.1507275104522705,0.015543919,30
305,16,25600,1,0.06842429322473119,235.1851851851852,0.2,0.069281667470932,0.12432254537940025,0.010372911021113396,-0.00534757188108415,0.5782977938652039,0.0003,0.05002661794424057,3.1524248790740965,0.010930611,40
241,21,30720,1,0.0459070283190096,269.73333333333335,0.2,-0.001094619045034051,0.12432321968177955,0.005798298950927953,-0.011899992792556683,0.8002727627754211,0.0003,0.05003591626882553,3.152719322840373,0.01542822,50
240,21,35840,1,0.12476227889526888,248.2405063291139,0.2,0.014743304811418056,0.1298508902740044,0.004814606439322233,-0.010113012313377112,0.6989426612854004,0.0003,0.050041571259498596,3.151647122701009,0.012128867,60
199,25,40960,1,0.16883145851548556,239.875,0.2,0.015215836465358734,0.1670652704623838,0.005489675506638984,-0.014695710448237757,0.7535356879234314,0.0003,0.050118960440158844,3.1509915510813395,0.013134834,70
169,30,46080,1,0.17693385876928364,246.4,0.2,0.01955343782901764,0.160498046875,0.004649023967795074,-0.010210780118359252,0.7212045192718506,0.0003,0.05006580427289009,3.1488555133342744,0.014398949,80
142,35,51200,1,0.1769207350312437,247.89,0.2,0.012399526312947273,0.12489162298540274,0.0031937512879570327,-0.01187026253513371,0.6778727769851685,0.0003,0.04975925385951996,3.1569559733072916,0.011272371,90
150,33,56320,1,0.17731973585475708,249.4,0.2,0.004129934124648571,0.14619932599986593,0.0030903057078830896,-0.013125297262255723,0.8291976451873779,0.0003,0.049784790724515915,3.1636390606562297,0.012210966,100
464,11,61440,1,0.32736506773859714,244.46,0.2,0.018827524036169052,0.1527587882243097,0.0037799755926243963,-0.009844608335697558,0.8243489861488342,0.0003,0.04963087663054466,3.164205622673035,0.014065118,110
184,27,66560,1,0.3333468619907356,238.73,0.2,0.0019795061089098454,0.1236519446130842,0.0024060550262220205,-0.011747099991771393,0.9346619248390198,0.0003,0.04980034753680229,3.166372275352478,0.013498075,120
483,10,71680,1,0.35198133456579783,228.46,0.2,0.018005602061748505,0.14630662333220243,0.0029713155119679866,-0.010356868451344781,0.81622713804245,0.0003,0.04986019432544708,3.1587357461452483,0.01407271,130
180,28,76800,1,0.3562604860215224,231.24,0.2,0.011378536000847816,0.1385917971841991,0.001178043443360366,-0.011946660836110823,0.9684120416641235,0.0003,0.04986175149679184,3.1590517163276672,0.018860236,140
308,16,81920,1,0.35577780470073495,233.42,0.2,0.017590727657079697,0.14432004699483514,0.0026159525325056164,-0.011516181752085686,0.8703525066375732,0.0003,0.04987160488963127,3.158999502658844,0.015538292,150
171,29,87040,1,0.3435186986391319,242.23,0.2,0.018270162865519524,0.17409349608933553,0.0019009838812053203,-0.015118949342286215,0.9496883153915405,0.0003,0.049813300371170044,3.159936487674713,0.017534416,160
190,26,92160,1,0.3434106202362342,242.29,0.2,0.0089567881077528,0.18006562441587448,0.0024698594235815106,-0.012842598805824916,0.8852766156196594,0.0003,0.04980277270078659,3.161167923609416,0.014842908,170
192,26,97280,1,0.33796624808464565,250.66,0.2,0.0007771572563797235,0.1687747468551,0.0017182749230414628,-0.007022563329276939,0.9340233206748962,0.0003,0.04990176483988762,3.159906276067098,0.013050639,180
106,48,102400,1,0.33654630699788174,254.57,0.2,0.007758416701108217,0.1550968399271369,0.0024335345544386653,-0.01331795488804346,0.8972172141075134,0.0003,0.04996076598763466,3.1564754009246827,0.018047005,190
141,36,107520,1,0.337953996193454,260.66,0.2,0.02097376622259617,0.14083726033568383,0.0027438842167612164,-0.01269447805825621,0.8237680792808533,0.0003,0.04998065531253815,3.154277855157852,0.010995928,200
81,63,112640,1,0.3380378126068805,261.16,0.2,0.013459212146699429,0.17730055674910544,0.005836501013254747,-0.012119151663500815,0.8469173312187195,0.0003,0.05015748739242554,3.151131993532181,0.017662035,210
124,41,117760,1,0.3369073610961156,259.86,0.2,0.009611307643353939,0.1527930164632077,0.002677896486905714,-0.010923758132654863,0.9397003054618835,0.0003,0.05019661411643028,3.1459137916564943,0.015852502,220
120,42,122880,1,0.34509709198349897,246.53,0.2,0.022586103528738022,0.14474808052182198,0.0023620972759090366,-0.010721743339672685,0.9532116651535034,0.0003,0.05015895515680313,3.146355128288269,0.012753098,230
330,15,128000,1,0.3314645286257318,265.43,0.2,0.011337025091052055,0.1529552236199379,0.002018344748648815,-0.011298689566319808,0.9332273006439209,0.0003,0.050156112760305405,3.14728187918663,0.0160122,240
