rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/loss,train/clip_fraction,train/std,train/policy_gradient_loss,train/entropy_loss,train/value_loss,train/clip_range,train/approx_kl,train/explained_variance,train/n_updates,train/learning_rate
181.11111111111111,193,2560,13,-1.2318823376203278,1,,,,,,,,,,,
176.31578947368422,228,5120,11,-0.6645854917453099,1,0.0248196292668581,0.1540831470862031,0.010021436959505081,-0.010334285532007926,2.430475080013275,0.03838017403613776,0.2,0.013538743,-0.19171679019927979,10,0.0003
181.47619047619048,247,7680,10,-0.6171602734738476,1,0.01193892303854227,0.16895204763859512,0.010032199323177338,-0.017684223444666712,2.4656272530555725,0.01637690921779722,0.2,0.01547003,0.47455525398254395,20,0.0003
180.53846153846155,306,10240,8,-0.6822535610390474,1,0.0023411517031490803,0.13526009656488897,0.01005518063902855,-0.012189412581695555,2.486480633417765,0.01824249510342876,0.2,0.010733101,0.47240883111953735,30,0.0003
226.2,304,12800,8,-0.7259315225250709,1,0.006254068575799465,0.1431721097479264,0.010098105296492577,-0.013408838495767366,2.5215241511662803,0.02040730418326954,0.2,0.014350099,0.558829665184021,40,0.0003
216.125,285,15360,8,-0.5948019725152238,1,0.010403529740869999,0.14941406200329463,0.010113264434039593,-0.015101620194036514,2.5220755974451703,0.0146623354870826,0.2,0.0144357765,0.7135021090507507,50,0.0003
210.89795918367346,228,17920,11,-0.5742382327608825,1,0.012007340788841248,0.14004257718722027,0.010112741030752659,-0.01361264668715497,2.4943890015284222,0.009581855094681183,0.2,0.012554665,0.8088681697845459,60,0.0003
205.83333333333334,213,20480,12,-0.5311355381448947,1,0.0039014085195958614,0.16189397908747197,0.010113208554685116,-0.01114534071239177,2.4761608600616456,0.014102639746852219,0.2,0.01511786,0.5415246486663818,70,0.0003
203.87142857142857,206,23040,12,-0.9306680192706596,1,0.0006243600510060787,0.14821506049484015,0.010127857327461243,-0.016092104918789117,2.4820090770721435,0.014770071615930646,0.2,0.01726734,0.7795487642288208,80,0.0003
200.21518987341773,232,25600,11,-0.8306846109030468,1,0.02351849153637886,0.16538535780273378,0.010131869465112686,-0.006674388481769711,2.4920085430145265,0.09328569704666734,0.2,0.0134391915,0.6624972820281982,90,0.0003
198.23595505617976,209,28160,12,-0.7964233168819307,1,-0.0011225603520870209,0.19867048114538194,0.010140616446733475,-0.015963260091120902,2.476324278116226,0.01861744641792029,0.2,0.01998978,0.5461404323577881,100,0.0003
197.68041237113403,179,30720,14,-0.75287946471018,1,0.010588395409286022,0.1794413011521101,0.010138766840100288,-0.009018008422572166,2.4856579482555388,0.02836958705447614,0.2,0.013825966,0.8148165345191956,110,0.0003
200.31,167,33280,15,-0.627676850786886,1,0.01636986806988716,0.2072996124625206,0.010143885388970375,-0.0093138031741546,2.4878345489501954,0.016962260473519564,0.2,0.020703606,0.7570705413818359,120,0.0003
200.19,188,35840,13,-0.651583617569679,1,-0.001849212683737278,0.18947975821793078,0.010174119845032692,-0.01594117284985259,2.508668911457062,0.014486339990980923,0.2,0.023883764,0.8440625667572021,130,0.0003
204.44,182,38400,13,-0.7836534434318994,1,0.011902779340744019,0.14706361135467888,0.010229099541902542,-0.010620169471076224,2.487993025779724,0.06611030576750636,0.2,0.013322216,0.6076114177703857,140,0.0003
194.32,231,40960,11,-0.676839343395952,1,-0.005630199797451496,0.16701370514929295,0.010228886269032955,-0.012655028619337826,2.487742465734482,0.017443472566083074,0.2,0.021700997,0.7094022035598755,150,0.0003
198.12,222,43520,11,-0.7638811968561707,1,-0.014820869080722332,0.15274038848777613,0.010233537293970585,-0.016735861481477817,2.507982675234477,0.00824658175309499,0.2,0.020550288,0.7435666918754578,160,0.0003
199.3,175,46080,14,-0.7990656097290985,1,-0.004080795217305422,0.18309873435646296,0.010249444283545017,-0.010950593301095069,2.5005866646766663,0.030151015473529698,0.2,0.014470169,0.7183562517166138,170,0.0003
201.93,486,48640,5,-0.9187181625985247,1,0.01074675191193819,0.1494129052385688,0.010271561332046986,-0.012151524162618443,2.4944798350334167,0.055505275214090946,0.2,0.019305,0.8205652832984924,180,0.0003
204.24,218,51200,11,-0.9511887475054825,1,0.038446441292762756,0.20785890519618988,0.010267898440361023,-0.006528277920248608,2.5252046386400857,0.003414763807086274,0.2,0.046276294,0.9173656702041626,186,0.0003
205.98,149,53760,17,-0.8899357608993859,1,0.004735378548502922,0.2683415487408638,0.010269097052514553,-0.00823377163518065,2.49879581729571,0.027673039119690657,0.2,0.031629242,0.8580684661865234,192,0.0003
205.54,188,56320,13,-0.6701355308279111,1,0.009280288591980934,0.16859109615907072,0.010273968800902367,-0.0135056283222184,2.491467022895813,0.013430030026938766,0.2,0.015250197,0.7638054490089417,202,0.0003
205.86,281,58880,9,-0.764146425641216,1,0.01238097995519638,0.21394514106214046,0.010284516960382462,-0.0068390319967875255,2.505102217197418,0.040424661617726086,0.2,0.022208873,0.845287024974823,212,0.0003
206.22,175,61440,14,-0.850001957068837,1,0.0021705073304474354,0.16864621018369993,0.010319956578314304,-0.013687741752558697,2.514880124727885,0.037425875477492807,0.2,0.021060864,0.9057323932647705,222,0.0003
201.75,174,64000,14,-0.8973851904275472,1,0.05012388527393341,0.1958633824079125,0.010325489565730095,-0.0059737857362186465,2.506146272023519,0.0469377848699137,0.2,0.048572607,0.9081162214279175,228,0.0003
204.2,235,66560,10,-0.8993200889156465,1,0.006455393508076668,0.20057842563837766,0.010353012010455132,-0.01364440399047453,2.5063310623168946,0.015197304170578718,0.2,0.026241036,0.8526636362075806,238,0.0003
203.93,201,69120,12,-0.8113495531059339,1,0.023925844579935074,0.22838155925273895,0.010370664298534393,-0.011794499990840753,2.5267900149027507,0.009723579790443183,0.2,0.01955264,0.8578564524650574,248,0.0003
