time,agent,lat,lon,cas_mps,tas_mps,goal_distance_km,heading_error_deg,heading_action,speed_action,nearest_nm,outside,commanded_heading_turn_deg,static_projection_intervened,static_projection_infeasible
0.0,KL001,52.70086613913019,3.7873843088272805,150.0,152.40357712476657,164.51119702125374,-0.004759453710477146,-0.44854027032852173,-0.7981661558151245,21.074138780414298,False,-20.184312164783478,False,False
0.0,KL002,52.44929911519895,4.190157774888169,150.0,152.40357712476657,124.4695790434067,0.025717949253930783,-0.8111184239387512,-0.6113690137863159,10.10013240059391,False,-36.500329077243805,False,False
0.0,KL003,51.68654181804828,2.755779298211971,150.0,152.40357712476657,117.10842705320434,0.047049259717425684,0.799440860748291,0.5751281976699829,12.97189941140207,False,35.974838733673096,False,False
0.0,KL004,52.5157650074529,2.2885564257106195,150.0,152.40357712476657,101.42221010118989,0.053947178707346666,-0.9537366628646851,0.3716179132461548,30.564430739645932,False,-42.91814982891083,False,False
0.0,KL005,52.73053969055071,3.048848007260595,150.0,152.40357712476657,112.73269196600077,0.002576526691768777,-0.9134914875030518,-0.6324818730354309,26.92012372123544,False,-41.10711693763733,False,False
0.0,KL006,51.38606687134162,3.6413101752559616,150.0,152.40357712476657,100.37667374283708,-0.06751595915315534,-0.6614072918891907,0.5366766452789307,25.2638480721307,False,-29.76332813501358,False,False
0.0,KL007,52.341501825688354,3.978517143948768,150.0,152.40357712476657,122.98970485919115,-0.049555066017177296,-0.6615939736366272,-0.46328216791152954,10.10013240059391,False,-29.771728813648224,False,False
0.0,KL008,52.26679528888074,5.690989403427722,150.0,152.40357712476657,104.4442376694844,-0.06633164571633188,-0.838925838470459,0.19274604320526123,56.11310312641564,False,-37.751662731170654,False,False
0.0,KL009,51.47057847898387,2.7457842806182944,150.0,152.40357712476657,127.90510243234009,-0.06038329591220304,0.9595949649810791,-0.09992200136184692,12.97189941140207,False,43.18177342414856,False,False
0.0,KL0010,51.29629729186665,2.9832258352108028,150.0,152.40357712476657,135.68376641129956,-0.07990470461618315,0.9933950901031494,-0.14113223552703857,13.735202528495593,False,44.702779054641724,False,False
10.0,KL001,52.687462197983,3.7886848057764397,147.26211181158547,149.62679707550515,163.03970083854475,-17.575107072342632,-0.7227417230606079,-0.6560162305831909,21.271840582961815,False,-32.523377537727356,False,False
10.0,KL002,52.43845862289412,4.203285837179136,147.90275627114485,150.27656489722364,122.99085724098889,-17.512219567347188,-0.9760746955871582,-0.015594661235809326,10.595548418621544,False,-43.92336130142212,False,False
10.0,KL003,51.6995449909375,2.7633627663011344,151.97199874748134,154.4034285563766,115.59238033117697,17.150238350649687,-0.2274763584136963,0.41536855697631836,13.226224240050481,False,-10.236436128616333,False,False
10.0,KL004,52.519029060116985,2.3105386843383107,151.27403444908086,153.69562151859287,99.90912839047972,-17.13869877676558,-0.9584210515022278,0.1679670810699463,29.54337137229069,False,-43.12894731760025,False,False
10.0,KL005,52.71723876976205,3.0523482192971048,147.83034704605433,150.20312519996529,111.25617495075338,-17.55481179942356,-0.9182334542274475,-0.33518028259277344,26.84888413295789,False,-41.32050544023514,False,False
10.0,KL006,51.39974159888589,3.6444670492964932,151.84012427802654,154.26969567778073,98.8606905722168,-17.205245309140366,0.8988841772079468,0.7655153274536133,24.94111645643336,False,40.449787974357605,False,False
10.0,KL007,52.327993635216046,3.97781204382439,148.41063886673908,150.7916702541288,121.50879569059433,-17.537654943915555,0.583309531211853,-0.12036252021789551,10.595548418621544,False,26.248928904533386,False,False
10.0,KL008,52.266649753137806,5.66857888074282,150.66057071367138,153.07349275860977,102.94288677417038,-17.32245278508043,0.85619056224823,0.6317954063415527,54.7175070434416,False,38.52857530117035,False,False
10.0,KL009,51.47925690844842,2.762645508222142,149.65682858354265,152.05554502203643,126.41284288526987,17.28204971763219,0.6451430320739746,0.563462495803833,13.226224240050481,False,29.031436443328857,False,False
10.0,KL0010,51.30733335056825,2.995967473493236,149.5154928655101,151.91220624511925,134.19229573959154,17.271876347135276,0.714625358581543,0.0862966775894165,13.526175201752242,False,32.158141136169434,False,False
20.0,KL001,52.675129290020834,3.796498534977197,145.01175349031567,147.34428114517556,161.73732443556878,-35.58255549476351,0.92071533203125,-0.09409451484680176,21.353511917261603,False,41.43218994140625,False,False
20.0,KL002,52.43052509447856,4.2211167806336505,147.84880280794567,150.22184362699218,121.65681931342678,-35.27840182842198,-0.9694533944129944,0.6185321807861328,11.354894456379066,False,-43.62540274858475,False,False
20.0,KL003,51.71270296017417,2.771038555629115,153.39607530980737,155.84753507528674,114.05884531598629,7.0416061591706125,0.3266482353210449,0.657071590423584,13.707473513404372,False,14.699170589447021,False,False
20.0,KL004,52.52609182765166,2.3300705093614544,151.84961852833015,154.27932374366338,98.52856219704877,-34.51972427543825,-0.7461168169975281,0.19018864631652832,28.776631484873825,False,-33.57525676488876,False,False
20.0,KL005,52.705297464724886,3.0622093874414085,146.68033444346761,149.03672256388987,109.93812275334977,-35.491287891818445,-0.6324005722999573,0.08108830451965332,26.783552107826957,False,-28.458025753498077,False,False
20.0,KL006,51.413580178961915,3.6482900576075057,154.46507396033545,156.93152296945576,97.31394971492688,-0.6104592618087565,-0.7892772555351257,0.6461701393127441,24.517259132808686,False,-35.51747649908066,False,False
20.0,KL007,52.314548238951936,3.9764331162547695,147.99736914801755,150.37252396185954,120.02589849842961,-0.21380537258664845,-0.6716043949127197,0.18688726425170898,11.354894456379066,False,-30.222197771072388,False,False
20.0,KL008,52.26689052757876,5.645867445427704,152.82691473379936,155.27037759308791,101.41471753768712,-0.5542476544770238,-0.7887508273124695,0.0855257511138916,53.16969194033277,False,-35.49378722906113,False,False
20.0,KL009,51.48452228353114,2.783114999598994,151.5888194184,154.0148476959056,125.04964341025001,34.616826140418226,-0.6818723082542419,0.8687405586242676,13.317590771733121,False,-30.684253871440887,False,False
20.0,KL0010,51.3155310288243,3.01340379302485,149.8109835345451,152.21188392769994,132.8436599526179,34.77613947286528,-0.23679757118225098,0.594936728477478,13.317590771733121,False,-10.655890703201294,False,False
30.0,KL001,52.66269448128207,3.8036472550919536,144.6885840148921,147.01647952432805,160.42127353501115,-17.992013549870137,-0.719230592250824,-0.4572927951812744,21.407165863022506,False,-32.36537665128708,False,False
30.0,KL002,52.4261300880562,4.24229546132115,149.96966784349854,152.37281550626258,120.57862906894228,-53.00081620327417,-0.9496471881866455,0.643129825592041,12.32701499799727,False,-42.73412346839905,False,False
30.0,KL003,51.72541140797939,2.7811309492752034,155.6490985195578,158.13210291344384,112.54642011502715,21.95889913384434,-0.7158938646316528,0.5382425785064697,14.144990653721838,False,-32.21522390842438,False,False
30.0,KL004,52.53635539763075,2.3454409136349326,152.5014124528219,154.94029682089592,97.40974597761233,-52.058370175365,-0.0676506757736206,0.5511233806610107,28.352212892467964,False,-3.0442804098129272,False,False
30.0,KL005,52.695698197759164,3.077582484067398,146.95797133907385,149.31832047306565,108.89440283689031,-53.599304093283706,0.8023779392242432,0.5913903713226318,26.50377920084507,False,36.10700726509094,False,False
30.0,KL006,51.42768631391319,3.6515508767342273,156.68070586853776,159.17809430540348,95.7513658852311,-17.24565565627674,0.8730218410491943,0.741588830947876,24.07471306978145,False,39.285982847213745,False,False
30.0,KL007,52.30102513561186,3.9757045377432862,148.63785279558883,151.02211261047447,118.54403160211889,-17.687493748004755,0.7937381267547607,0.49873828887939453,12.32701499799727,False,35.71821570396423,False,False
30.0,KL008,52.266724166055496,5.623089441664624,153.11975089893903,155.56732961911288,99.89030630116238,-17.547754450355967,0.8837361335754395,0.5788872241973877,51.54097578662283,False,39.768126010894775,False,False
30.0,KL009,51.4902383808769,2.8037174863514234,154.56779390410728,157.0356811224717,123.64595356049892,18.20542492415308,-0.8372253179550171,0.6209951639175415,13.125828294459312,False,-37.67513930797577,False,False
30.0,KL0010,51.323870388167435,3.0310828333883104,151.85091874764584,154.28064228852176,131.47714490944364,24.420558916142596,0.130987286567688,0.10518789291381836,13.125828294459312,False,5.8944278955459595,False,False
40.0,KL001,52.650538188263894,3.8113797884444303,143.11978105802197,145.42514029123564,159.14352375647007,-36.25013513851917,0.9297361373901367,0.01912546157836914,21.368382111503852,False,41.83812618255615,False,False
40.0,KL002,52.42571474580991,4.264983278078044,152.17488688378367,154.60917466658128,119.86488576865985,-70.62241238827174,-0.6610690355300903,0.8123888969421387,13.512561050996915,False,-29.748106598854065,False,False
40.0,KL003,51.73860978574646,2.7901540452517217,157.4945754278251,160.00328540310088,110.99440841487414,5.756330991955053,0.6270296573638916,0.5148534774780273,14.401815719993186,False,28.216334581375122,False,False
40.0,KL004,52.54833484360738,2.3576614310737614,154.3910756976759,156.85648840842384,96.5055956537717,-55.86430856677987,-0.04585665464401245,0.6102820634841919,28.03465896285658,False,-2.0635494589805603,False,False
40.0,KL005,52.68570598181188,3.0926895380366024,148.98575292953464,151.37495254808067,107.81699667321806,-36.84212694653027,-0.6449753046035767,0.024973511695861816,26.252840996752134,False,-29.02388870716095,False,False
40.0,KL006,51.441955430790614,3.655482074436253,159.22358123135024,161.7562650295736,94.15794006708029,-1.1641647339543795,-0.8715842962265015,0.4669935703277588,23.653811700124542,False,-39.221293330192566,False,False
