time/total_timesteps,time/episodes,train/actor_updates,time/fps,train/n_updates,train/critic_loss,train/actor_loss,train/held_actor_updates,train/ent_coef,train/ent_coef_loss,train/learning_rate,time/time_elapsed
9230,40,1688,65,1688,2.671993315219879,-8.968501567840576,0,0.5887600928544998,-1.7312881350517273,0.0003,141
17570,80,5024,65,5024,3.891157865524292,-13.661021709442139,0,0.22147099301218987,-4.286089897155762,0.0003,267
