time/time_elapsed,train/critic_loss,time/fps,train/n_updates,train/ent_coef,time/episodes,train/ent_coef_loss,train/actor_updates,train/held_actor_updates,time/total_timesteps,train/actor_loss,train/learning_rate
106,0.5044393837451935,47,10020,0.0512008024379611,160,-7.924937605857849,10020,0,30060,-18.59123420715332,0.0003
309,0.6880303919315338,47,13868,0.019617044366896152,200,-2.612612247467041,13868,0,39680,-19.927867889404297,0.0003
490,0.6774955689907074,46,17020,0.010276015382260084,240,-0.6230533719062805,17020,0,47560,-20.802114009857178,0.0003
637,0.7154669016599655,44,19388,0.007893350441008806,280,-2.1611061692237854,19388,0,53480,-20.007606506347656,0.0003
771,0.8829849809408188,43,21572,0.007355079404078424,320,-0.7172867618501186,21572,0,58940,-20.324291706085205,0.0003
953,0.798713892698288,43,24660,0.006270276731811464,360,1.7565075755119324,24660,0,66660,-19.999538898468018,0.0003
1148,1.1163242757320404,43,27876,0.007481540320441127,400,-1.4566152393817902,27876,0,74700,-18.70561456680298,0.0003
1341,1.3253144323825836,42,31020,0.007373744039796293,440,-0.08748209476470947,31020,0,82560,-17.367472648620605,0.0003
1523,1.8090532422065735,42,33948,0.006898224703036249,480,-0.5623852871358395,33948,0,89880,-15.630571842193604,0.0003
