time,agent,route_target_index,route_target_distance_km,route_clearance_km,route_target_east_km,route_target_north_km,route_target_in_static_domain,in_route_domain,lat,lon,cas_mps,tas_mps,goal_distance_km,heading_error_deg,heading_action,speed_action,nearest_agent,nearest_nm,outside,commanded_heading_turn_deg,commanded_speed_action,traffic_projection_intervened,static_projection_intervened,static_projection_infeasible,nominal_static_violation,nominal_traffic_conflict,no_static_feasible_candidate,no_jointly_feasible_candidate,predicted_minimum_separation_km,predicted_risk_seconds,reference_heading_turn_deg,nominal_heading_adjustment_deg,nominal_speed_action,reference_speed_action,nominal_speed_adjustment
0.0,KL001,1,125.18158950061944,3.0,14.613042157354407,-53.02890640910716,,True,52.49178351760445,3.2803469366825295,150.0,152.40357712476657,135.0052399901762,0.0002242062319339766,-0.18626844882965088,0.5919668674468994,AC2,3.0789520241278603,False,-45.0,-1.0,True,False,False,False,True,False,True,5.705709122370639,77.9887476921073,5.1689547300338745,-2.7940267883241177,1.0,1.0,0.0
10.0,KL001,1,123.73860919686162,3.0,14.613042157354457,-53.028906409107115,True,True,52.482395573544764,3.296003327809822,146.56989707733354,148.92470887293493,133.53647243681104,-17.64986391406552,-0.01994764804840088,0.5264778137207031,AC2,3.186360117599567,False,-45.0,-1.0,True,False,False,False,True,False,True,5.902940833298227,53.29157847265472,22.891519367694855,-0.29921382665634155,1.0,1.0,0.0
20.0,KL001,1,122.51286865795774,3.0,14.61304215735447,-53.02890640910711,True,True,52.47650842900935,3.3151519202061643,143.13980504538085,145.44545244808228,132.2441830200989,-35.90688041613191,0.15654611587524414,0.44671809673309326,AC2,3.472130478298561,False,-45.0,1.0,True,False,False,False,True,False,True,6.429171140097836,35.83696852523518,41.227548122406006,2.3481908440589905,1.0,1.0,0.0
30.0,KL001,1,121.57951281315204,3.0,14.613042157354478,-53.02890640910709,True,True,52.474445923174514,3.3367310967495167,146.56897723744098,148.9237759019941,131.20606840628832,-54.015783933568656,0.194832444190979,0.39386940002441406,AC2,3.9993061566586277,False,-30.000000000000004,1.0,True,False,False,False,True,False,True,7.402654542995757,21.10159854268105,45.0,0.0,1.0,1.0,0.0
40.0,KL001,1,121.03617972632728,3.0,14.613042157354492,-53.02890640910709,True,True,52.47645933104413,3.358841106982413,149.99813854174232,152.40168931170894,130.52815806450278,-71.85779138695821,0.17007875442504883,0.34702348709106445,AC2,4.8061264069435,False,-15.000000000000002,1.0,True,False,False,False,True,False,True,8.895001431504259,8.076237226504054,45.0,0.0,1.0,1.0,0.0
50.0,KL001,1,120.9427080466288,3.0,14.613042157354457,-53.02890640910712,True,True,52.482420841010686,3.3795211675364434,153.42728895831928,155.87918695990405,130.28255222682884,-87.53813945807721,0.05232131481170654,0.4284963607788086,AC2,5.874488189441835,False,45.0,1.0,False,False,False,False,False,False,False,10.87230050618693,0.0,45.0,0.0,1.0,1.0,0.0
60.0,KL001,1,120.77911640721312,3.0,14.613042157354457,-53.02890640910711,True,True,52.487782020808474,3.4011862628555343,156.85642848720633,159.3562633404823,129.9630327342064,-71.73917891496043,0.11366927623748779,0.4662303924560547,AC2,6.9202336092810555,False,45.0,1.0,False,False,False,False,False,False,False,12.808224206913602,0.0,45.0,0.0,1.0,1.0,0.0
70.0,KL001,1,120.1857426093258,3.0,14.613042157354414,-53.028906409107144,True,True,52.48925712823679,3.4249623955746777,160.2855571284384,162.83291315939238,129.2218066919631,-56.24507420362764,0.1346120834350586,0.4176342487335205,AC2,7.750912622318753,False,45.0,1.0,False,False,False,False,False,False,False,14.346746118732348,0.0,45.0,0.0,1.0,1.0,0.0
80.0,KL001,1,119.19827753732251,3.0,14.613042157354478,-53.0289064091071,True,True,52.48664607215286,3.4489169403086786,162.99999999999994,165.5846750214427,128.1060056093615,-40.943016635351,0.0892951488494873,0.4714691638946533,AC2,8.351856616536088,False,45.0,1.0,False,False,False,False,False,False,False,15.460578546043488,0.0,45.0,0.0,1.0,1.0,0.0
90.0,KL001,1,117.89590665974103,3.0,14.61304215735447,-53.02890640910709,True,True,52.48014758514407,3.4708328514369655,162.99999999999994,165.5846750214427,126.70689607966067,-25.522399232646308,-0.024173319339752197,0.5284633636474609,AC2,8.72140404762178,False,31.02354258298874,1.0,False,False,False,False,False,False,False,15.01261277286277,0.0,31.386142373085022,-0.36259979009628296,1.0,1.0,0.0
100.0,KL001,1,116.37006595831667,3.0,14.613042157354485,-53.028906409107094,True,True,52.470256120529626,3.4890052434236063,162.99999999999994,165.5846750214427,125.12453516637089,-9.920309294548076,-0.19457733631134033,0.5864064693450928,AC2,8.871407582520169,False,12.963313311338425,1.0,False,False,False,False,False,False,False,15.082046810984485,0.0,15.881973803043365,-2.918660491704941,1.0,1.0,0.0
110.0,KL001,1,114.73005086321348,3.0,14.613042157354464,-53.02890640910712,True,True,52.45777002948753,3.50221504055543,162.99999999999994,165.5846750214427,123.47301858192174,3.020908485836486,-0.43414855003356934,0.6610432863235474,AC2,8.834025855891094,False,-3.4804092720150948,1.0,False,False,False,False,False,False,False,15.468590668113338,0.0,3.0318188667297363,-6.512228138744831,1.0,1.0,0.0
120.0,KL001,1,113.08179273149575,3.0,14.613042157354421,-53.028906409107115,True,True,52.44505880209781,3.514941500767903,162.99999999999994,165.5846750214427,121.81716475850486,-0.46281745056055,-0.5519474744796753,0.6507012844085693,AC2,8.779978604021938,False,-1.6710839420557022,1.0,False,False,False,False,False,False,False,15.684670599800219,0.0,6.608128175139427,-8.27921211719513,1.0,1.0,0.0
