time,agent,lat,lon,heading_deg,cas_mps,tas_mps
0.0,AC1,53.035251774758585,2.833801015985636,147.66389563539497,150.85746131199548,153.27316580508338
0.0,AC2,52.44370215764691,3.3096164940380253,145.8945589629567,156.16127713265922,158.65142769137427
0.0,AC3,52.200741690297406,4.89806254171414,206.83077081475062,121.18829474516122,123.17026500607192
0.0,AC4,52.415134535726175,4.961617335736143,209.21657674507244,163.8137758390298,166.40958718408967
0.0,AC5,51.85217059379725,4.825610871038967,204.37108147149053,128.06497040550758,130.1499681006073
0.0,AC6,51.016665836793145,4.469536263956906,341.0950619590462,121.37118204055542,123.35591083732872
0.0,AC7,52.48063223111044,5.031152095156676,176.52679100495448,128.0497943874787,130.13456630632626
0.0,AC8,51.08913937938952,4.744230996402167,326.3857759160908,173.7886686918951,176.51901758191678
0.0,AC9,51.48550485187569,4.385190069275687,327.87962109624226,172.70513463822144,175.4210470061927
0.0,AC10,50.79939023424506,4.849416535700919,330.7065817571545,140.41913295507027,142.6855042814784
10.0,AC1,53.023604604122944,2.846058913327127,147.6727107010319,150.85746131199525,153.27316580508298
10.0,AC2,52.43188761004046,3.32273801203426,145.90392166293196,156.16127713265985,158.65142769137466
10.0,AC3,52.190856976275604,4.889906921863621,206.8249702657942,121.18829474516093,123.17026500607139
10.0,AC4,52.402137078107046,4.9497037451704555,209.20807857417603,162.99999999999994,165.5846750214427
10.0,AC5,51.84150867169712,4.817793510636636,204.36554767096956,128.0649704055076,130.1499681006073
10.0,AC6,51.02716095433358,4.4638214623720724,341.09106363055963,121.37118204055521,123.35591083732872
10.0,AC7,52.46895043943396,5.032315943232368,176.52762176582198,128.04979438747895,130.13456630632626
10.0,AC8,51.10204232841543,4.730570683330812,326.37618582429747,166.0764673042746,168.7031168483927
10.0,AC9,51.49853810450619,4.372046027884858,327.8703394999201,164.86558795578287,167.47575757025277
10.0,AC10,50.81058098240679,4.839480445967241,330.6996511616672,140.41913295507044,142.6855042814784
20.0,AC1,53.01195617386578,2.8583101926676284,147.68249877526736,150.85746131199525,153.27316580508298
20.0,AC2,52.42007161073059,3.3358524960913245,145.9143178077474,156.16127713265985,158.65142769137466
20.0,AC3,52.18097170013509,4.881754928235474,206.81852873790837,121.18829474516093,123.17026500607139
20.0,AC4,52.389138423393426,4.9377971728874614,209.1986429813201,162.99999999999994,165.5846750214427
20.0,AC5,51.830846231558084,4.809979852518244,204.35940259765923,128.0649704055076,130.1499681006073
20.0,AC6,51.03765579303349,4.458104072304223,341.08661850548486,121.37118204055521,123.35591083732872
20.0,AC7,52.457268636341794,5.0334791736735385,176.5285442309512,128.04979438747895,130.13456630632626
20.0,AC8,51.11447391493467,4.717400586391602,326.36591559315696,162.99999999999994,165.5846750214427
20.0,AC9,51.51115752194313,4.359310757106311,327.8603581978656,162.99999999999994,165.5846750214427
20.0,AC10,50.82177088626752,4.829539594352888,330.6919458263273,140.41913295507044,142.6855042814784
30.0,AC1,53.00030648519908,2.870554859661336,147.69228007267637,150.85746131199525,153.27316580508298
30.0,AC2,52.40825416111304,3.3489599521121165,145.92470674236273,156.16127713265985,158.65142769137466
30.0,AC3,52.17108586232448,4.873606558137251,206.81209091908997,121.18829474516093,123.17026500607139
30.0,AC4,52.37613857284753,4.925897612120361,209.18921455908946,162.99999999999994,165.5846750214427
30.0,AC5,51.82018327382139,4.802169893701637,204.35326130335017,128.0649704055076,130.1499681006073
30.0,AC6,51.04815035266199,4.4523840916791055,341.08217070698964,121.37118204055521,123.35591083732872
30.0,AC7,52.44558682184481,5.034641787067687,176.5294660624381,128.04979438747895,130.13456630632626
30.0,AC8,51.12687155337029,4.704257831593056,326.3556841022278,162.99999999999994,165.5846750214427
30.0,AC9,51.52376610661106,4.346577977078059,327.85038840185945,162.99999999999994,165.5846750214427
30.0,AC10,50.83295994508537,4.819593977034099,330.6842355676633,140.41913295507044,142.6855042814784
40.0,AC1,52.98865553933343,2.8827929199572164,147.70205459886586,150.85746131199525,153.27316580508298
40.0,AC2,52.39643526258195,3.362060385994359,145.9350884727299,156.16127713265985,158.65142769137466
40.0,AC3,52.161199463291915,4.865461808878994,206.80565680616544,121.18829474516093,123.17026500607139
40.0,AC4,52.363137527729855,4.914005056110229,209.17979329963723,162.99999999999994,165.5846750214427
40.0,AC5,51.809519798927724,4.794363631207964,204.34712378372393,128.0649704055076,130.1499681006073
