train/n_updates,train/critic_loss,train/actor_loss,time/fps,time/time_elapsed,time/episodes,train/learning_rate,time/total_timesteps,train/ent_coef,train/ent_coef_loss
1756,3.9074955582618713,-9.774261713027954,45,206,40,0.0003,9400,0.5761850476264954,-1.8148991763591766
5496,0.9008728861808777,-17.39323854446411,40,461,80,0.0003,18750,0.18997880071401596,-5.306300759315491
