time/iterations,time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/explained_variance,train/n_updates,train/clip_range,train/approx_kl,train/loss,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/std,train/value_loss,train/entropy_loss
1,2560,163,189.25,-0.24370271536701463,15,,,,,,,,,,,
1,5120,398,208.77777777777777,-0.17538154234180467,6,0.08426797389984131,10,0.2,0.010407404,0.01747431978583336,0.0003,-0.010324143664911389,0.0824246653355658,0.20034801959991455,0.03911780272610486,0.38041957914829255
1,7680,188,232.83333333333334,-0.5405922777478357,13,0.6112293004989624,20,0.2,0.012332796,0.0021993182599544525,0.0003,-0.0070451520654142286,0.10301369866356254,0.20056858658790588,0.029372416064143182,0.3765523135662079
1,10240,218,244.1,-0.789470588033862,11,0.05091184377670288,30,0.2,0.010110412,0.00843158271163702,0.0003,-0.0104498055017757,0.07906268537044525,0.19960543513298035,0.028061994165182114,0.37824034690856934
1,12800,150,231.6206896551724,-0.7948233440116957,16,0.5433310270309448,40,0.2,0.01146054,0.0036210836842656136,0.0003,-0.012970943779995045,0.09397135376930237,0.199892058968544,0.028666350152343513,0.384893199801445
1,15360,134,224.97435897435898,-0.7726617224540495,18,0.7234603762626648,50,0.2,0.008742373,-0.012470677495002747,0.0003,-0.012476960438652896,0.0955194820649922,0.2000543475151062,0.02130633913911879,0.3802645906805992
1,17920,105,217.14,-0.610696250961428,24,0.7251114249229431,60,0.2,0.010019675,-0.010885190218687057,0.0003,-0.013628729770425707,0.08342197784222663,0.20047926902770996,0.017680736538022757,0.37871540784835817
1,20480,101,218.18333333333334,-0.531502154989306,25,0.7999378442764282,70,0.2,0.0073293634,0.0057598138228058815,0.0003,-0.010375758400186896,0.1064139099791646,0.20086270570755005,0.009832818806171418,0.37400841116905215
1,23040,107,213.11764705882354,-0.45449921218948175,23,0.7300787568092346,80,0.2,0.00885966,-0.0146947605535388,0.0003,-0.01274957275018096,0.07935848073102533,0.20085161924362183,0.009203874575905501,0.3715534508228302
1,25600,169,214.73239436619718,-0.41953714936404307,15,0.8587851524353027,90,0.2,0.011038611,-0.01849793829023838,0.0003,-0.01472791687992867,0.09764303871197626,0.20097050070762634,0.0069091619167011235,0.37200179770588876
1,28160,159,217.0875,-0.4859703896531995,16,0.6290342807769775,100,0.2,0.011137381,-0.032394085079431534,0.0003,-0.011556269502034412,0.10841796975582838,0.20095229148864746,0.01934008828829974,0.37147197052836417
1,30720,204,217.43333333333334,-0.5193451584140122,12,0.8504796028137207,110,0.2,0.010056648,-0.020784014835953712,0.0003,-0.014717267765445286,0.10475336126983166,0.2011154294013977,0.00836492758244276,0.37044035494327543
1,33280,150,215.01,-0.6278949425049192,17,0.8027597665786743,120,0.2,0.010378536,-0.010525237768888474,0.0003,-0.013154427994353075,0.08110283259302378,0.20065423846244812,0.019873356663932404,0.37158927222092947
1,35840,237,211.48,-0.6359632044212722,10,0.6988580226898193,130,0.2,0.011253478,-0.008061767555773258,0.0003,-0.010335607543820515,0.11293678998947143,0.1997925490140915,0.04087479468435049,0.3794447749853134
1,38400,154,208.72,-0.5774718641263745,16,0.8341343402862549,140,0.2,0.010217993,-0.0310615636408329,0.0003,-0.011682411702349783,0.11646902970969678,0.20114251971244812,0.04064295447897166,0.37680469155311586
1,40960,213,213.15,-0.7960057773956108,11,0.7572486400604248,150,0.2,0.008596336,0.0039028888568282127,0.0003,-0.012508388813585044,0.08825265742838383,0.20192280411720276,0.07032304804772138,0.3656583738327026
