time/fps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/clip_fraction,train/entropy_loss,train/loss,train/value_loss,train/std,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/n_updates
450,1,-119.33689630781615,159.65,5120,11,,,,,,,,,,,
450,1,-105.15308344146972,165.575,10240,11,0.15019309878349305,3.146187801361084,467.1005554199219,929.2924255371094,0.05039680004119873,-0.006661057472229004,0.2,-0.0029588442761451007,0.0003,0.014257841,10
421,1,-104.51248107477288,165.39705882352942,15360,12,0.08761482015252113,3.1355607414245608,351.64398193359375,831.32294921875,0.050471920520067215,0.10382157564163208,0.2,-0.006868106042966247,0.0003,0.00884465,20
468,1,-91.06584178811744,166.43298969072166,20480,10,0.15179600027389825,3.134623112678528,226.8443145751953,473.88870727539063,0.05047200992703438,0.1603134274482727,0.2,-0.00253482754342258,0.0003,0.011665075,30
426,1,-83.73280408492091,169.03,25600,11,0.11452763801207766,3.139592707157135,192.04800415039062,413.25902862548827,0.05020447075366974,0.3915713429450989,0.2,-0.009283002176198351,0.0003,0.011416933,40
427,1,-81.24974692789026,168.28,30720,11,0.18246372789144516,3.146936093057905,185.39215087890625,380.61511666434154,0.05012593790888786,0.5070313215255737,0.2,0.010579499532468617,0.0003,0.033267874,43
411,1,-81.57026318707385,168.93,35840,12,0.12126601681113243,3.147312240600586,165.01478576660156,389.4470672607422,0.05026277154684067,0.5302441120147705,0.2,-0.005654202867299318,0.0003,0.009346949,53
436,1,-74.68612015727501,170.82,40960,11,0.10694434747099876,3.140486783981323,195.61465454101562,490.5941717529297,0.050393808633089066,0.4481392502784729,0.2,-0.009072302817367017,0.0003,0.010902362,63
434,1,-75.99675923791266,173.9,46080,11,0.1318255920894444,3.1393536269664764,93.74869537353516,238.50037117004393,0.05029178410768509,0.5869510769844055,0.2,-0.007728546747239306,0.0003,0.018547522,73
417,1,-78.70138787556058,174.32,51200,12,0.1424938639625907,3.1408200919628144,112.83171081542969,315.26133155822754,0.05039677768945694,0.6965495347976685,0.2,-0.004764610982965678,0.0003,0.010444898,83
411,1,-65.57197247591456,174.55,56320,12,0.18670312531292438,3.135702724456787,90.51216125488281,287.00270614624026,0.05052316188812256,0.6861719489097595,0.2,-0.001268206280656159,0.0003,0.031161675,93
407,1,-66.69599728285752,175.67,61440,12,0.13590210393071175,3.131522521972656,124.39205169677734,322.65364227294924,0.05056115984916687,0.7461575865745544,0.2,-0.0064279098110273485,0.0003,0.009937847,103
401,1,-102.40720855890608,180.13,66560,12,0.1213867187872529,3.1313871717453003,198.35252380371094,523.0277209472656,0.050543539226055145,0.7338705658912659,0.2,-0.007958695939742029,0.0003,0.008134585,113
405,1,-120.85638328853688,181.15,71680,12,0.0736855161190033,3.1322247886657717,279.8807678222656,646.2361779785156,0.05054507777094841,0.5703574419021606,0.2,-0.008053217832930386,0.0003,0.007998346,123
277,1,-122.87284635727825,180.13,76800,18,0.0918754814658314,3.1316470682621,244.1160888671875,618.7500366210937,0.05056777596473694,0.7077491283416748,0.2,-0.009290058416081593,0.0003,0.00931673,133
324,1,-127.20716849486207,179.52,81920,15,0.09232615329965484,3.1305225253105164,86.92849731445312,216.280712890625,0.05059023201465607,0.8410423994064331,0.2,-0.009833097109367372,0.0003,0.010279106,143
286,1,-85.51081192047786,173.95,87040,17,0.0953194297850132,3.1302231669425966,109.07180786132812,265.18047256469725,0.050581395626068115,0.7906269431114197,0.2,-0.00753014293150045,0.0003,0.010386206,153
293,1,-82.47090045590876,174.94,92160,17,0.1301130022853613,3.133380627632141,105.20313262939453,242.41266059875488,0.050456635653972626,0.8329519629478455,0.2,-0.011878264766710344,0.0003,0.013387489,163
276,1,-66.2293373482542,175.74,97280,18,0.11761007152497768,3.136045174598694,88.7908935546875,227.8995684814453,0.050469495356082916,0.8246192336082458,0.2,-0.007251436691731215,0.0003,0.012563054,173
288,1,-74.28127515583506,176.63,102400,17,0.10850819717161357,3.131738382577896,93.46168518066406,212.84853515625,0.05065003037452698,0.8242038488388062,0.2,-0.008640712674241513,0.0003,0.013020836,183
284,1,-80.0505728415479,176.11,107520,18,0.10698097245767713,3.126567280292511,137.2239532470703,339.46619720458983,0.050733406096696854,0.7514234781265259,0.2,-0.005634665614343249,0.0003,0.011234872,193
