rollout,live_transitions,padded_transitions,counted_transitions,worlds_completed,aircraft_completed,optimizer_steps,policy_epochs,wall_seconds,live_transitions_per_second,training_return_last100,native_return_last100,training_arrival_last100,policy_loss,value_loss,approx_kl,clip_fraction
1,4343,777,5120,2,20,50,10,22.277568799967412,194.9494596558648,-119.33689630781615,-119.33689630781615,1.0,-0.0029588442761451007,929.2924255371094,0.014257840812206268,0.15019309878349305
2,8703,1537,10240,4,40,100,20,34.713360900001135,250.71038281400507,-105.15308344146972,-105.15308344146972,1.0,-0.006868106042966247,831.32294921875,0.008844650350511074,0.08761482015252113
3,12933,2427,15360,6,68,150,30,47.936121199978516,269.79654749383013,-104.51248107477288,-104.51248107477288,1.0,-0.00253482754342258,473.88870727539063,0.011665075086057186,0.15179600027389825
4,16735,3745,20480,8,97,190,40,59.803178999980446,279.8346221695919,-91.06584178811744,-91.06584178811744,1.0,-0.009283002176198351,413.25902862548827,0.011416932567954063,0.11452763801207766
5,20836,4764,25600,12,120,203,43,72.07659760001116,289.08134809067036,-83.73280408492091,-83.73280408492091,1.0,0.010579499532468617,380.61511666434154,0.033267874270677567,0.18246372789144516
6,25171,5549,30720,14,140,253,53,85.15425239998149,295.5929890825449,-81.24974692789026,-81.24974692789026,1.0,-0.005654202867299318,389.4470672607422,0.009346948936581612,0.12126601681113243
7,29672,6168,35840,16,163,303,63,98.68033669999568,300.688070108716,-81.57026318707385,-81.57026318707385,1.0,-0.009072302817367017,490.5941717529297,0.010902361944317818,0.10694434747099876
8,33721,7239,40960,18,193,343,73,111.51256909995573,302.3964049269975,-74.68612015727501,-74.68612015727501,1.0,-0.007728546747239306,238.50037117004393,0.01854752190411091,0.1318255920894444
9,37697,8383,46080,21,218,383,83,124.35341169999447,303.1440752984317,-75.99675923791266,-75.99675923791266,1.0,-0.004764610982965678,315.26133155822754,0.010444898158311844,0.1424938639625907
10,41813,9387,51200,24,240,433,93,137.66432340000756,303.73156216011813,-78.70138787556058,-78.70138787556058,1.0,-0.001268206280656159,287.00270614624026,0.031161675229668617,0.18670312531292438
11,46170,10150,56320,26,260,483,103,151.20122369995806,305.35467154432035,-65.57197247591456,-65.57197247591456,1.0,-0.0064279098110273485,322.65364227294924,0.009937847033143044,0.13590210393071175
12,50378,11062,61440,28,280,533,113,164.85350129997823,305.5925388465295,-66.69599728285752,-66.69599728285752,1.0,-0.007958695939742029,523.0277209472656,0.008134584873914719,0.1213867187872529
