train/ent_coef_loss,train/learning_rate,train/held_actor_updates,train/ent_coef,train/actor_updates,time/total_timesteps,train/n_updates,time/episodes,train/actor_loss,time/fps,time/time_elapsed,train/critic_loss
-1.0367888808250427,0.0003,0,0.7324520200490952,964,7420,964,40,-6.915447354316711,44,167,6.23808354139328
-3.7498281598091125,0.0003,0,0.3002103567123413,3968,14930,3968,80,-16.172561168670654,40,366,1.0737328231334686
-5.6768821477890015,0.0003,0,0.16256393864750862,6040,20110,6040,120,-18.7454776763916,38,526,1.1673088371753693
-6.259937405586243,0.0003,0,0.09457283839583397,7896,24750,7896,160,-19.63685131072998,35,690,0.8942083120346069
