collection,live_transitions,padded_transitions,counted_transitions,replay_size,world_decisions,worlds_completed,aircraft_completed,optimizer_steps,actor_optimizer_steps,entropy_optimizer_steps,gradient_rounds,wall_seconds,live_transitions_per_second,training_return_last100,native_return_last100,training_arrival_last100,actor_loss,critic_loss,entropy_coefficient
1,640,0,640,640,64,0,0,54,54,54,54,25.628994600003352,24.971716994310665,,,,0.03863031417131424,0.0008870715973898768,0.009994626976549625
2,1280,0,1280,1280,128,0,0,118,118,118,118,30.65552910000406,41.75429482311008,,,,0.004970227368175983,0.0005909610772505403,0.009732089936733246
