time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/entropy_loss,train/loss,train/value_loss,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/std,train/explained_variance,train/clip_range
2560,1,129,195.77777777777777,-1.421761706560062,19,,,,,,,,,,,
5120,1,159,190.9375,-0.9696684888498788,16,3.153289794921875,0.1212088018655777,0.12200970575213432,0.0003,0.27734375,0.022633670130744576,0.031221904,1,0.050014905631542206,0.640338659286499,0.2
7680,1,140,187.2962962962963,-1.3962906461234714,18,3.1527116298675537,0.13063839077949524,0.10592975467443466,0.0003,0.2939453125,0.01881868578493595,0.03323801,2,0.05002893507480621,0.7380590438842773,0.2
10240,1,139,186.325,-1.4023826927179441,18,3.152018944422404,0.23599247634410858,0.30593576033910114,0.0003,0.3346354166666667,0.0302043625464042,0.034657028,3,0.050049521028995514,0.36390864849090576,0.2
12800,1,137,183.04545454545453,-1.271408120877572,18,3.1505418479442597,0.020623087882995605,0.03832862339913845,0.0003,0.1546746764332056,-0.010553585388697684,0.020731807,13,0.05007033795118332,0.7407523989677429,0.2
15360,1,256,209.85714285714286,-1.909139780034111,9,3.149955835342407,-0.004531638231128454,0.04779923202469945,0.0003,0.25612499937415123,0.001685787788592279,0.01935211,23,0.05009536072611809,0.20614731311798096,0.2
17920,1,148,209.31666666666666,-1.9217849997804044,17,3.1493923902511596,0.03473985195159912,0.05214027057712277,0.0003,0.16640818373610575,-0.004968119928768526,0.012462522,33,0.05012548714876175,0.5473675727844238,0.2
20480,1,165,206.64705882352942,-1.8221460285717748,15,3.1455285847187042,0.025656884536147118,0.06123878932558,0.0003,0.15701607726514338,-0.011717721936292946,0.013362261,43,0.050306208431720734,0.8324180841445923,0.2
23040,1,183,205.22368421052633,-1.6223970786041644,13,3.1362643480300902,0.01612984761595726,0.036693849693983795,0.0003,0.16388531792908906,-0.012488381960429252,0.013904029,53,0.050556160509586334,0.8211384415626526,0.2
25600,1,293,212.3875,-1.5424718190044673,8,3.1261005640029906,0.020504191517829895,0.02119572807569057,0.0003,0.16015226393938065,-0.014488904242170975,0.0138964085,63,0.05083626136183739,0.7271220684051514,0.2
28160,1,175,206.51111111111112,-1.5035611865446636,14,3.118960070610046,0.020105058327317238,0.01391012528911233,0.0003,0.1340603303280659,-0.009489805059274659,0.012890883,73,0.050882913172245026,0.8724634647369385,0.2
30720,1,193,203.2,-1.502149090750519,13,3.1158144950866697,0.028117679059505463,0.05229056114330888,0.0003,0.19139110017567873,-0.014091974614711945,0.018171651,83,0.05104585736989975,0.802368700504303,0.2
