time,east_km,north_km,goal_distance_km,heading_deg,cas_mps,target_east_km,target_north_km,target_distance_km,clearance_km,residual_heading,residual_speed,commanded_heading_turn_deg,commanded_speed_action,traffic_projection_intervened,static_projection_intervened,static_projection_infeasible,nominal_static_violation,nominal_traffic_conflict,no_static_feasible_candidate,no_jointly_feasible_candidate,predicted_minimum_separation_km,predicted_risk_seconds,reference_heading_turn_deg,nominal_heading_adjustment_deg,nominal_speed_action,reference_speed_action,nominal_speed_adjustment
100.0,-34.9583281889284,52.25486011325208,125.12453516637089,138.90528910409589,162.99999999999994,14.613042157354485,-53.028906409107094,116.37006595831667,3.0,0.0,0.0,15.881973803043365,1.0,False,False,False,False,False,False,False,14.687770706787495,0.0,15.881973803043365,0.0,1.0,1.0,0.0
110.0,-34.06537726343216,50.86199135707409,123.47397358570495,154.72854005385275,162.99999999999994,14.613042157354442,-53.02890640910712,114.72971348333931,3.0,0.0,0.0,0.16586720827035606,1.0,False,False,False,False,False,False,False,14.447669150021492,0.0,0.16586720827035606,0.0,1.0,1.0,0.0
120.0,-33.35613868246978,49.36358712741371,121.82855604353556,154.89440726212308,162.99999999999994,14.6130421573544,-53.02890640910715,113.0719463132665,3.0,0.0,0.0,0.0032837019170983694,1.0,False,False,False,False,False,False,False,14.245565232290009,0.0,0.0032837019170983694,0.0,1.0,1.0,0.0
130.0,-32.647203887440035,47.86514266289455,120.18341311492682,154.89769096404018,162.99999999999994,14.61304215735445,-53.028906409107115,111.41427195093989,3.0,0.0,0.0,0.003231165392207913,1.0,False,False,False,False,False,False,False,14.04605954588217,0.0,0.003231165392207913,0.0,1.0,1.0,0.0
140.0,-31.938571274141104,46.36665861204138,118.53855596538236,154.9009221294324,162.99999999999994,14.613042157354478,-53.028906409107094,109.75669026965397,3.0,0.0,0.0,0.0031771473004482687,1.0,False,False,False,False,False,False,False,13.848608610193393,0.0,0.0031771473004482687,0.0,1.0,1.0,0.0
150.0,-31.230239200557232,44.868135641301855,116.89399638359946,154.90409927673284,162.99999999999994,14.613042157354467,-53.028906409107115,108.09920114358013,3.0,0.0,0.0,0.0031215736453305,1.0,False,False,False,False,False,False,False,13.653289969907709,0.0,0.0031215736453305,0.0,1.0,1.0,0.0
160.0,-30.522205984946943,43.36957443593873,115.24974682538955,154.90722085037817,162.99999999999994,14.613042157354457,-53.02890640910711,106.44180444778166,3.0,0.0,0.0,0.0030643723948742263,1.0,False,False,False,False,False,False,False,13.460184598917811,0.0,0.0030643723948742263,0.0,1.0,1.0,0.0
170.0,-29.81446990398618,41.870975700906264,113.6058204613753,154.91028522277304,162.99999999999994,14.613042157354492,-53.0289064091071,104.7845000582386,3.0,0.0,0.0,0.0030054652961553074,1.0,False,False,False,False,False,False,False,13.269377016243716,0.0,0.0030054652961553074,0.0,1.0,1.0,0.0
180.0,-29.10702919074999,40.37234016181348,111.96223122884807,154.9132906880692,162.99999999999994,14.61304215735445,-53.02890640910711,103.12728785188355,3.0,0.0,0.0,0.0029447704946505837,1.0,False,False,False,False,False,False,False,13.080955397468731,0.0,0.0029447704946505837,0.0,1.0,1.0,0.0
190.0,-28.399882032601916,38.8736685659111,110.3189938881682,154.91623545856385,162.99999999999994,14.613042157354442,-53.02890640910711,101.47016770662093,3.0,0.0,0.0,0.002882199587475043,1.0,False,False,False,False,False,False,False,12.895011680571175,0.0,0.002882199587475043,0.0,1.0,1.0,0.0
200.0,-27.693026568913858,37.37496168316537,108.676124084225,154.91911765815132,162.99999999999994,14.61304215735445,-53.02890640910712,99.81313950135393,3.0,0.0,0.0,0.00281765893305419,1.0,False,False,False,False,False,False,False,12.71164166376129,0.0,0.00281765893305419,0.0,1.0,1.0,0.0
210.0,-26.98646088865144,35.87622030742653,107.03363841348633,154.92193531708438,162.99999999999994,14.613042157354482,-53.0289064091071,98.15620311604131,3.0,0.0,0.0,0.002751048668869771,1.0,False,False,False,False,False,False,False,12.53094509336218,0.0,0.002751048668869771,0.0,1.0,1.0,0.0
220.0,-26.28018302779851,34.377445257605345,105.39155449717023,154.92468636575325,162.99999999999994,14.613042157354453,-53.02890640910711,96.49935843169443,3.0,0.0,0.0,0.002682261238078354,1.0,False,False,False,False,False,False,False,12.353025739145883,0.0,0.002682261238078354,0.0,1.0,1.0,0.0
