time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,train/approx_kl,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/std,train/clip_range,train/learning_rate,train/value_loss,train/loss
1,0.35900713729579115,200.0,42,5120,120,,,,,,,,,,,
1,0.3454768135401478,261.375,24,10240,207,0.01057729,10,3.151819624900818,-0.003676296700723469,0.6457210183143616,0.1745247395336628,0.05003003776073456,0.2,0.0003,0.01825706608593464,0.028528952971100807
1,0.33491026293557496,267.09375,38,15360,133,0.012705798,20,3.1519971609115602,-0.011058949143625795,0.8626295924186707,0.13610846797625223,0.05005535110831261,0.2,0.0003,0.0066120174325381715,0.01338852010667324
1,0.34202784364576916,245.2,24,20480,205,0.012381039,30,3.146092301607132,-0.012650209649291356,0.7895671129226685,0.1453446926549077,0.0503397062420845,0.2,0.0003,0.006861750100506469,0.018603116273880005
1,0.3431147976638601,237.61016949152543,39,25600,128,0.015382801,40,3.1377957661946616,-0.008456894452683628,0.8687126040458679,0.1527504996707042,0.050450049340724945,0.2,0.0003,0.005286197791186472,0.005530999973416328
1,0.34623530492094623,240.92424242424244,52,30720,97,0.0147295855,50,3.13637028336525,-0.0071033878455637025,0.7216663360595703,0.11319397371262312,0.050383031368255615,0.2,0.0003,0.005512370250653475,0.01997767761349678
1,0.2762259555776625,261.8101265822785,39,35840,131,0.010884281,60,3.137082648277283,-0.010382490133633838,0.8287593126296997,0.14649948934093118,0.050466202199459076,0.2,0.0003,0.006145039026159793,0.025631068274378777
1,0.28091144764933856,258.84090909090907,27,40960,185,0.011519023,70,3.1336753209431967,-0.009828605079868187,0.7661315202713013,0.1478830508887768,0.050514400005340576,0.2,0.0003,0.0050998229766264554,0.013253066688776016
1,0.29271200236198514,249.27,38,46080,131,0.016085539,80,3.1326894998550414,-0.011504296108614653,0.911464273929596,0.13545359075069427,0.05053981766104698,0.2,0.0003,0.002929354674415663,0.017235884442925453
1,0.30445033398522914,225.6,32,51200,157,0.011522136,90,3.131304866075516,-0.012895696063060314,0.8075324296951294,0.155460780672729,0.05057048797607422,0.2,0.0003,0.0030864206084515898,0.012680256739258766
1,0.29677608036482156,239.86,17,56320,297,0.014355756,100,3.1340047836303713,-0.010540671006310731,0.8567721843719482,0.13295219670981168,0.050418656319379807,0.2,0.0003,0.002672403128235601,0.006972806993871927
1,0.2948261127381753,241.08,36,61440,138,0.016026162,110,3.137334680557251,-0.010827165003865958,0.8496835231781006,0.18644976555369794,0.050406694412231445,0.2,0.0003,0.0025059977313503625,0.0037615809123963118
1,0.2958605650105104,239.22,32,66560,157,0.013310864,120,3.136867123842239,-0.010950369737111032,0.833945631980896,0.14723423607647418,0.05043494701385498,0.2,0.0003,0.0027618400519713758,0.005481552332639694
1,0.25739768197346896,258.55,34,71680,148,0.012241958,130,3.1317371010780333,-0.00654075667152938,0.8240860104560852,0.1862718988209963,0.05070853978395462,0.2,0.0003,0.00426500357571058,0.01636406034231186
1,0.30910614853481183,243.25,28,76800,177,0.01554974,140,3.127342754602432,-0.011476052831858397,0.8179199695587158,0.14443086311221123,0.05053282529115677,0.2,0.0003,0.002685997454682365,0.01609279029071331
1,0.3024900746310085,247.56,26,81920,193,0.014017623,150,3.1343013207117716,-0.01119005134096369,0.8610316514968872,0.14183982930456598,0.05048462748527527,0.2,0.0003,0.0024208416735442976,0.01650881953537464
1,0.30332030920495745,246.6,32,87040,158,0.023145882,160,3.1344658931096396,-0.002984021254815161,0.849073052406311,0.20126953125,0.05048414319753647,0.2,0.0003,0.0031560275238007307,-0.08289673179388046
1,0.2994348027586064,256.5,19,92160,260,0.011526883,170,3.137856101989746,-0.011559231308638118,0.8897351622581482,0.12685651816427707,0.0502982959151268,0.2,0.0003,0.00176548840245232,0.013355325907468796
1,0.295566953836973,263.28,40,97280,125,0.0143488925,180,3.1454885363578797,-0.012178636650787666,0.872068464756012,0.1344042955432087,0.05007179081439972,0.2,0.0003,0.002033703221241012,0.027883388102054596
1,0.2955809742009147,261.63,36,102400,139,0.015888697,190,3.152354613939921,-0.014226137334480882,0.8616088628768921,0.17579315391679604,0.050059109926223755,0.2,0.0003,0.002312954678200185,0.013665450736880302
1,0.29474942234550505,263.83,24,107520,212,0.012836428,200,3.14754900932312,-0.01190517949871719,0.8950808048248291,0.16734701730310916,0.050248585641384125,0.2,0.0003,0.001899146128562279,0.0034977092873305082
1,0.30133289593955076,258.7,41,112640,123,0.015315119,210,3.1422617117563885,-0.009479764887752632,0.9229251742362976,0.17962239688883225,0.05033563822507858,0.2,0.0003,0.001190720550948754,0.029819315299391747
1,0.2980998981993539,268.81,24,117760,208,0.012033046,220,3.1389307975769043,-0.014227959932759405,0.8382018804550171,0.14798881988972426,0.050383925437927246,0.2,0.0003,0.00187731190235354,0.005203854292631149
1,0.33593852994422124,249.14,28,122880,179,0.019490095,230,3.136433744430542,-0.012896613435198863,0.96232008934021,0.18837519759933155,0.05049945414066315,0.2,0.0003,0.0012330531899351627,0.007219459395855665
1,0.334552729465028,253.4,41,128000,123,0.015252027,240,3.1333166042963665,-0.007973852765280754,0.9407775402069092,0.17748340765635173,0.0505104586482048,0.2,0.0003,0.002205526850108678,0.007094621192663908
1,0.3471346198546453,246.26,30,133120,167,0.01600734,250,3.1313524723052977,-0.017425868551557262,0.8868473768234253,0.17917083265880743,0.050644464790821075,0.2,0.0003,0.0015546654836119463,0.010296838358044624
1,0.3418750242565794,258.7,33,138240,151,0.013686709,260,3.1303561051686604,-0.015409910845725487,0.8164114952087402,0.1514100944933792,0.05045309662818909,0.2,0.0003,0.0018765742890536786,-0.0021333112381398678
1,0.34582969935245295,249.7,33,143360,151,0.01494575,270,3.14029221534729,-0.01388658092667659,0.7851308584213257,0.16452574220796426,0.05021895468235016,0.2,0.0003,0.002093602728564292,0.023603981360793114
1,0.3303595565825777,261.91,25,148480,202,0.014327411,280,3.144977533817291,-0.008854126627556979,0.9316719174385071,0.16025390625,0.05023966729640961,0.2,0.0003,0.0011381726260879077,0.017473090440034866
1,0.3265583161830286,265.34,46,153600,109,0.021295626,290,3.1436068296432493,-0.0169851186015876,0.7953804731369019,0.15635611325269566,0.05028669536113739,0.2,0.0003,0.0011206496361410244,0.009979057125747204
1,0.3330134317298221,251.63,26,158720,191,0.016354674,300,3.13712255358696,-0.015509246557485312,0.885545015335083,0.15025400724262,0.05056542158126831,0.2,0.0003,0.0016059784320532344,0.0010771616362035275
1,0.3211563393517131,259.8,31,163840,162,0.02268231,310,3.12880220413208,-0.01708617196030294,0.9188970923423767,0.21138970867420237,0.05068354681134224,0.2,0.0003,0.001339156273752451,-0.0009808314498513937
1,0.3210312489928717,267.65,36,168960,141,0.01609647,320,3.125306487083435,-0.013189719314944644,0.9229454398155212,0.17404084131121636,0.05074983835220337,0.2,0.0003,0.0014521706538895766,0.01241353340446949
1,0.3205826571854526,262.93,32,174080,159,0.012212588,330,3.1215899149576822,-0.015092328600925005,0.9457709193229675,0.16820967396100361,0.05088759958744049,0.2,0.0003,0.0011114272094952563,-0.00010535158799029887
1,0.32445733330461524,261.42,27,179200,185,0.015319202,340,3.115847086906433,-0.014871612230005363,0.9271069169044495,0.16835609786212444,0.051004357635974884,0.2,0.0003,0.001158410390295709,0.017318274825811386
1,0.3205169108747972,271.47,15,184320,337,0.014988448,350,3.1164668639500936,-0.011354773514904081,0.9192143678665161,0.13364823646843432,0.05083102732896805,0.2,0.0003,0.0011894998276450982,0.014651344157755375
1,0.3116650845850626,263.84,33,189440,150,0.018781148,360,3.1211228489875795,-0.008250192240666365,0.9214210510253906,0.19269348606467246,0.050835177302360535,0.2,0.0003,0.0011792032688390463,0.009585379622876644
