rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_len_mean,train/clip_range,train/explained_variance,train/learning_rate,train/clip_fraction,train/value_loss,train/n_updates,train/loss,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/std
-0.4548335608643158,180,2560,1,14,196.0,,,,,,,,,,,
-0.653504726538028,191,5120,1,13,194.23529411764707,0.2,0.52402663230896,0.0003,0.16470108717679977,0.038185104373842475,10,0.04254851117730141,-0.011582127129659057,0.014323173,2.4235770177841185,0.010057122446596622
-0.8354081173837867,227,7680,1,11,211.7,0.2,0.24372291564941406,0.0003,0.1275544986128807,0.04053733237087727,20,0.0035496787168085575,-0.011345668890862725,0.012456388,2.461244010925293,0.010096268728375435
-0.8170122873437096,179,10240,1,14,206.36666666666667,0.2,0.6577877998352051,0.0003,0.14878417352835338,0.034819017599026364,30,0.009841717779636383,-0.011406486853957176,0.015586204,2.5055824677149454,0.010107866488397121
-0.6937480639849726,220,12800,1,11,208.8918918918919,0.2,0.6791545748710632,0.0003,0.1544226599857211,0.012685316591523587,40,0.011996892280876637,-0.009953882405534386,0.014811727,2.4797845780849457,0.010114726610481739
-1.4083449042877667,273,15360,1,9,238.225,0.2,0.6124658584594727,0.0003,0.107764716198047,0.033697752219935255,50,0.012973454780876637,-0.010997524436485643,0.012655196,2.5053478797276814,0.01012201514095068
-1.2516876177312906,185,17920,1,13,226.86,0.2,0.700563371181488,0.0003,0.15504966606386006,0.11551997251808643,60,0.03815208747982979,-0.01280755790648982,0.015673194,2.61172935962677,0.010117030702531338
-1.213436036110627,186,20480,1,13,219.18333333333334,0.2,0.5929261445999146,0.0003,0.12465432789176703,0.03912572441622615,70,0.012997019104659557,-0.01080357096507214,0.0128573105,2.514809650182724,0.01010726299136877
-1.1053899435317602,162,23040,1,15,215.34285714285716,0.2,0.6323714256286621,0.0003,0.1572265626862645,0.033712396724149586,80,0.013226693496108055,-0.014144305323134177,0.0154186115,2.5352400600910188,0.010096567682921886
-1.0470531057828514,188,25600,1,13,215.0253164556962,0.2,0.7804892659187317,0.0003,0.14651714283972977,0.02546141904313117,90,0.016033004969358444,-0.010409082740079612,0.012514772,2.533473879098892,0.010082274675369263
-1.0073106774655634,173,28160,1,14,213.91666666666666,0.2,0.755893349647522,0.0003,0.16225784104317426,0.02563130436465144,100,0.008276741951704025,-0.018715804337989538,0.016885487,2.544296157360077,0.010085923597216606
-1.1194243234678716,261,30720,1,9,220.92222222222222,0.2,0.7951148748397827,0.0003,0.14697139896452427,0.04534602332860231,110,0.026236210018396378,-0.013648925893357955,0.013827581,2.550933313369751,0.010077432729303837
-0.9808859795905118,168,33280,1,15,216.4,0.2,0.8528605699539185,0.0003,0.17145696183045706,0.009020343469455839,120,-0.004422913305461407,-0.011031491837153832,0.013952422,2.5618337392807007,0.010085184127092361
-1.0771229091628682,217,35840,1,11,213.77,0.2,0.7592587471008301,0.0003,0.20593057721853256,0.020297683887183667,130,0.0035590766929090023,-0.00754710502922535,0.015998181,2.5406950950622558,0.01009479258209467
-1.0379731912546128,186,38400,1,13,215.22,0.2,0.7852168679237366,0.0003,0.18007636591792106,0.035531044130524,140,0.008780338801443577,-0.016403296582090356,0.019492146,2.5454254229863484,0.010109870694577694
-0.9677969135085344,344,40960,1,7,219.95,0.2,0.6648260354995728,0.0003,0.15577757880091667,0.0165115772979334,150,0.005150115117430687,-0.011743985046632589,0.013563385,2.5297403156757357,0.010114060714840889
-1.0180470775454986,164,43520,1,15,223.55,0.2,0.9067249298095703,0.0003,0.19580078125,0.004394221131224185,160,0.010689415037631989,-0.00825594828929752,0.017668206,2.566119039058685,0.010126280598342419
-1.0712538406319114,228,46080,1,11,227.5,0.2,0.7958661913871765,0.0003,0.17309293244034052,0.044762150337919596,170,0.015281559899449348,-0.015949569770600646,0.019010913,2.53338223695755,0.010158354416489601
-0.8542804209986589,182,48640,1,14,211.66,0.2,0.9111034870147705,0.0003,0.1547287846604983,0.0329306879080832,180,0.0018662256188690662,-0.018089988509503503,0.017689034,2.558821177482605,0.01017838902771473
-0.8207804754168015,195,51200,1,13,209.74,0.2,0.7738349437713623,0.0003,0.231105940773132,0.028402230417494602,190,0.03864152729511261,-0.01697181615522726,0.047064543,2.5456892530968847,0.0101842749863863
-0.79681542061754,197,53760,1,12,213.01,0.2,0.7981769442558289,0.0003,0.18138055420584148,0.0489049938817819,195,0.06925944238901138,-0.00259483908303082,0.043593816,2.526030500729879,0.010178121738135815
-1.0171054575843865,130,56320,1,19,214.99,0.2,0.780623733997345,0.0003,0.13847969956696032,0.012229456729255617,205,-0.002541620982810855,-0.017813403543550523,0.018827615,2.5226206183433533,0.010185838676989079
-1.1593121602112215,109,58880,1,23,214.6,0.2,0.7778750658035278,0.0003,0.16891598980873823,0.08272671429440379,215,0.011162269860506058,-0.019050828230683693,0.018531047,2.5352923214435577,0.010199950076639652
-1.1369241924944262,128,61440,1,19,215.31,0.2,0.7864527702331543,0.0003,0.20400092788040639,0.03502864195033908,225,0.004102329723536968,-0.019416856265161188,0.020542156,2.5322950541973115,0.010234984569251537
-1.0153308103302148,156,64000,1,16,208.2,0.2,0.8145927786827087,0.0003,0.14978970736265182,0.01874455859263738,235,0.00427534244954586,-0.016626574337715284,0.014873598,2.5385213534037274,0.010233110748231411
-1.0890096692760043,157,66560,1,16,208.17,0.2,0.8597562909126282,0.0003,0.23289766833186148,0.017077724784612655,245,0.0030181584879755974,-0.013871826655231416,0.027059685,2.5399472665786744,0.010235217399895191
-1.0693547235709742,155,69120,1,16,208.84,0.2,0.8686302304267883,0.0003,0.18107865899801254,0.02727152155712247,255,0.009315681643784046,-0.013755766616668552,0.017505493,2.5352662980556486,0.01023449469357729
-0.9674211326348108,169,71680,1,15,217.57,0.2,0.732909083366394,0.0003,0.17975795529782773,0.00645271260291338,265,0.0025755586102604866,-0.0150069690469536,0.025428563,2.5484729766845704,0.010239781811833382
-0.9897746556268053,121,74240,1,21,204.36,0.2,0.8597057461738586,0.0003,0.18817997612059117,0.028007025830447674,275,0.004524454474449158,-0.016436046276551982,0.01829885,2.561032032966614,0.010249114595353603
