case,episode,agent,decision,critic_value,discounted_realized_return,future_intrusion_delay_seconds,advantage_lambda_0.95,advantage_lambda_0.99,advantage_lambda_1.0
std005,0,KL001,0,-0.5910470485687256,-0.5395778923702628,775,0.05850120236431108,0.2194178911976597,0.051469156198462
std005,0,KL001,1,-0.5293183922767639,-0.5414668906177503,770,-0.005359803730260185,0.15796837314963377,-0.012148498340987248
std005,0,KL001,2,-0.5295969247817993,-0.5433609316228875,765,-0.007317396047821237,0.15853425661455692,-0.013764006841088906
std005,0,KL001,3,-0.5424928069114685,-0.545261392584776,760,0.0038953816040722955,0.1718518891557803,-0.0027685856733082326
std005,0,KL001,4,-0.6592521071434021,-0.5471684946371814,755,0.12502203026670608,0.2902180972709058,0.11208361250622004
std005,0,KL001,5,-0.6766551733016968,-0.5490825353830219,750,0.1479540935196987,0.30942551909934374,0.12757263791867435
std005,0,KL001,6,-0.5984152555465698,-0.5510033004047747,745,0.07143665532280712,0.2322242484157401,0.04741195514179449
std005,0,KL001,7,-0.597517728805542,-0.5529310041790381,740,0.07231115967492868,0.23237025918345613,0.04458672462650328
std005,0,KL001,8,-0.5948479175567627,-0.5548654580348431,735,0.07137266784470962,0.23073125585736315,0.039982459521918985
std005,0,KL001,9,-0.5457562208175659,-0.5568066747297966,730,0.021526040313410124,0.18218856689000185,-0.011050453912231337
std005,0,KL001,10,-0.5436913371086121,-0.558754532601838,725,0.018555199037511363,0.18065948410722743,-0.015063195493226642
std005,0,KL001,11,-0.6320253610610962,-0.560709189150998,720,0.11058142880738236,0.2704289066892986,0.07131617191009755
std005,0,KL001,12,-0.6435690522193909,-0.5626704707660352,715,0.1266330679482579,0.28354440434169337,0.08089858145335505
std005,0,KL001,13,-0.6516587138175964,-0.5646385902342564,710,0.13991037150875038,0.2933090602473949,0.08702012358333938
std005,0,KL001,14,-0.656662106513977,-0.5666135830969071,705,0.15065693294531934,0.30006085643018093,0.09004852341706929
std005,0,KL001,15,-0.6626445651054382,-0.5685954872241445,700,0.16302088945599058,0.3078760046281555,0.09404907788129296
std005,0,KL001,16,-0.6710158586502075,-0.5705843150127848,695,0.17857370123598873,0.31818956516019964,0.10043154363742196
std005,0,KL001,17,-0.675171434879303,-0.5725800898225261,690,0.19053399404971463,0.3243558983160485,0.10259134505677624
std005,0,KL001,18,-0.680903434753418,-0.5745828335321896,685,0.20481197949119856,0.3321840052284591,0.10632060122122768
std005,0,KL001,19,-0.690442681312561,-0.5765925821703071,680,0.22388059786775436,0.34394431843590334,0.11385009914225334
std005,0,KL001,20,-0.699424147605896,-0.5786093421183807,675,0.24340086855995008,0.3552678996588189,0.12081480548751475
std005,0,KL001,21,-0.7063746452331543,-0.5806331530331422,670,0.2618495451872259,0.364662681537369,0.12574149220001152
std005,0,KL001,22,-0.5877155065536499,-0.5826640323179703,665,0.149090966044283,0.24728261320753833,0.0050514742356790945
std005,0,KL001,23,-0.5919839143753052,-0.5847023795108479,660,0.15981653377198668,0.25289029759764947,0.007281534864456679
std005,0,KL001,24,-0.6189137101173401,-0.5867470181243081,655,0.1949854079623783,0.2814505150592857,0.0321666919930315
std005,0,KL001,25,-0.6246669292449951,-0.58879874202882,650,0.209744612177458,0.2889145878884964,0.03586818721617463
std005,0,KL001,26,-0.6296185255050659,-0.5908576270573668,645,0.22447004778589824,0.2956504182139418,0.038760898447698595
std005,0,KL001,27,-0.6333731412887573,-0.5929237041951554,640,0.23874659736328044,0.3012515526814194,0.04044943709360133
std005,0,KL001,28,-0.6332229971885681,-0.594996993634493,635,0.24970310558813727,0.30297162449464743,0.03822600355407458
std005,0,KL001,29,-0.6346680521965027,-0.5970775291786518,630,0.2629564115206253,0.3063270203828152,0.03759052301785046
std005,0,KL001,30,-0.5285118818283081,-0.5991653360967578,625,0.16368638227303803,0.20103498222918895,-0.07065345426845025
std005,0,KL001,31,-0.5254198908805847,-0.6012604949722973,620,0.16770558312887332,0.1987876410251222,-0.07584060409171307
