episode,agent,scenario_sha256,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,KL007,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,1.0,670.0,1.0,14.0,0.0,0.0,0.0,0.0,24.166906967648412
0,KL0010,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,1.0,692.0,2.0,84.0,0.0,0.0,0.0,0.0,-42.032244191235144
0,KL009,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,1.0,780.0,3.0,198.0,0.0,0.0,0.0,0.0,-149.84382491261616
0,KL002,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,1.0,862.0,0.0,0.0,0.0,0.0,0.0,0.0,37.41272974813764
0,KL005,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,1.0,1030.0,3.0,209.0,0.0,0.0,0.0,0.0,-160.2477550548275
0,KL003,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,1.0,1060.0,0.0,0.0,0.0,0.0,0.0,0.0,37.264912731043324
0,KL001,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,1.0,1086.0,2.0,141.0,0.0,0.0,0.0,0.0,-96.04017398220358
0,KL006,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,1.0,1166.0,2.0,134.0,0.0,0.0,0.0,0.0,-89.37917232797301
0,KL008,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,1.0,1231.0,4.0,216.0,0.0,0.0,0.0,0.0,-166.96428375249843
0,KL004,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,1.0,1633.0,3.0,114.0,0.0,0.0,0.0,0.0,-70.4911639118774
1,KL007,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,1.0,725.0,4.0,205.0,0.0,0.0,0.0,0.0,-156.46628395989674
1,KL0010,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,1.0,735.0,4.0,174.0,0.0,0.0,0.0,0.0,-127.14698103878615
1,KL005,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,1.0,741.0,1.0,26.0,0.0,0.0,0.0,0.0,12.817054911501689
1,KL003,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,1.0,748.0,3.0,160.0,0.0,0.0,0.0,0.0,-113.90467665799795
1,KL004,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,1.0,864.0,2.0,118.0,0.0,0.0,0.0,0.0,-74.19028205147742
1,KL001,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,1.0,868.0,2.0,111.0,0.0,0.0,0.0,0.0,-67.5762677196555
1,KL006,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,1.0,896.0,5.0,450.0,0.0,0.0,0.0,0.0,-388.16025771752425
1,KL009,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,1.0,952.0,3.0,341.0,0.0,0.0,0.0,0.0,-285.0777551107966
1,KL008,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,1.0,1038.0,1.0,117.0,0.0,0.0,0.0,0.0,-73.35225776473922
1,KL002,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,1.0,1117.0,3.0,190.0,0.0,0.0,0.0,0.0,-142.2824450251183
