case,episode,agent,scenario_sha256,decision,start_seconds,terminal,heading_action,speed_action,critic_value,native_reward,reward_goal,reward_intrusion,reward_restricted,reward_outside,reward_drift,intrusion_seconds,intrusion_events,predicted_threats,earliest_predicted_entry_seconds
std005,0,KL001,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,0,0,0,-0.025371341034770012,-0.049447424709796906,-0.5910470485687256,-0.00015500073491646796,0.0,-0.0,-0.0,-0.0,-0.00015500073491646796,0.0,0.0,0,
std005,0,KL002,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,0,0,0,-0.0014850418083369732,-0.016195857897400856,-0.1999112218618393,-2.4279945809824326e-06,0.0,-0.0,-0.0,-0.0,-2.4279945809824326e-06,0.0,0.0,0,
std005,0,KL003,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,0,0,0,0.052700720727443695,-0.02508535422384739,-0.3308161199092865,-0.00015234960687438077,0.0,-0.0,-0.0,-0.0,-0.00015234960687438077,0.0,0.0,0,
std005,0,KL004,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,0,0,0,0.00029651541262865067,-0.05766482651233673,-0.4550371468067169,-0.00015471221779496345,0.0,-0.0,-0.0,-0.0,-0.00015471221779496345,0.0,0.0,0,
std005,0,KL005,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,0,0,0,0.06441348046064377,-0.0489298477768898,-0.9100840091705322,-0.00010507496626083643,0.0,-0.0,-0.0,-0.0,-0.00010507496626083643,0.0,0.0,0,
std005,0,KL006,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,0,0,0,0.03497149050235748,-0.021365266293287277,-0.37088721990585327,-0.0001564678672389545,0.0,-0.0,-0.0,-0.0,-0.0001564678672389545,0.0,0.0,0,
std005,0,KL007,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,0,0,0,0.03955365717411041,-0.009259996935725212,-0.03424493223428726,-6.46804822680675e-05,0.0,-0.0,-0.0,-0.0,-6.46804822680675e-05,0.0,0.0,0,
std005,0,KL008,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,0,0,0,0.005684155970811844,-0.024163266643881798,-0.7912315130233765,-0.000155005895619862,0.0,-0.0,-0.0,-0.0,-0.000155005895619862,0.0,0.0,0,
std005,0,KL009,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,0,0,0,0.0735834538936615,-0.03247125446796417,-0.7200561165809631,-0.00012012062209099744,0.0,-0.0,-0.0,-0.0,-0.00012012062209099744,0.0,0.0,0,
std005,0,KL0010,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,0,0,0,0.007069408893585205,-0.01564619317650795,-0.45425641536712646,-1.156586145797077e-05,0.0,-0.0,-0.0,-0.0,-1.156586145797077e-05,0.0,0.0,0,
