case,episode,agent,scenario_sha256,decision,start_seconds,terminal,heading_action,speed_action,critic_value,native_reward,reward_goal,reward_intrusion,reward_restricted,reward_outside,reward_drift,intrusion_seconds,intrusion_events,predicted_threats,earliest_predicted_entry_seconds
initial,0,KL002,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,2,10,0,0.0,0.0,0.16778895258903503,-2.6243789785553305e-10,0.0,-0.0,-0.0,-0.0,-2.6243789785553305e-10,0.0,0.0,0,
initial,0,KL003,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,2,10,0,0.0,0.0,0.6398763656616211,-0.00046726597050761586,0.0,-0.0,-0.0,-0.0,-0.00046726597050761586,0.0,0.0,0,
initial,0,KL004,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,2,10,0,0.0,0.0,0.5558421015739441,-0.0004677407125731781,0.0,-0.0,-0.0,-0.0,-0.0004677407125731781,0.0,0.0,0,
initial,0,KL005,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,2,10,0,0.0,0.0,-0.23058155179023743,-3.397589560532625e-10,0.0,-0.0,-0.0,-0.0,-3.397589560532625e-10,0.0,0.0,0,
initial,0,KL006,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,2,10,0,0.0,0.0,0.8391022682189941,-0.00046971900392083637,0.0,-0.0,-0.0,-0.0,-0.00046971900392083637,0.0,0.0,0,
initial,0,KL007,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,2,10,0,0.0,0.0,0.2800261974334717,-2.8726459860724965e-10,0.0,-0.0,-0.0,-0.0,-2.8726459860724965e-10,0.0,0.0,0,
initial,0,KL008,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,2,10,0,0.0,0.0,0.6358144283294678,-0.000306028569524837,0.0,-0.0,-0.0,-0.0,-0.000306028569524837,0.0,0.0,0,
initial,0,KL009,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,2,10,0,0.0,0.0,-0.24425986409187317,-1.9046222130167123e-10,0.0,-0.0,-0.0,-0.0,-1.9046222130167123e-10,0.0,0.0,0,
initial,0,KL0010,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,2,10,0,0.0,0.0,0.8668767213821411,-3.6386950636590874e-10,0.0,-0.0,-0.0,-0.0,-3.6386950636590874e-10,0.0,0.0,0,
initial,0,KL001,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,3,15,0,0.0,0.0,0.18529167771339417,-0.00027815548727245766,0.0,-0.0,-0.0,-0.0,-0.00027815548727245766,0.0,0.0,0,
initial,0,KL002,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,3,15,0,0.0,0.0,0.1624043583869934,-2.604203975891738e-10,0.0,-0.0,-0.0,-0.0,-2.604203975891738e-10,0.0,0.0,0,
initial,0,KL003,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,3,15,0,0.0,0.0,0.6162676811218262,-0.0006263952478759788,0.0,-0.0,-0.0,-0.0,-0.0006263952478759788,0.0,0.0,0,
initial,0,KL004,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,3,15,0,0.0,0.0,0.5247064828872681,-0.000625348072317064,0.0,-0.0,-0.0,-0.0,-0.000625348072317064,0.0,0.0,0,
initial,0,KL005,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,3,15,0,0.0,0.0,-0.22296687960624695,-3.3740776770151847e-10,0.0,-0.0,-0.0,-0.0,-3.3740776770151847e-10,0.0,0.0,0,
initial,0,KL006,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,3,15,0,0.0,0.0,0.8805868625640869,-0.00047417330154177586,0.0,-0.0,-0.0,-0.0,-0.00047417330154177586,0.0,0.0,0,
