episode,agent,scenario_sha256,waypoint_reached,flight_time,intrusion_events,intrusion_time,restricted_area_events,time_in_restricted_area,sector_exit_events,time_outside_sector,total_reward
0,KL007,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,1.0,762.0,2.0,110.0,0.0,0.0,0.0,0.0,-66.642143183429
0,KL009,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,1.0,767.0,0.0,0.0,0.0,0.0,0.0,0.0,37.35325886918325
0,KL005,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,1.0,1072.0,0.0,0.0,0.0,0.0,0.0,0.0,37.358427627896916
0,KL0010,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,1.0,1177.0,1.0,201.0,0.0,0.0,0.0,0.0,-152.77245098517048
0,KL002,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,1.0,1185.0,0.0,0.0,0.0,0.0,0.0,0.0,37.32583446753116
0,KL003,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,1.0,1543.0,0.0,0.0,0.0,0.0,0.0,0.0,37.17774456275442
0,KL001,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,1.0,1695.0,2.0,103.0,0.0,0.0,0.0,0.0,-60.245596737069945
0,KL006,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,1.0,1908.0,1.0,54.0,0.0,0.0,0.0,0.0,-13.789981631804288
0,KL004,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,1.0,2049.0,1.0,61.0,0.0,0.0,0.0,0.0,-20.552950885197497
0,KL008,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,1.0,2136.0,1.0,201.0,0.0,0.0,0.0,0.0,-152.84902326958363
1,KL005,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,1.0,1336.0,3.0,242.0,0.0,0.0,0.0,0.0,-191.49440146491472
1,KL0010,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,1.0,1381.0,1.0,77.0,0.0,0.0,0.0,0.0,-35.473198044680665
1,KL007,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,1.0,1403.0,0.0,0.0,0.0,0.0,0.0,0.0,37.32469048207237
1,KL003,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,1.0,1479.0,3.0,283.0,0.0,0.0,0.0,0.0,-230.33721951429914
1,KL006,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,1.0,1568.0,2.0,294.0,0.0,0.0,0.0,0.0,-240.69652816584966
1,KL004,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,1.0,1606.0,1.0,129.0,0.0,0.0,0.0,0.0,-84.64733972159001
1,KL001,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,1.0,1708.0,0.0,0.0,0.0,0.0,0.0,0.0,37.263349625817874
1,KL008,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,1.0,1716.0,0.0,0.0,0.0,0.0,0.0,0.0,37.187701676524746
1,KL009,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,1.0,1790.0,1.0,244.0,0.0,0.0,0.0,0.0,-193.49934248165243
1,KL002,ccab10940199f04759a7aee3b98da016aa5c2c4f70da11a1ab00aafd823377c1,1.0,1991.0,1.0,115.0,0.0,0.0,0.0,0.0,-71.45950514428444
