case,episode,agent,decision,critic_value,discounted_realized_return,future_intrusion_delay_seconds,advantage_lambda_0.95,advantage_lambda_0.99,advantage_lambda_1.0
initial,0,KL001,19,-0.3128848969936371,-0.4009025691869156,640,0.42271689654591005,0.2617775865990557,-0.08801767219327875
initial,0,KL001,20,-0.3150908350944519,-0.40230413848398466,635,0.44769553561210307,0.26647227827985914,-0.08721330338953302
initial,0,KL001,21,-0.31705111265182495,-0.4037105970659363,630,0.47381426211718425,0.270975078912568,-0.08665948441411164
initial,0,KL001,22,0.11854410171508789,-0.405121961764788,625,0.0408120535602187,-0.16644286160060573,-0.5236660634798761
initial,0,KL001,23,0.11615383625030518,-0.4065382494655106,620,0.046067188973657934,-0.16587601816307956,-0.522692085715816
initial,0,KL001,24,0.11388838291168213,-0.40795947710605746,615,0.051478118988636135,-0.16543595263896144,-0.5218478600177399
initial,0,KL001,25,0.016125410795211792,-0.4093856616773876,610,0.15770916374337132,-0.06853573921548052,-0.4255110724725996
initial,0,KL001,26,0.014281511306762695,-0.4108168202234846,605,0.16859512721267386,-0.06754771807194793,-0.4250983315302475
initial,0,KL001,27,0.012659609317779541,-0.4122529698413699,600,0.17985372784411877,-0.06677696229575156,-0.42491257915914965
initial,0,KL001,28,0.01124456524848938,-0.41369412768111086,595,0.1915227079903084,-0.06621035689310789,-0.42493869292960046
initial,0,KL001,29,0.3541201949119568,-0.41514031094582304,590,-0.15856754691550254,-0.4134093639707686,-0.76926050585778
initial,0,KL001,30,0.35367217659950256,-0.4165915368916667,585,-0.16571687414848496,-0.4173391445693938,-0.7702637134911695
initial,0,KL001,31,0.35322991013526917,-0.4180478228278371,580,-0.17327653059602352,-0.4213298985680467,-0.7712777329631064
initial,0,KL001,32,0.35297542810440063,-0.41950918611654814,575,-0.1814612175452265,-0.4255663082249497,-0.7724846142209489
initial,0,KL001,33,0.3527129590511322,-0.4209756441730102,570,-0.19009936836639912,-0.42985331040202823,-0.7736886032241426
initial,0,KL001,34,0.35244253277778625,-0.42244721446539996,565,-0.19921658245779658,-0.43419165317376573,-0.7748897472431864
initial,0,KL001,35,0.35183942317962646,-0.4239239145148242,560,-0.2084980525275832,-0.4382540584349162,-0.7757633376944508
initial,0,KL001,36,0.3512074649333954,-0.42540576189527524,555,-0.2182740819803065,-0.44234484308055116,-0.7766132268286707
initial,0,KL001,37,0.30148863792419434,-0.4268927742335791,550,-0.17693260907317174,-0.39691094022609286,-0.7283814121577735
initial,0,KL001,38,0.2998161315917969,-0.42838496920933544,545,-0.18402121174654618,-0.39956488334020235,-0.7282011008011324
initial,0,KL001,39,0.294711709022522,-0.4298823645548494,540,-0.18790263844842078,-0.3987943356697481,-0.7245940735773715
initial,0,KL001,40,0.2894705832004547,-0.43138497805505416,535,-0.19187756411191476,-0.3978932302019393,-0.720855561255509
initial,0,KL001,41,0.31323131918907166,-0.43289282754742503,530,-0.22662393204241738,-0.42629316347417134,-0.7461241467364967
initial,0,KL001,42,0.3135118782520294,-0.4344059309218838,525,-0.23852356657029103,-0.43127900360836585,-0.7479178091739133
initial,0,KL001,43,0.31267672777175903,-0.4359243061206932,520,-0.24991788841439647,-0.43520484911660046,-0.7486010338924524
initial,0,KL001,44,0.31297922134399414,-0.4374479711383417,515,-0.2631545040709962,-0.4403363044278287,-0.750427192482336
initial,0,KL001,45,0.31329643726348877,-0.438976944021417,510,-0.2771509518814266,-0.4455515231188739,-0.752273381284906
initial,0,KL001,46,0.312057226896286,-0.44051124286846904,505,-0.2902961299128645,-0.44926457630527017,-0.7525684697647552
initial,0,KL001,47,0.1307634711265564,-0.44205088582986135,500,-0.11465507773032906,-0.27115935169969396,-0.5728143569564179
initial,0,KL001,48,0.12926992774009705,-0.44359589110761066,495,-0.11905395532142125,-0.2728827127193451,-0.5728658188477078
initial,0,KL001,49,0.12928590178489685,-0.4451462769552139,490,-0.12529501628096043,-0.27615959853856176,-0.5744321787401108
initial,0,KL001,50,0.1284891664981842,-0.4467020616774626,485,-0.13103199475756283,-0.27866017292422063,-0.5751912281756468
initial,0,KL001,51,0.1268039345741272,-0.44826326363024394,480,-0.13615972166198467,-0.28030016976418715,-0.5750671982043711
initial,0,KL001,52,0.20359739661216736,-0.4498299012203275,475,-0.22419157157923397,-0.3612398739796421,-0.6534272978324949
initial,0,KL001,53,0.14487051963806152,-0.4514019929051383,470,-0.17424510056022932,-0.3061225584484901,-0.5962725125431998
initial,0,KL001,54,0.1425156146287918,-0.4529795571925143,465,-0.181041131909341,-0.3074026269836249,-0.595495171821306
initial,0,KL001,55,-0.031743139028549194,-0.45456261264044856,460,-0.007277141563340942,-0.13506820246287504,-0.42281947361189914
initial,0,KL001,56,-0.03350213170051575,-0.45615117785681536,455,-0.005948159762091752,-0.13524198223618744,-0.4226490461562994
initial,0,KL001,57,-0.0352301299571991,-0.45774527149907934,450,-0.004583403697593873,-0.13545562732249872,-0.42251514154188
initial,0,KL001,58,-0.036925047636032104,-0.4593449122739874,445,-0.0031829395215815658,-0.13571167836188666,-0.42241986463795506
initial,0,KL001,59,-0.03919079899787903,-0.46095011893724236,440,-0.0011089342172898495,-0.13540058160934154,-0.4217593199393631
initial,0,KL001,60,-0.042054831981658936,-0.46256091029315816,435,0.001703333852382246,-0.1344888954491143,-0.420506078311499
initial,0,KL001,61,-0.04486134648323059,-0.4641773051942953,430,0.004602921750516884,-0.13363296877942904,-0.4193159587110645
initial,0,KL001,62,-0.04760676622390747,-0.4657993225410763,425,0.007591195714059595,-0.13283697026434796,-0.4181925563171686
initial,0,KL001,63,-0.05028635263442993,-0.4674269812813803,420,0.010668388672007914,-0.1321062867841214,-0.4171406286469502
initial,0,KL001,64,-0.052894771099090576,-0.4690603004101158,415,0.013834136751589982,-0.13144696397396904,-0.416165529311025
initial,0,KL001,65,-0.055422812700271606,-0.47069929896877116,410,0.017083997070282228,-0.13086902446863924,-0.41527648626849933
initial,0,KL001,66,-0.0578540563583374,-0.4723439960449416,405,0.020405718759802034,-0.13038988001280793,-0.41448993968660397
initial,0,KL001,67,-0.0600321888923645,-0.47399441077183246,400,0.023639166728712586,-0.1301684268648106,-0.41396222187946774
initial,0,KL001,68,-0.06181582808494568,-0.4756505623277374,395,0.02663148045380997,-0.1303500936341051,-0.4138347342427915
initial,0,KL001,69,-0.061993807554244995,-0.4773124699354907,390,0.028095623216932368,-0.13216238226900928,-0.4153186623812455
initial,0,KL001,70,-0.07960790395736694,-0.4789801528618934,385,0.047995427136393855,-0.11638773329675971,-0.3993722489045262
