rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,time/time_elapsed,train/value_loss,train/explained_variance,train/n_updates,train/std,train/loss,train/approx_kl,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction
-1.1595163117862597,5120,367,174.25,1,13,,,,,,,,,,,
-0.7271513453560978,10240,427,173.65,1,11,0.09788638167083263,0.47941720485687256,3,0.04996931552886963,0.09553880989551544,0.04142697,0.2,0.0003,0.007585539928792666,3.1543617447217307,0.2612524839739005
-0.7273111058785728,15360,385,168.296875,1,13,0.021780937835574152,0.5436961650848389,13,0.0499848909676075,0.01868852600455284,0.009527482,0.2,0.0003,-0.008775627760915086,3.154482045173645,0.13383132681250573
-0.7605292682218613,20480,433,166.52083333333334,1,11,0.03125608881935477,0.6314883232116699,23,0.05004794895648956,0.03420369699597359,0.011393881,0.2,0.0003,-0.005876206853426993,3.152375464439392,0.15637961745262147
-0.6823217235811935,25600,389,164.97,1,13,0.026926675462163985,0.6760261058807373,33,0.05016859248280525,0.023720813915133476,0.013235236,0.2,0.0003,-0.009716658972320148,3.150002974271774,0.1331201173365116
-0.919877655983782,30720,413,165.54,1,12,0.020898612588644026,0.7893987894058228,43,0.05008641630411148,0.022425930947065353,0.0133137675,0.2,0.0003,-0.006548523175297305,3.14736554145813,0.17504067227244377
-0.8897775824130035,35840,488,163.32,1,10,0.02783981032669544,0.8107412457466125,53,0.0499940887093544,0.02083217352628708,0.012030984,0.2,0.0003,-0.010800791876390577,3.1524749279022215,0.1410841067880392
-0.8390724711393027,40960,478,165.75,1,10,0.023962263111025096,0.7864744067192078,63,0.05031266808509827,0.015123259276151657,0.010519883,0.2,0.0003,-0.011200345182442107,3.1480324149131773,0.1433105473406613
-0.8992354171223491,46080,452,167.61,1,11,0.016907634516246616,0.8661596775054932,73,0.05016786605119705,0.02716701850295067,0.012330834,0.2,0.0003,-0.009746308961621254,3.142791432142258,0.1360908655449748
-0.7641422860690088,51200,422,164.52,1,12,0.03104435622692108,0.7504086494445801,83,0.05007733404636383,0.04502338916063309,0.012182758,0.2,0.0003,-0.008141531329602002,3.1493200778961183,0.16550242450088262
-0.8228775804634254,56320,455,167.13,1,11,0.02472254289314151,0.8101375102996826,93,0.05036645382642746,0.03296458721160889,0.013547917,0.2,0.0003,-0.0073373775696381925,3.1446664333343506,0.1623322194069624
-0.8540532136266009,61440,478,170.1,1,10,0.025988698899745942,0.8240129947662354,103,0.050371114164590836,0.028408538550138474,0.012143257,0.2,0.0003,-0.008595107952132822,3.138726444244385,0.1569749793410301
-0.837220961560511,66560,486,170.87,1,10,0.02107359133660793,0.8010478615760803,113,0.05062740296125412,0.025005081668496132,0.011759533,0.2,0.0003,-0.01038432915611338,3.133908861875534,0.14043308906257151
-0.771071643007306,71680,8,173.26,1,577,0.016337150312028825,0.8970849514007568,123,0.05065913498401642,0.016339173540472984,0.011012518,0.2,0.0003,-0.012931644733180292,3.127324563264847,0.1334865501150489
-0.6250772373725635,76800,402,172.31,1,12,0.01360280642984435,0.8963193297386169,133,0.0508573055267334,0.009680450893938541,0.0118733775,0.2,0.0003,-0.010262010316364468,3.123857343196869,0.1379055972211063
-0.6407217172282178,81920,322,171.66,1,15,0.014600574076175689,0.877613365650177,143,0.051093053072690964,0.06304097175598145,0.017445758,0.2,0.0003,-0.01030556883662939,3.1145837783813475,0.16913671880960465
-0.7022653190406585,87040,364,175.82,1,14,0.022682954221963883,0.8536722660064697,153,0.05125086009502411,0.012350495904684067,0.016131233,0.2,0.0003,-0.014035156244644895,3.1069509553909302,0.16457601457834245
-0.8264180885203216,92160,432,177.65,1,11,0.01444048784673214,0.9036546945571899,163,0.05137859284877777,0.04388633742928505,0.01988736,0.2,0.0003,-0.010240972433239222,3.102008571624756,0.1820584836602211
-0.9208946417545647,97280,459,177.82,1,11,0.02110341208986938,0.7921133041381836,173,0.05139670521020889,-0.0132938576862216,0.019707546,0.2,0.0003,-0.011147977400105447,3.098578972816467,0.1830812230706215
-0.8050782449370163,102400,451,174.78,1,11,0.014424150623381139,0.8760553598403931,183,0.05132100731134415,0.017595067620277405,0.01034776,0.2,0.0003,-0.010596303302736487,3.0992584586143495,0.12132886757608503
-0.7608364115738995,107520,393,170.68,1,13,0.01793141837697476,0.8282610774040222,193,0.051547709852457047,0.019210709258913994,0.013873086,0.2,0.0003,-0.011099694290896878,3.0979543328285217,0.15476896110922098
-0.6512850618334834,112640,408,170.59,1,12,0.02452005521469825,0.798124372959137,201,0.05167299136519432,0.05502593517303467,0.04615876,0.2,0.0003,-0.006038718001061195,3.0897658128996155,0.157794905071323
-0.6618171111708038,117760,447,170.19,1,11,0.014622928388416768,0.8650877475738525,211,0.051935985684394836,0.021534182131290436,0.011494799,0.2,0.0003,-0.012409855755977332,3.0822777462005617,0.15258298471570014
-0.7164449317991831,122880,403,170.61,1,12,0.022359108715318144,0.8089726567268372,221,0.05223523825407028,0.014630327932536602,0.011070426,0.2,0.0003,-0.014773651101859287,3.071930408477783,0.1400087671354413
-0.8217657304057068,128000,416,174.19,1,12,0.019049808382987976,0.843437671661377,231,0.0526864230632782,0.016829783096909523,0.01430022,0.2,0.0003,-0.014643887616693973,3.0578841030597688,0.15582733312621713
