time,agent,route_target_index,route_target_distance_km,route_clearance_km,route_target_east_km,route_target_north_km,route_target_in_static_domain,in_route_domain,lat,lon,cas_mps,tas_mps,goal_distance_km,heading_error_deg,heading_action,speed_action,nearest_agent,nearest_nm,outside,commanded_heading_turn_deg,commanded_speed_action,traffic_projection_intervened,static_projection_intervened,static_projection_infeasible,nominal_static_violation,nominal_traffic_conflict,no_static_feasible_candidate,no_jointly_feasible_candidate,predicted_minimum_separation_km,predicted_risk_seconds,reference_heading_turn_deg,nominal_heading_adjustment_deg,nominal_speed_action
0.0,KL001,1,46.71739356822278,3.0,18.797631577607415,-11.252607360590524,,True,51.48352408406736,4.381966848977767,150.0,152.40357712476657,120.32246091791326,-0.003549130315604998,0.2083660364151001,0.526128888130188,AC10,5.461981844245893,False,45.0,-1.0,True,False,False,False,True,False,True,9.821883614484653,30.918091537240695,1.5866537019610405,3.1254906579852104,0.526128888130188
10.0,KL001,1,45.245651408838064,3.0,18.797631577607415,-11.252607360590524,True,True,51.49690224353141,4.38158799773735,146.56989707733354,148.92470887293493,118.85520010978759,17.657016932095473,0.2973799705505371,0.6154406070709229,AC10,5.35764966921652,False,29.999999999999993,-1.0,True,False,False,False,True,False,True,9.878688766815317,17.1611114432915,-16.218769401311874,4.4607000052928925,0.6154406070709229
20.0,KL001,1,43.94534135264601,3.0,18.797631577607415,-11.252607360590517,True,True,51.50941130561098,4.387641332314021,143.13980504538085,145.44545244808228,117.56700678932265,35.94335824075097,0.16102194786071777,0.5815098285675049,AC10,5.444492854182048,False,14.999999999999996,-1.0,True,False,False,False,True,False,True,10.035797455162054,5.130680946576723,-35.0076287984848,2.4153292179107666,0.5815098285675049
30.0,KL001,1,42.9454646476993,3.0,18.797631577607415,-11.252607360590517,True,True,51.51993093964803,4.3992486501014705,139.70972390410782,141.9658137900285,116.57504340971204,51.435348534523314,-0.0299261212348938,0.5514779090881348,AC10,5.767372585771777,False,-40.0,0.5514779090881348,True,False,False,False,True,False,False,10.626585691010817,0.0,-45.0,0.0,0.5514779090881348
40.0,KL001,2,115.42907104707825,3.0,3.974904531449564,60.79304999912897,True,True,51.53110026926619,4.409553795047586,141.60064366323215,143.88410167561054,115.50252678776425,33.67979104130302,0.26198482513427734,0.6166976690292358,AC10,6.0421272651214855,False,-20.0,0.6166976690292358,True,False,False,False,True,False,False,10.581740522978635,0.0,-33.67979049682617,3.9297714829444885,0.6166976690292358
50.0,KL001,2,114.10110371987912,3.0,3.974904531449564,60.79304999912896,True,True,51.54389522516273,4.413843703795655,143.71523684649827,146.0291596797006,114.17276222663433,16.015391761473893,0.32233619689941406,0.6933431625366211,AC10,6.097367760070174,False,0.0,0.6933431625366211,True,False,False,False,True,False,False,10.711023838250595,0.0,-16.015392243862152,4.835043177008629,0.6933431625366211
60.0,KL001,2,112.67746413562067,3.0,3.9749045314495675,60.793049999128975,True,True,51.557202150532675,4.415232113374992,146.0926887442591,148.44068436398317,112.74726656469662,16.220958329740142,0.3373556137084961,0.6996493339538574,AC10,6.0563259901095785,False,0.0,0.6996493339538574,True,False,False,False,True,False,False,10.575732157338166,0.0,-16.220958083868027,5.0603339821100235,0.6996493339538574
70.0,KL001,2,111.23213295357903,3.0,3.9749045314495604,60.793049999128996,True,True,51.57072641621755,4.416643616303659,148.4917609071723,150.87394514063914,111.30001375262894,16.435274524882743,0.3514103889465332,0.7059738636016846,AC10,6.009637463079008,False,0.0,0.7059738636016846,True,False,False,False,True,False,False,10.446639188989431,0.0,-16.43527463078499,5.27115561068058,0.7059738636016846
80.0,KL001,2,109.76504283916651,3.0,3.9749045314495604,60.79304999912897,True,True,51.58446996168389,4.418078435675093,150.91251622846983,153.3289985154099,109.83093298394765,16.65884820846327,0.3641626834869385,0.7122836112976074,AC10,5.957959598952546,False,0.0,0.7122836112976074,True,False,False,False,True,False,False,10.327417068581575,0.0,-16.658848822116852,5.462440028786659,0.7122836112976074
90.0,KL001,2,108.27613870346232,3.0,3.974904531449564,60.793049999128954,True,True,51.598434723220414,4.419536794858098,153.35490394273035,155.80578561487982,108.33996542818828,16.89222690767133,0.3747023344039917,0.7185077667236328,AC10,5.9020584009651476,False,5.000000000000002,0.7185077667236328,True,False,False,False,True,False,False,10.844278045362685,0.0,-16.892226487398148,5.620535463094711,0.7185077667236328
100.0,KL001,2,106.80669484816563,3.0,3.974904531449564,60.79304999912897,True,True,51.61250415407105,4.422807109816869,155.8186304317386,158.3040012399254,106.86831915238284,22.198104000528588,0.3952847719192505,0.6826186180114746,AC10,5.900628877007886,False,-5.000000000000002,0.6826186180114746,True,False,False,False,True,False,False,10.292037525547178,0.0,-22.198103964328766,5.9292711317539215,0.6826186180114746
110.0,KL001,2,105.28031125509457,3.0,3.9749045314495604,60.79304999912897,True,True,51.626895103552904,4.424519487368908,158.1592627168498,160.67720159097072,105.33969692601772,17.46084059317309,0.3796267509460449,0.7242884635925293,AC10,5.847155385780546,False,5.000000000000002,0.7242884635925293,True,False,False,False,True,False,False,10.74151954075029,0.0,-17.460840046405792,5.694400817155838,0.7242884635925293
120.0,KL001,2,103.77150625863878,3.0,3.974904531449564,60.79304999912898,True,True,51.641399090968456,4.427880664881536,160.64279958396023,163.19508220727676,103.82848978355015,22.79325664282885,0.3700515031814575,0.673324704170227,AC10,5.847493228459626,False,-5.000000000000002,0.673324704170227,True,False,False,False,True,False,False,10.329624402969912,0.0,-22.793256640434265,5.550772547721863,0.673324704170227
130.0,KL001,2,102.20479557959989,3.0,3.9749045314495675,60.79304999912898,True,True,51.65622424730256,4.429657913577446,162.9515418973936,165.53555302673053,102.2593497037638,18.081667392267605,0.25125300884246826,0.6894335746765137,AC10,5.795635368553874,False,0.0,0.6894335746765137,True,False,False,False,True,False,False,10.307463663745313,0.0,-18.081666827201843,3.768794685602188,0.6894335746765137
140.0,KL001,2,100.63317795856992,3.0,3.9749045314495604,60.79304999912898,True,True,51.6710843928966,4.431212252306323,162.99999999999994,165.5846750214427,100.68525122289567,18.371211649037036,0.24751532077789307,0.694290041923523,AC10,5.743049243417557,False,0.0,0.694290041923523,True,False,False,False,True,False,False,10.306676194394516,0.0,-18.371211290359497,3.712729811668396,0.694290041923523
150.0,KL001,2,99.06427454431439,3.0,3.9749045314495675,60.79304999912897,True,True,51.685944538490645,4.432767101055438,162.99999999999994,165.5846750214427,99.11380540971238,18.66994461643253,0.24360203742980957,0.6991926431655884,AC10,5.698095084350807,False,0.0,0.6991926431655884,True,False,False,False,True,False,False,10.305945997216627,0.0,-18.669945001602173,3.6540310084819794,0.6991926431655884
160.0,KL001,2,97.49821648694116,3.0,3.974904531449564,60.79304999912898,True,True,51.70080468408469,4.434322460264263,162.99999999999994,165.5846750214427,97.54514046605595,18.978293743690983,0.23594188690185547,0.7002549171447754,AC10,5.660954263669966,False,0.0,0.7002549171447754,True,False,False,False,True,False,False,10.305249454394332,0.0,-18.97829309105873,3.539127856492996,0.7002549171447754
170.0,KL001,2,95.93514325481404,3.0,3.974904531449564,60.79304999912898,True,True,51.71566482967873,4.435878330372771,162.99999999999994,165.5846750214427,95.97939274055004,19.29671221817125,0.21044254302978516,0.6879490613937378,AC10,5.631780915560625,False,0.0,0.6879490613937378,True,False,False,False,True,False,False,10.304586594967391,0.0,-19.29671287536621,3.1566381454467773,0.6879490613937378
180.0,KL001,1,20.31452296251691,3.0,24.06909932980027,-10.492135783759366,True,True,51.73052497527277,4.4374347118214335,162.99999999999994,165.5846750214427,94.41670736416263,19.625680825234667,0.19146442413330078,0.6829826831817627,AC10,5.610698870671112,False,0.0,0.6829826831817627,True,False,False,False,True,False,False,10.303957448007779,0.0,-20.468681305646896,2.871965914964676,0.6829826831817627
190.0,KL001,1,18.77298888646282,3.0,24.06909932980027,-10.49213578375937,True,True,51.745385120866814,4.438991605051231,162.99999999999994,165.5846750214427,92.85723894384125,19.965709959868946,0.18197166919708252,0.6851885318756104,AC10,5.597799093621533,False,0.0,0.6851885318756104,True,False,False,False,True,False,False,10.303362042621494,0.0,-22.233211398124695,2.7295754849910736,0.6851885318756104
200.0,KL001,1,17.252443588634616,3.0,24.06909932980027,-10.492135783759366,True,True,51.760245266460856,4.440549010503648,162.99999999999994,165.5846750214427,91.30115232020924,20.317341803094337,0.03949332237243652,0.665804386138916,AC10,5.593137742927338,False,0.0,0.665804386138916,True,False,False,False,True,False,False,10.302857844603492,0.0,-24.3111589550972,0.5924007296562195,0.665804386138916
210.0,KL001,1,15.758964436570404,3.0,24.06909932980027,-10.49213578375937,True,True,51.7751054120549,4.44210692862067,162.99999999999994,165.5846750214427,89.7486233959719,20.681152677201112,0.026838064193725586,0.6660991907119751,AC10,5.596734947795138,False,0.0,0.6660991907119751,True,False,False,False,True,False,False,10.311376878017311,0.0,-26.786875426769257,0.40257006883621216,0.6660991907119751
220.0,KL001,1,14.301034422105154,3.0,24.06909932980027,-10.492135783759368,True,True,51.78996555764894,4.44366535984479,162.99999999999994,165.5846750214427,88.19984004243473,21.057755594943274,0.012521028518676758,0.6654163599014282,AC10,5.608574363006621,False,0.0,0.6654163599014282,True,False,False,False,True,False,False,10.335323816043601,0.0,-29.77407842874527,0.187816321849823,0.6654163599014282
230.0,KL001,1,12.890721814889808,3.0,24.06909932980027,-10.492135783759368,True,True,51.80482570324298,4.445224304619006,162.99999999999994,165.5846750214427,86.65500309236177,21.44780301888511,0.0171053409576416,0.6891849040985107,AC10,5.628603524528604,False,0.0,0.6891849040985107,True,False,False,False,True,False,False,10.374592922875301,0.0,-33.426909148693085,0.256580114364624,0.6891849040985107
240.0,KL001,1,11.545490595428943,3.0,24.06909932980027,-10.492135783759368,True,True,51.819685848837025,4.446783763386825,162.99999999999994,165.5846750214427,85.11432742834371,21.85198984821068,-0.0020776987075805664,0.6860775947570801,AC10,5.6567349878165984,False,0.0,0.6860775947570801,True,False,False,False,True,False,False,10.429012211904238,0.0,-37.95334607362747,-0.031164586544036865,0.6860775947570801
250.0,KL001,1,10.290896024784342,3.0,24.06909932980027,-10.492135783759366,True,True,51.83454599443107,4.4483437365922605,162.99999999999994,165.5846750214427,83.57804317685803,22.271056651316826,-0.02459639310836792,0.6810959577560425,AC10,5.692848191756194,False,0.0,0.6810959577560425,True,False,False,False,True,False,False,10.498347175383314,0.0,-43.62684577703476,-0.3689458966255188,0.6810959577560425
260.0,KL001,1,9.164240042903636,3.0,24.06909932980027,-10.492135783759368,True,True,51.84940614002511,4.449904224679839,162.99999999999994,165.5846750214427,82.04639701936887,22.705793163537805,0.020283102989196777,0.7505919933319092,AC10,5.736791957214466,False,5.000000000000002,0.7505919933319092,True,False,False,False,True,False,False,10.5823057164239,0.0,-45.0,0.30424565076828003,0.7505919933319092
270.0,KL001,1,8.331736604460861,3.0,24.06909932980027,-10.492135783759368,True,True,51.86414399030994,4.4533265432431195,162.99999999999994,165.5846750214427,80.57479520395293,28.23889532914393,-0.07692301273345947,0.6617956161499023,AC10,5.8574292316545895,False,5.000000000000002,0.6617956161499023,True,False,False,False,True,False,False,10.80792315870965,0.0,-45.0,0.0,0.6617956161499023
280.0,KL001,1,7.90801279895314,3.0,24.069099329800267,-10.49213578375937,True,True,51.878641540097135,4.458817362862733,162.99999999999994,165.5846750214427,79.18400419531963,33.8809186543441,-0.18416637182235718,0.5954134464263916,AC10,6.061127138430702,False,5.000000000000002,0.5954134464263916,True,True,False,True,True,False,False,11.187021949373838,0.0,-45.0,0.0,0.5954134464263916
290.0,KL001,1,7.961903436380177,3.0,24.06909932980027,-10.492135783759368,True,True,51.892788454278914,4.466336175813702,162.99999999999994,165.5846750214427,77.88916466537795,39.630581248745784,-0.24342882633209229,0.5693528652191162,AC10,6.34401525074465,False,5.000000000000002,0.5693528652191162,True,True,False,True,True,False,False,11.712530100752016,0.0,-45.0,0.0,0.5693528652191162
